Product-ID,Base-Name,Price,Price Percentage Change 24h
LA-USDC,Lagrange,1.6202,244.6500744522442
LA-USD,Lagrange,1.6202,244.6500744522442
LPT-USD,Livepeer,10.54,33.75634517766497
LPT-USDC,Livepeer,10.54,33.75634517766497
ZORA-USD,Zora,0.01202,19.00990099009901
ZORA-USDC,Zora,0.01202,19.00990099009901
TRB-USD,Tellor,51.83,15.69196428571429
TRB-USDC,Tellor,51.83,15.69196428571429
SPA-USDC,Sperax,0.016479,11.35964319502635
SPA-USD,Sperax,0.016479,11.35964319502635
NMR-USD,Numeraire,8.98,8.45410628019324
NMR-USDC,Numeraire,8.98,8.45410628019324
CLANKER-USDC,tokenbot,26.78,5.22593320235756
CLANKER-USD,tokenbot,26.78,5.22593320235756
APE-EUR,ApeCoin,0.63,5.0
NEON-USDC,Neon EVM,0.1219,4.82414653022616
NEON-USD,Neon EVM,0.1219,4.82414653022616
AGLD-USD,Adventure Gold,0.8602,4.54545454545455
AGLD-USDC,Adventure Gold,0.8602,4.54545454545455
APE-USDT,ApeCoin,0.717,4.51895043731778
LDO-USD,Lido DAO Token,0.888,4.1031652989449
LDO-USDC,Lido DAO Token,0.888,4.1031652989449
APE-USD,ApeCoin,0.717,3.91304347826087
APE-USDC,ApeCoin,0.717,3.91304347826087
T-USDC,Threshold,0.01572,3.55731225296443
T-USD,Threshold,0.01572,3.55731225296443
LRC-USDT,Loopring,0.0902,3.32187857961054
RPL-USD,Rocket Pool,6.38,3.06946688206785
RPL-USDC,Rocket Pool,6.38,3.06946688206785
ALEO-USD,Aleo,0.186,2.76243093922652
ALEO-USDC,Aleo,0.186,2.76243093922652
CVX-USDC,Convex Finance,2.74,2.66017234919445
CVX-USD,Convex Finance,2.74,2.66017234919445
COMP-BTC,Compound,0.000431,2.61904761904762
ETH-DAI,Ethereum,2669.61,2.27489531573846
GFI-USD,Goldfinch Protocol,0.8144,2.20883534136546
GFI-USDC,Goldfinch Protocol,0.8144,2.20883534136546
MLN-USD,Enzyme,8.31,1.83823529411765
MLN-USDC,Enzyme,8.31,1.83823529411765
LRC-USDC,Loopring,0.0893,1.82440136830103
LRC-USD,Loopring,0.0893,1.82440136830103
MASK-GBP,Mask Network,2.185,1.62790697674419
QNT-USDC,Quant,115.61,1.5548137737175
QNT-USD,Quant,115.61,1.5548137737175
QNT-USDT,Quant,115.44,1.49463689115527
COMP-USD,Compound,45.01,1.44241604687852
COMP-USDC,Compound,45.01,1.44241604687852
ATH-USDC,Aethir,0.05048,1.38582044587267
ATH-USD,Aethir,0.05048,1.38582044587267
DIMO-USD,DIMO,0.065,1.19881675229643
DIMO-USDC,DIMO,0.065,1.19881675229643
LRC-BTC,Loopring,0.00000085,1.19047619047619
KAVA-USD,Kava,0.4392,1.12825236011973
KAVA-USDC,Kava,0.4392,1.12825236011973
ALEPH-USDC,Aleph Cloud,0.0589,1.02915951972556
ALEPH-USD,Aleph Cloud,0.0589,1.02915951972556
ETH-BTC,Ethereum,0.02487,0.93344155844156
ELA-USD,Elastos,1.526,0.85922009253139
ELA-USDC,Elastos,1.526,0.85922009253139
LSETH-USDC,Liquid Staked ETH,2828.54,0.85287846481876
LSETH-USD,Liquid Staked ETH,2828.54,0.85287846481876
POLS-USDC,Polkastarter,0.2139,0.80113100848256
POLS-USD,Polkastarter,0.2139,0.80113100848256
HONEY-USD,Hivemapper,0.0261,0.77220077220077
HONEY-USDC,Hivemapper,0.0261,0.77220077220077
PAXG-USDC,PAX Gold,3392.76,0.67507218079472
PAXG-USD,PAX Gold,3392.76,0.67507218079472
LRDS-USDC,Blocklords,0.1655,0.669099756691
LRDS-USD,Blocklords,0.1655,0.669099756691
RBN-USDC,Ribbon Finance,0.12282,0.44982415964668
RBN-USD,Ribbon Finance,0.12282,0.44982415964668
ENS-USDT,Ethereum Name Service,21.76,0.41532071988925
ALCX-USDC,Alchemix,9.94,0.4040404040404
ALCX-USD,Alchemix,9.94,0.4040404040404
JTO-USD,Jito,1.8536,0.38994800693241
JTO-USDC,Jito,1.8536,0.38994800693241
EURC-USDC,EURC,1.1419,0.37798874824191
BCH-BTC,Bitcoin Cash,0.003824,0.26219192448873
NCT-USD,PolySwarm,0.01921,0.10422094841063
NCT-USDC,PolySwarm,0.01921,0.10422094841063
CBETH-USD,Coinbase Wrapped Staked ETH,2871.1,0.00661811063391
CBETH-USDC,Coinbase Wrapped Staked ETH,2871.1,0.00661811063391
DAI-USDC,Dai,0.9999,0.0
DAI-USD,Dai,0.9999,0.0
ENA-USD,Ethena,,0.0
CLV-USD,Clover Finance,0.0254,0.0
ENS-EUR,Ethereum Name Service,19.06,0.0
ENA-USDC,Ethena,,0.0
AAVE-BTC,Aave,0.002513,0.0
PAX-USDC,Paxos Standard,0.9994,0.0
PAX-USD,Paxos Standard,0.9994,0.0
CLV-USDC,Clover Finance,0.0254,0.0
USDT-USDC,Tether,1.0006,-0.00999300489657
CBETH-ETH,Coinbase Wrapped Staked ETH,1.10068,-0.01180948574232
USDT-USD,Tether,1.00051,-0.01598928717759
LSETH-ETH,Liquid Staked ETH,1.07875,-0.04077131923016
KNC-USD,Kyber Network,0.3311,-0.09052504526252
KNC-USDC,Kyber Network,0.3311,-0.09052504526252
KRL-USDC,Kryll,0.3408,-0.11723329425557
KRL-USD,Kryll,0.3408,-0.11723329425557
ETH-USDT,Ethereum,2605.73,-0.12074146760296
STG-USDC,Stargate Finance,0.1828,-0.16384489350082
STG-USD,Stargate Finance,0.1828,-0.16384489350082
ETH-USDC,Ethereum,2605.66,-0.16781352009931
ETH-USD,Ethereum,2605.66,-0.16781352009931
USDC-GBP,USDC,0.738,-0.20283975659229
USDT-GBP,Tether,0.7384,-0.21621621621622
FARM-USDC,Harvest Finance,30.71,-0.25982461838259
FARM-USD,Harvest Finance,30.71,-0.25982461838259
ETH-GBP,Ethereum,1924.44,-0.30616209495687
ANKR-GBP,Ankr,0.01248,-0.31948881789137
ENS-USDC,Ethereum Name Service,21.67,-0.32198712051518
ENS-USD,Ethereum Name Service,21.67,-0.32198712051518
MASK-USD,Mask Network,2.94,-0.33898305084746
MASK-USDC,Mask Network,2.94,-0.33898305084746
REQ-USD,Request,0.1402,-0.35536602700782
REQ-USDC,Request,0.1402,-0.35536602700782
DNT-USDC,district0x,0.027,-0.3690036900369
DNT-USD,district0x,0.027,-0.3690036900369
USDC-EUR,USDC,0.8756,-0.39813445569332
USDT-EUR,Tether,0.87615,-0.41486701523073
TIME-USD,Chrono.tech,12,-0.4149377593361
TIME-USDC,Chrono.tech,12,-0.4149377593361
MATIC-BTC,Polygon,0.00000204,-0.48780487804878
ETH-EUR,Ethereum,2282.95,-0.49383684641805
MNDE-USDC,Marinade,0.12192,-0.56275997063861
MNDE-USD,Marinade,0.12192,-0.56275997063861
SOL-BTC,Solana,0.0014674,-0.57591977776272
ARB-USD,Arbitrum,0.3608,-0.57867181041609
ARB-USDC,Arbitrum,0.3608,-0.57867181041609
MATIC-EUR,Polygon,0.1876,-0.58293587705352
SWELL-USD,SWELL,0.0095,-0.62761506276151
SWELL-USDC,SWELL,0.0095,-0.62761506276151
BCH-GBP,Bitcoin Cash,296.68,-0.64300066979236
G-USD,Gravity,0.01347,-0.66371681415929
G-USDC,Gravity,0.01347,-0.66371681415929
MASK-USDT,Mask Network,2.94,-0.67567567567568
MUSE-USDC,Muse,8.321,-0.6922067072443
MUSE-USD,Muse,8.321,-0.6922067072443
AERO-USDC,Aerodrome Finance,0.5366,-0.78763450800577
AERO-USD,Aerodrome Finance,0.5366,-0.78763450800577
BAL-USD,Balancer,1.0911,-0.80909090909091
BAL-USDC,Balancer,1.0911,-0.80909090909091
SD-USD,Stader,0.5006,-0.81236378046364
SD-USDC,Stader,0.5006,-0.81236378046364
MATIC-GBP,Polygon,0.1578,-0.87939698492462
LTC-BTC,Litecoin,0.00084,-0.94339622641509
DASH-BTC,Dash,0.00021,-0.94339622641509
BCH-USD,Bitcoin Cash,400.58,-0.98133728834507
BCH-USDC,Bitcoin Cash,400.58,-0.98133728834507
BTC-USDT,Bitcoin,104794.13,-0.99368978924174
RARI-USD,Rarible,0.99,-1.0
RARI-USDC,Rarible,0.99,-1.0
BCH-EUR,Bitcoin Cash,351.21,-1.00346703498041
FOX-USDC,Shapeshift FOX Token,0.0288,-1.03092783505155
