Product-ID,Base-Name,Price,Price Percentage Change 24h
LPT-USD,Livepeer,12.1,120.0
LPT-USDC,Livepeer,12.1,120.0
WELL-USDC,Moonwell,0.039981,25.33228840125392
WELL-USD,Moonwell,0.039981,25.33228840125392
NMR-USDC,Numeraire,9.63,13.69539551357733
NMR-USD,Numeraire,9.63,13.69539551357733
GODS-USDC,Gods Unchained,0.17269,10.28162717925793
GODS-USD,Gods Unchained,0.17269,10.28162717925793
MLN-USDC,Enzyme,8.88,9.22509225092251
MLN-USD,Enzyme,8.88,9.22509225092251
OGN-USDC,Origin Token,0.06914,9.15693084938428
OGN-USD,Origin Token,0.06914,9.15693084938428
CRO-EUR,Cronos,0.0875,6.96821515892421
FARM-USDC,Harvest Finance,32.29,6.9205298013245
FARM-USD,Harvest Finance,32.29,6.9205298013245
MATH-USDC,MATH,0.1339,6.26984126984127
MATH-USD,MATH,0.1339,6.26984126984127
CRO-USDT,Cronos,0.0994,6.08324439701174
CRO-USDC,Cronos,0.0994,5.18518518518519
CRO-USD,Cronos,0.0994,5.18518518518519
INV-USDC,Inverse Finance,27.82,1.97947214076246
INV-USD,Inverse Finance,27.82,1.97947214076246
ELA-USDC,Elastos,1.549,1.70715692711753
ELA-USD,Elastos,1.549,1.70715692711753
AAVE-BTC,Aave,0.002412,1.68634064080944
CVC-USDC,Civic,0.1373,1.10456553755523
CVC-USD,Civic,0.1373,1.10456553755523
MUSE-USD,Muse,8.558,0.76533615918992
MUSE-USDC,Muse,8.558,0.76533615918992
AAVE-GBP,Aave,187.12,0.62379006237901
USDT-GBP,Tether,0.7437,0.3914686825054
USDC-GBP,USDC,0.7434,0.33742745309758
USDT-EUR,Tether,0.88178,0.27291955696059
USDC-EUR,USDC,0.8815,0.26160145586897
AAVE-EUR,Aave,221.19,0.24473147518695
PAX-USDC,Paxos Standard,0.9997,0.17034068136273
PAX-USD,Paxos Standard,0.9997,0.17034068136273
USDT-USD,Tether,1.00036,0.0370003700037
AAVE-USD,Aave,250.98,0.0278984496433
AAVE-USDC,Aave,250.98,0.0278984496433
LSETH-ETH,Liquid Staked ETH,1.07891,0.01575912638819
USDT-USDC,Tether,1.0003,0.00999800039992
