Product-ID,Base-Name,Price,Price Percentage Change 24h
WELL-USD,Moonwell,0.043111,20.50593990216632
WELL-USDC,Moonwell,0.043111,20.50593990216632
CRO-USDT,Cronos,0.103,12.20043572984749
CRO-USD,Cronos,0.1033,11.7965367965368
CRO-USDC,Cronos,0.1033,11.7965367965368
CRO-EUR,Cronos,0.0909,9.38628158844765
ALCX-USD,Alchemix,10.4,8.22060353798127
ALCX-USDC,Alchemix,10.4,8.22060353798127
RBN-USD,Ribbon Finance,0.12085,6.84289629564141
RBN-USDC,Ribbon Finance,0.12085,6.84289629564141
SPELL-USD,Spell Token,0.0005792,6.72563110374056
SPELL-USDC,Spell Token,0.0005792,6.72563110374056
MUSE-USDC,Muse,8.756,3.44990548204159
MUSE-USD,Muse,8.756,3.44990548204159
FARM-USD,Harvest Finance,31.53,2.9382957884427
FARM-USDC,Harvest Finance,31.53,2.9382957884427
ALEPH-USDC,Aleph Cloud,0.0626,2.45499181669394
ALEPH-USD,Aleph Cloud,0.0626,2.45499181669394
NMR-USD,Numeraire,8.48,2.41545893719807
NMR-USDC,Numeraire,8.48,2.41545893719807
AAVE-BTC,Aave,0.002413,1.77140447068747
GODS-USDC,Gods Unchained,0.1529,1.71633847791378
GODS-USD,Gods Unchained,0.1529,1.71633847791378
COOKIE-USDC,Cookie DAO,0.22825,1.503090674612
COOKIE-USD,Cookie DAO,0.22825,1.503090674612
KAVA-USDC,Kava,0.4106,1.33267522211254
KAVA-USD,Kava,0.4106,1.33267522211254
MLN-USDC,Enzyme,8.16,0.99009900990099
MLN-USD,Enzyme,8.16,0.99009900990099
INV-USD,Inverse Finance,27.59,0.87751371115174
INV-USDC,Inverse Finance,27.59,0.87751371115174
BCH-BTC,Bitcoin Cash,0.003873,0.75442247658689
AAVE-GBP,Aave,186.2,0.47485430606518
MANA-ETH,Decentraland,0.0001068,0.47036688617121
AAVE-USD,Aave,250.39,0.19206914489216
AAVE-USDC,Aave,250.39,0.19206914489216
USDC-GBP,USDC,0.7437,0.14812819822246
USDT-GBP,Tether,0.7438,0.1211468569121
AAVE-EUR,Aave,220.86,0.07249660172179
EURC-USDC,EURC,1.1335,0.06179378531073
PAXG-USDC,PAX Gold,3312.39,0.05225544151317
PAXG-USD,PAX Gold,3312.39,0.05225544151317
USDT-USDC,Tether,1.0005,0.01999400179946
USDT-USD,Tether,1.00045,0.00599766091224
CBETH-ETH,Coinbase Wrapped Staked ETH,1.10046,0.00272620702816
DAI-USD,Dai,0.9999,0.0
DAI-USDC,Dai,0.9999,0.0
LSETH-ETH,Liquid Staked ETH,1.07875,-0.02687574139976
USDT-EUR,Tether,0.88252,-0.0668093442493
USDC-EUR,USDC,0.8821,-0.06797326384955
AMP-USD,Amp,0.0041,-0.24330900243309
AMP-USDC,Amp,0.0041,-0.24330900243309
COMP-BTC,Compound,0.000389,-0.25641025641026
KRL-USDC,Kryll,0.3412,-0.40863981319323
KRL-USD,Kryll,0.3412,-0.40863981319323
KAITO-USD,Kaito,2.0328,-0.56253974465587
KAITO-USDC,Kaito,2.0328,-0.56253974465587
MANTLE-USDC,Mantle,0.6748,-0.57462796522764
MANTLE-USD,Mantle,0.6748,-0.57462796522764
TAO-USDC,Bittensor,402.92,-0.64115210100612
TAO-USD,Bittensor,402.92,-0.64115210100612
DIMO-USD,DIMO,0.06303,-0.72452354701528
DIMO-USDC,DIMO,0.06303,-0.72452354701528
BCH-EUR,Bitcoin Cash,354.31,-0.76462021062066
B3-USD,B3 (Base),0.003179,-0.81123244929797
B3-USDC,B3 (Base),0.003179,-0.81123244929797
BCH-USD,Bitcoin Cash,401.67,-0.82711964841242
BCH-USDC,Bitcoin Cash,401.67,-0.82711964841242
PAX-USD,Paxos Standard,0.9998,-0.97068145800317
PAX-USDC,Paxos Standard,0.9998,-0.97068145800317
LINK-ETH,Chainlink,0.00545347,-1.06150602868661
DNT-USDC,district0x,0.0277,-1.07142857142857
DNT-USD,district0x,0.0277,-1.07142857142857
HOPR-USD,HOPR,0.0449,-1.10132158590308
HOPR-USDC,HOPR,0.0449,-1.10132158590308
L3-USDC,Layer3,0.04798,-1.1740473738414
