Product-ID,Base-Name,Price,Price Percentage Change 24h
LPT-USDC,Livepeer,11,43.79084967320261
LPT-USD,Livepeer,11,43.79084967320261
CRO-EUR,Cronos,0.0954,17.34317343173432
CRO-USD,Cronos,0.1082,16.72060409924488
CRO-USDC,Cronos,0.1082,16.72060409924488
CRO-USDT,Cronos,0.1079,16.52267818574514
WELL-USDC,Moonwell,0.0383,9.66042489835653
WELL-USD,Moonwell,0.0383,9.66042489835653
NMR-USDC,Numeraire,8.96,7.82190132370638
NMR-USD,Numeraire,8.96,7.82190132370638
RBN-USDC,Ribbon Finance,0.11986,6.91285344750691
RBN-USD,Ribbon Finance,0.11986,6.91285344750691
GODS-USD,Gods Unchained,0.16259,6.88272416513279
GODS-USDC,Gods Unchained,0.16259,6.88272416513279
RPL-USDC,Rocket Pool,4.98,5.95744680851064
RPL-USD,Rocket Pool,4.98,5.95744680851064
MLN-USDC,Enzyme,8.37,4.88721804511278
MLN-USD,Enzyme,8.37,4.88721804511278
ALCX-USDC,Alchemix,10.28,4.68431771894094
ALCX-USD,Alchemix,10.28,4.68431771894094
MUSE-USDC,Muse,8.654,3.13431057084972
MUSE-USD,Muse,8.654,3.13431057084972
FARM-USD,Harvest Finance,31.22,2.36065573770492
FARM-USDC,Harvest Finance,31.22,2.36065573770492
ALEPH-USDC,Aleph Cloud,0.0616,1.98675496688742
ALEPH-USD,Aleph Cloud,0.0616,1.98675496688742
INV-USDC,Inverse Finance,27.67,1.95283714075166
INV-USD,Inverse Finance,27.67,1.95283714075166
ELA-USDC,Elastos,1.544,1.91419141914191
ELA-USD,Elastos,1.544,1.91419141914191
AAVE-BTC,Aave,0.002424,1.46504813729594
KAVA-USD,Kava,0.4126,1.2018641157714
KAVA-USDC,Kava,0.4126,1.2018641157714
ARPA-USDC,ARPA Chain,0.0239,0.84388185654008
ARPA-USD,ARPA Chain,0.0239,0.84388185654008
PAX-USDC,Paxos Standard,0.9994,0.41193609966844
PAX-USD,Paxos Standard,0.9994,0.41193609966844
USDT-GBP,Tether,0.7436,0.18862840204797
USDC-GBP,USDC,0.7433,0.14820803018054
DIMO-USDC,DIMO,0.0634,0.0947268708557
DIMO-USD,DIMO,0.0634,0.0947268708557
USDC-EUR,USDC,0.882,0.07942811755361
USDT-EUR,Tether,0.88234,0.07712723725699
OGN-USDC,Origin Token,0.06127,0.04898758981058
OGN-USD,Origin Token,0.06127,0.04898758981058
USDT-USD,Tether,1.00046,0.02899507083796
USDT-USDC,Tether,1.0004,0.01999600079984
DAI-USDC,Dai,1,0.01000100010001
DAI-USD,Dai,1,0.01000100010001
CBETH-ETH,Coinbase Wrapped Staked ETH,1.10045,0.00181747135211
LSETH-ETH,Liquid Staked ETH,1.07875,-0.02687574139976
EURC-USDC,EURC,1.134,-0.03526093088858
BCH-BTC,Bitcoin Cash,0.003859,-0.10354646647683
PAXG-USDC,PAX Gold,3310.72,-0.2329400774458
PAXG-USD,PAX Gold,3310.72,-0.2329400774458
MANA-ETH,Decentraland,0.0001068,-0.28011204481793
BAT-ETH,Basic Attention Token,0.00005153,-0.29024767801858
KRL-USDC,Kryll,0.3406,-0.58377116170461
KRL-USD,Kryll,0.3406,-0.58377116170461
