Product-ID,Base-Name,Price,Price Percentage Change 24h
GIGA-USD,Gigachad,0.02807,27.47502270663034
GIGA-USDC,Gigachad,0.02807,27.47502270663034
TRB-USDC,Tellor,59.87,23.51970290901589
TRB-USD,Tellor,59.87,23.51970290901589
ORCA-USD,Orca,3.1784,12.58545570472176
ORCA-USDC,Orca,3.1784,12.58545570472176
ZORA-USDC,Zora,0.01127,9.84405458089669
ZORA-USD,Zora,0.01127,9.84405458089669
SD-USD,Stader,0.5791,9.53281634197087
SD-USDC,Stader,0.5791,9.53281634197087
POLS-USD,Polkastarter,0.2455,8.72453498671391
POLS-USDC,Polkastarter,0.2455,8.72453498671391
SAFE-USD,Safe,0.613,7.33671861320259
SAFE-USDC,Safe,0.613,7.33671861320259
DIMO-USDC,DIMO,0.06957,6.57169117647059
DIMO-USD,DIMO,0.06957,6.57169117647059
COW-USD,CoW Protocol,0.4576,6.29500580720093
COW-USDC,CoW Protocol,0.4576,6.29500580720093
SEAM-USD,Seamless,0.5026,4.33880008303924
SEAM-USDC,Seamless,0.5026,4.33880008303924
ABT-USD,Arcblock,0.9555,2.89683394357097
ABT-USDC,Arcblock,0.9555,2.89683394357097
COMP-BTC,Compound,0.000412,2.7431421446384
KAITO-USDC,Kaito,2.2163,1.85670297348224
KAITO-USD,Kaito,2.2163,1.85670297348224
PAXG-USDC,PAX Gold,3334.9,1.7979242979243
PAXG-USD,PAX Gold,3334.9,1.7979242979243
BLZ-USDC,Bluzelle,0.0401,1.77664974619289
BLZ-USD,Bluzelle,0.0401,1.77664974619289
COMP-USDC,Compound,43.32,1.61857846586911
COMP-USD,Compound,43.32,1.61857846586911
MASK-GBP,Mask Network,1.713,1.42095914742451
SNX-BTC,Synthetix Network Token,0.0000074,1.36986301369863
DRIFT-USDC,Drift Protocol,0.7,1.30246020260492
DRIFT-USD,Drift Protocol,0.7,1.30246020260492
EURC-USDC,EURC,1.1374,1.29129931427554
REQ-USDC,Request,0.1452,0.55401662049861
REQ-USD,Request,0.1452,0.55401662049861
ETH-BTC,Ethereum,0.0249,0.48426150121065
MATIC-BTC,Polygon,0.00000213,0.47169811320755
FORTH-USDC,Ampleforth Governance Token,2.5566,0.46369066331342
FORTH-USD,Ampleforth Governance Token,2.5566,0.46369066331342
PAX-USD,Paxos Standard,0.9979,0.35197103781175
PAX-USDC,Paxos Standard,0.9979,0.35197103781175
YFI-BTC,yearn.finance,0.0523,0.19157088122605
KRL-USD,Kryll,0.3497,0.14318442153494
KRL-USDC,Kryll,0.3497,0.14318442153494
CBETH-ETH,Coinbase Wrapped Staked ETH,1.09993,0.02455304366804
HOPR-USDC,HOPR,0.0484,0.0
BCH-BTC,Bitcoin Cash,0.003875,0.0
HOPR-USD,HOPR,0.0484,0.0
HONEY-USDC,Hivemapper,0.0268,0.0
HONEY-USD,Hivemapper,0.0268,0.0
PLU-USDC,Pluton,0.75,0.0
PLU-USD,Pluton,0.75,0.0
00-USDC,00 Token,0.0189,0.0
RAD-USDC,Radworks,0.75,0.0
RAD-USD,Radworks,0.75,0.0
00-USD,00 Token,0.0189,0.0
DAI-USD,Dai,0.9999,0.0
LTC-BTC,Litecoin,0.000884,0.0
DAI-USDC,Dai,0.9999,0.0
AXS-BTC,Axie Infinity,0.0000267,0.0
LSETH-ETH,Liquid Staked ETH,1.07874,0.0
USDT-USDC,Tether,1.0002,-0.01999200319872
USDT-USD,Tether,1,-0.02699271196777
CTX-USDC,Cryptex Finance,1.8172,-0.03300693145561
CTX-USD,Cryptex Finance,1.8172,-0.03300693145561
ZEC-USD,Zcash,53.23,-0.05632745024409
ZEC-USDC,Zcash,53.23,-0.05632745024409
AUCTION-USDC,Bounce Token,11.77,-0.1696352841391
AUCTION-USD,Bounce Token,11.77,-0.1696352841391
MNDE-USDC,Marinade,0.12276,-0.17077335935594
MNDE-USD,Marinade,0.12276,-0.17077335935594
XLM-BTC,Stellar Lumens,0.00000264,-0.37735849056604
1INCH-USDC,1inch,0.235,-0.42372881355932
1INCH-USD,1inch,0.235,-0.42372881355932
MASK-USD,Mask Network,2.27,-0.43859649122807
MASK-USDC,Mask Network,2.27,-0.43859649122807
MASK-USDT,Mask Network,2.26,-0.44052863436123
DOGE-BTC,Dogecoin,0.00000204,-0.48780487804878
MASK-EUR,Mask Network,2.01,-0.4950495049505
USDT-GBP,Tether,0.741,-0.55026170983761
USDC-GBP,USDC,0.7409,-0.5503355704698
1INCH-GBP,1inch,0.174,-0.57142857142857
ETC-BTC,Ethereum Classic,0.000171,-0.58139534883721
IOTX-USD,IoTeX,0.02712,-0.58651026392962
IOTX-USDC,IoTeX,0.02712,-0.58651026392962
BAT-ETH,Basic Attention Token,0.00005226,-0.60859642449601
WELL-USD,Moonwell,0.032024,-0.67613671608461
WELL-USDC,Moonwell,0.032024,-0.67613671608461
EIGEN-USDC,EigenLayer,1.587,-0.6883604505632
EIGEN-USD,EigenLayer,1.587,-0.6883604505632
ADA-ETH,Cardano,0.000276,-0.71942446043165
GNO-USD,Gnosis,135.71,-0.73147538585327
