Product-ID,Base-Name,Price,Price Percentage Change 24h,Volume 24h,Base Currency ID,Quote Currency ID
A8-USD,Ancient8,0.1633,26.68735453840186,22301659.17,A8,USD
A8-USDC,Ancient8,0.1633,26.68735453840186,22301659.17,A8,USDC
FIS-USD,StaFi,0.1786,12.46851385390428,5532336.7,FIS,USD
FIS-USDC,StaFi,0.1786,12.46851385390428,5532336.7,FIS,USDC
TRB-USDC,Tellor,55.08,12.40816326530612,424070.753,TRB,USDC
TRB-USD,Tellor,55.08,12.40816326530612,424070.753,TRB,USD
EIGEN-USD,EigenLayer,1.698,12.15323645970938,1382752.67,EIGEN,USD
EIGEN-USDC,EigenLayer,1.698,12.15323645970938,1382752.67,EIGEN,USDC
LCX-USDC,LCX,0.1511,11.4306784660767,6583673.1,LCX,USDC
LCX-USD,LCX,0.1511,11.4306784660767,6583673.1,LCX,USD
LDO-USD,Lido DAO Token,0.968,7.79510022271715,3401390.4,LDO,USD
LDO-USDC,Lido DAO Token,0.968,7.79510022271715,3401390.4,LDO,USDC
MASK-GBP,Mask Network,1.745,7.71604938271605,35881.04,MASK,GBP
DEXT-USD,DEXTools,0.3406,7.44479495268139,590804.7,DEXT,USD
DEXT-USDC,DEXTools,0.3406,7.44479495268139,590804.7,DEXT,USDC
MASK-EUR,Mask Network,2.08,7.21649484536082,55364.17,MASK,EUR
ENS-EUR,Ethereum Name Service,21.77,6.97788697788698,2804.575,ENS,EUR
DRIFT-USD,Drift Protocol,0.724,6.9423929098966,2217936.41,DRIFT,USD
DRIFT-USDC,Drift Protocol,0.724,6.9423929098966,2217936.41,DRIFT,USDC
MASK-USD,Mask Network,2.34,6.84931506849315,2007202.1,MASK,USD
MASK-USDC,Mask Network,2.34,6.84931506849315,2007202.1,MASK,USDC
MASK-USDT,Mask Network,2.34,6.84931506849315,19683.17,MASK,USDT
UNI-BTC,Uniswap,0.0000663,6.76328502415459,16953.034105,UNI,BTC
ENS-USDT,Ethereum Name Service,24.58,6.68402777777778,2042.501,ENS,USDT
ENS-USD,Ethereum Name Service,24.58,6.54529692241006,181082.639,ENS,USD
ENS-USDC,Ethereum Name Service,24.58,6.54529692241006,181082.639,ENS,USDC
MKR-BTC,Maker,0.01617,6.31163708086785,3.483274,MKR,BTC
UNI-EUR,Uniswap,6.34,6.02006688963211,244046.669,UNI,EUR
UNI-USD,Uniswap,7.154,5.95379146919431,4629446.860702,UNI,USD
UNI-USDC,Uniswap,7.154,5.95379146919431,4629446.860702,UNI,USDC
UNI-GBP,Uniswap,5.31,5.77689243027888,49874.437,UNI,GBP
ARB-USDC,Arbitrum,0.4251,5.56245343928483,21472555.96,ARB,USDC
ARB-USD,Arbitrum,0.4251,5.56245343928483,21472555.96,ARB,USD
ETHFI-USDC,ether.fi,1.466,5.54355651547876,1314677.56,ETHFI,USDC
ETHFI-USD,ether.fi,1.466,5.54355651547876,1314677.56,ETHFI,USD
RONIN-USD,Ronin,0.708,5.51415797317437,339630.64,RONIN,USD
RONIN-USDC,Ronin,0.708,5.51415797317437,339630.64,RONIN,USDC
MKR-USD,Maker,1750.68,5.38393007632853,1176.544655,MKR,USD
MKR-USDC,Maker,1750.68,5.38393007632853,1176.544655,MKR,USDC
PEPE-USDC,Pepe,0.0000145,5.37790697674419,2942418520038.0,PEPE,USDC
PEPE-USD,Pepe,0.0000145,5.37790697674419,2942418520038.0,PEPE,USD
DIMO-USDC,DIMO,0.0693,5.17529215358932,3479992.6,DIMO,USDC
DIMO-USD,DIMO,0.0693,5.17529215358932,3479992.6,DIMO,USD
GODS-USDC,Gods Unchained,0.16628,4.66419084786303,5373881.71,GODS,USDC
GODS-USD,Gods Unchained,0.16628,4.66419084786303,5373881.71,GODS,USD
ETH-BTC,Ethereum,0.02529,4.41783649876135,3692.80801549,ETH,BTC
APE-EUR,ApeCoin,0.641,4.39739413680782,181467.99,APE,EUR
APE-USDT,ApeCoin,0.725,4.16666666666667,580458.74,APE,USDT
OP-USDT,Optimism,0.79,4.08432147562582,154248.58,OP,USDT
APE-USD,ApeCoin,0.725,4.01721664275466,1116721.54,APE,USD
APE-USDC,ApeCoin,0.725,4.01721664275466,1116721.54,APE,USDC
BNT-USDC,Bancor Network Token,0.7378,3.97406989853439,32142.65021,BNT,USDC
BNT-USD,Bancor Network Token,0.7378,3.97406989853439,32142.65021,BNT,USD
