Product-ID,Base-Name,Price,Price Percentage Change 24h
ME-USD,Magic Eden,1.068,26.09208972845336
ME-USDC,Magic Eden,1.068,26.09208972845336
TRB-USD,Tellor,48.12,14.10955655679393
TRB-USDC,Tellor,48.12,14.10955655679393
MASK-USD,Mask Network,2.96,12.97709923664122
MASK-USDC,Mask Network,2.96,12.97709923664122
MASK-USDT,Mask Network,2.95,12.59541984732824
MASK-EUR,Mask Network,2.59,10.21276595744681
COW-USD,CoW Protocol,0.4322,10.05856888209829
COW-USDC,CoW Protocol,0.4322,10.05856888209829
XCN-USD,Onyxcoin,0.01688,9.89583333333333
XCN-USDC,Onyxcoin,0.01688,9.89583333333333
ATH-USD,Aethir,0.05104,9.38705529361337
ATH-USDC,Aethir,0.05104,9.38705529361337
DIMO-USDC,DIMO,0.0683,8.32672482157018
DIMO-USD,DIMO,0.0683,8.32672482157018
MKR-BTC,Maker,0.01784,7.99031476997579
MASK-GBP,Mask Network,2.151,7.87362086258776
UMA-USD,UMA,1.234,7.49128919860627
UMA-USDC,UMA,1.234,7.49128919860627
ZORA-USD,Zora,0.01027,7.09071949947862
ZORA-USDC,Zora,0.01027,7.09071949947862
QNT-USD,Quant,115.84,6.44123862905449
QNT-USDC,Quant,115.84,6.44123862905449
AGLD-USDC,Adventure Gold,0.8788,6.34075508228461
AGLD-USD,Adventure Gold,0.8788,6.34075508228461
COMP-BTC,Compound,0.000423,6.28140703517588
MKR-USD,Maker,1887.65,6.2674518104846
MKR-USDC,Maker,1887.65,6.2674518104846
QNT-USDT,Quant,115.04,6.15483990034142
COMP-USD,Compound,44.5,6.12926305747675
COMP-USDC,Compound,44.5,6.12926305747675
T-USD,Threshold,0.01589,5.65159574468085
T-USDC,Threshold,0.01589,5.65159574468085
ZK-USDC,ZKsync,0.05914,4.98846085567193
ZK-USD,ZKsync,0.05914,4.98846085567193
ICP-BTC,Internet Computer,0.000051,4.93827160493827
UNI-EUR,Uniswap,5.89,4.43262411347518
JTO-USD,Jito,1.8575,4.2426623267299
JTO-USDC,Jito,1.8575,4.2426623267299
UNI-BTC,Uniswap,0.0000631,4.12541254125413
ICP-EUR,Internet Computer,4.731,4.06951165860097
ICP-GBP,Internet Computer,4,4.0582726326743
UNI-USD,Uniswap,6.699,3.95716945996276
UNI-USDC,Uniswap,6.699,3.95716945996276
UNI-GBP,Uniswap,4.93,3.78947368421053
AAVE-BTC,Aave,0.00251,3.46248969497115
CGLD-EUR,Celo,0.3,3.44827586206897
AAVE-EUR,Aave,233,3.31677899964526
FET-USDT,Artificial Superintelligence Alliance,0.8275,3.243917654398
FET-USDC,Artificial Superintelligence Alliance,0.8281,3.21575470522249
FET-USD,Artificial Superintelligence Alliance,0.8281,3.21575470522249
ICP-USD,Internet Computer,5.369,3.19046703824717
ICP-USDC,Internet Computer,5.369,3.19046703824717
ICP-USDT,Internet Computer,5.36,3.17613089509143
MORPHO-USDC,Morpho,1.4209,2.98615641081395
MORPHO-USD,Morpho,1.4209,2.98615641081395
AAVE-USD,Aave,265.05,2.9040649143922
AAVE-USDC,Aave,265.05,2.9040649143922
ALICE-USDC,MyNeighborAlice,0.431,2.86396181384248
ALICE-USD,MyNeighborAlice,0.431,2.86396181384248
AAVE-GBP,Aave,195.85,2.75445960125918
OCEAN-USDC,Ocean Protocol,0.3644,2.70574971815107
OCEAN-USD,Ocean Protocol,0.3644,2.70574971815107
FORT-USDC,Forta,0.0754,2.58503401360544
FORT-USD,Forta,0.0754,2.58503401360544
XRP-EUR,XRP,1.9825,2.4441918147995
LRC-BTC,Loopring,0.00000084,2.4390243902439
G-USDC,Gravity,0.01368,2.31862378459237
G-USD,Gravity,0.01368,2.31862378459237
BAND-USDC,Band Protocol,0.694,2.20913107511046
BAND-USD,Band Protocol,0.694,2.20913107511046
RARE-USD,SuperRare,0.0603,2.20338983050847
RARE-USDC,SuperRare,0.0603,2.20338983050847
ANKR-EUR,Ankr,0.01496,2.18579234972678
XRP-USD,XRP,2.25887,2.13274856445268
XRP-USDC,XRP,2.25887,2.13274856445268
XRP-USDT,XRP,2.2564,2.09030856936024
C98-USDC,Coin98,0.0544,1.87265917602996
C98-USD,Coin98,0.0544,1.87265917602996
