Product-ID,Base-Name,Price,Price Percentage Change 24h
ME-USDC,Magic Eden,1.035,21.1943793911007
ME-USD,Magic Eden,1.035,21.1943793911007
TRB-USD,Tellor,50.03,18.69513641755635
TRB-USDC,Tellor,50.03,18.69513641755635
ATH-USD,Aethir,0.05085,11.9550858652576
ATH-USDC,Aethir,0.05085,11.9550858652576
COW-USDC,CoW Protocol,0.4314,11.21423047177108
COW-USD,CoW Protocol,0.4314,11.21423047177108
ZORA-USD,Zora,0.01066,11.15745568300313
ZORA-USDC,Zora,0.01066,11.15745568300313
MASK-USDT,Mask Network,2.94,9.70149253731343
MASK-USDC,Mask Network,2.94,9.29368029739777
MASK-USD,Mask Network,2.94,9.29368029739777
MASK-EUR,Mask Network,2.59,7.91666666666667
APE-EUR,ApeCoin,0.647,7.83333333333333
APE-USDT,ApeCoin,0.735,7.77126099706745
APE-USDC,ApeCoin,0.736,7.60233918128655
APE-USD,ApeCoin,0.736,7.60233918128655
MASK-GBP,Mask Network,2.182,7.43476120137863
COMP-USD,Compound,44.71,6.93613967950251
COMP-USDC,Compound,44.71,6.93613967950251
UNI-EUR,Uniswap,5.92,6.66666666666667
COMP-BTC,Compound,0.000424,6.53266331658291
UNI-GBP,Uniswap,4.99,6.39658848614072
QNT-USD,Quant,115.75,6.15370506236244
QNT-USDC,Quant,115.75,6.15370506236244
KERNEL-USDC,KernelDAO,0.1596,6.11702127659574
KERNEL-USD,KernelDAO,0.1596,6.11702127659574
UNI-USDC,Uniswap,6.726,6.03815229386726
UNI-USD,Uniswap,6.726,6.03815229386726
QNT-USDT,Quant,116.06,5.99086757990868
MKR-USDC,Maker,1875.81,5.40153285983997
MKR-USD,Maker,1875.81,5.40153285983997
BAL-USD,Balancer,1.1277,5.15665796344648
BAL-USDC,Balancer,1.1277,5.15665796344648
MKR-BTC,Maker,0.01787,5.05584950029394
INJ-USDC,Injective,12.958,4.83818770226537
INJ-USD,Injective,12.958,4.83818770226537
UNI-BTC,Uniswap,0.0000638,4.76190476190476
OCEAN-USDC,Ocean Protocol,0.3665,4.65448315248429
OCEAN-USD,Ocean Protocol,0.3665,4.65448315248429
FORT-USDC,Forta,0.0749,4.60893854748603
FORT-USD,Forta,0.0749,4.60893854748603
ZK-USDC,ZKsync,0.05928,4.21940928270042
ZK-USD,ZKsync,0.05928,4.21940928270042
ICP-EUR,Internet Computer,4.691,4.12874583795782
00-USD,00 Token,0.0177,4.11764705882353
00-USDC,00 Token,0.0177,4.11764705882353
JTO-USD,Jito,1.8615,4.08163265306122
JTO-USDC,Jito,1.8615,4.08163265306122
AGLD-USD,Adventure Gold,0.8598,3.91588107324148
AGLD-USDC,Adventure Gold,0.8598,3.91588107324148
T-USDC,Threshold,0.01573,3.89696169088507
T-USD,Threshold,0.01573,3.89696169088507
ICP-USDC,Internet Computer,5.341,3.89029371717565
ICP-USD,Internet Computer,5.341,3.89029371717565
AAVE-EUR,Aave,232.82,3.8633119200571
FET-USD,Artificial Superintelligence Alliance,0.8211,3.70042940136398
FET-USDC,Artificial Superintelligence Alliance,0.8211,3.70042940136398
LQTY-USDC,Liquity,1.0349,3.61433720464557
LQTY-USD,Liquity,1.0349,3.61433720464557
FET-USDT,Artificial Superintelligence Alliance,0.8184,3.51631672147736
ICP-BTC,Internet Computer,0.0000506,3.47648261758691
AAVE-USDC,Aave,264.6,3.41188884980654
AAVE-USD,Aave,264.6,3.41188884980654
AAVE-GBP,Aave,195.9,3.34458746571007
AAVE-BTC,Aave,0.002511,3.29082682023858
ICP-GBP,Internet Computer,3.94,3.22242598899659
ICP-USDT,Internet Computer,5.318,3.12197013767694
MORPHO-USDC,Morpho,1.4081,3.03673349919508
MORPHO-USD,Morpho,1.4081,3.03673349919508
ANKR-EUR,Ankr,0.0151,3.00136425648022
SHPING-USD,SHPING,0.005955,2.95643153526971
SHPING-USDC,SHPING,0.005955,2.95643153526971
PLU-USD,Pluton,0.72,2.85714285714286
PLU-USDC,Pluton,0.72,2.85714285714286
C98-USD,Coin98,0.0541,2.85171102661597
C98-USDC,Coin98,0.0541,2.85171102661597
ANKR-GBP,Ankr,0.01266,2.59319286871961
UMA-USDC,UMA,1.18,2.43055555555556
UMA-USD,UMA,1.18,2.43055555555556
EIGEN-USDC,EigenLayer,1.542,2.39043824701195
EIGEN-USD,EigenLayer,1.542,2.39043824701195
MUSE-USD,Muse,8.688,2.32010363914733
MUSE-USDC,Muse,8.688,2.32010363914733
FARM-USDC,Harvest Finance,31.33,2.31874591770085
FARM-USD,Harvest Finance,31.33,2.31874591770085
XCN-USDC,Onyxcoin,0.01607,2.2264631043257
XCN-USD,Onyxcoin,0.01607,2.2264631043257
ALEO-USDC,Aleo,0.185,2.20994475138122
ALEO-USD,Aleo,0.185,2.20994475138122
ANKR-USD,Ankr,0.01705,2.15698022768125
ANKR-USDC,Ankr,0.01705,2.15698022768125
XRP-EUR,XRP,1.9683,2.1538301847623
1INCH-EUR,1inch,0.193,2.11640211640212
VARA-USDC,Vara,0.00616,1.98675496688742
VARA-USD,Vara,0.00616,1.98675496688742
ALICE-USD,MyNeighborAlice,0.428,1.9047619047619
ALICE-USDC,MyNeighborAlice,0.428,1.9047619047619
1INCH-GBP,1inch,0.163,1.875
G-USDC,Gravity,0.01361,1.87125748502994
G-USD,Gravity,0.01361,1.87125748502994
STG-USD,Stargate Finance,0.1855,1.81119648737651
STG-USDC,Stargate Finance,0.1855,1.81119648737651
WIF-USD,dogwifhat,0.975,1.77453027139875
WIF-USDC,dogwifhat,0.975,1.77453027139875
ALCX-USD,Alchemix,9.96,1.7364657814096
ALCX-USDC,Alchemix,9.96,1.7364657814096
