Product-ID,Base-Name,Price,Price Percentage Change 24h,Volume 24h,Base Currency ID,Quote Currency ID
APT-USD,Aptos,5.37,0.0,426089.838,APT,USD
APT-USDC,Aptos,5.37,0.0,426089.838,APT,USDC
DAI-USD,Dai,0.9999,0.0,457120.90872,DAI,USD
DAI-USDC,Dai,0.9999,0.0,457120.90872,DAI,USDC
PNG-USDC,Pangolin,0.18298,-0.00546477949615,1103783.0,PNG,USDC
PNG-USD,Pangolin,0.18298,-0.00546477949615,1103783.0,PNG,USD
USDT-USD,Tether,1.00034,-0.01299389287035,91012492.59,USDT,USD
USDT-USDC,Tether,1.0003,-0.02998201079352,2627715.19,USDT,USDC
CBETH-ETH,Coinbase Wrapped Staked ETH,1.09945,-0.03000600120024,13.84191,CBETH,ETH
POL-USDC,Polygon Ecosystem Token,0.2297,-0.04351610095735,4152517.68,POL,USDC
POL-USD,Polygon Ecosystem Token,0.2297,-0.04351610095735,4152517.68,POL,USD
FIL-USDC,Filecoin,2.862,-0.06983240223464,774109.38,FIL,USDC
FIL-USD,Filecoin,2.862,-0.06983240223464,774109.38,FIL,USD
PAX-USDC,Paxos Standard,0.9982,-0.08008008008008,258.74,PAX,USDC
PAX-USD,Paxos Standard,0.9982,-0.08008008008008,258.74,PAX,USD
SAND-USDC,The Sandbox,0.3061,-0.09791122715405,1779023.96,SAND,USDC
SAND-USD,The Sandbox,0.3061,-0.09791122715405,1779023.96,SAND,USD
ANKR-USD,Ankr,0.01802,-0.11086474501109,9117810.0,ANKR,USD
ANKR-USDC,Ankr,0.01802,-0.11086474501109,9117810.0,ANKR,USDC
API3-USDC,Api3,0.813,-0.12285012285012,429702.8,API3,USDC
API3-USD,Api3,0.813,-0.12285012285012,429702.8,API3,USD
IMX-USD,Immutable,0.636,-0.12562814070352,3573404.67,IMX,USD
IMX-USDC,Immutable,0.636,-0.12562814070352,3573404.67,IMX,USDC
AAVE-USD,Aave,269.08,-0.13731675635554,57335.257,AAVE,USD
AAVE-USDC,Aave,269.08,-0.13731675635554,57335.257,AAVE,USDC
ADA-USDC,Cardano,0.7505,-0.18619497273574,26785528.43060928,ADA,USDC
ADA-USD,Cardano,0.7505,-0.18619497273574,26785528.43060928,ADA,USD
ADA-USDT,Cardano,0.7494,-0.18646776771444,1012564.09,ADA,USDT
CRO-USDT,Cronos,0.0978,-0.20408163265306,161413.0,CRO,USDT
XRP-EUR,XRP,2.0225,-0.21215709492797,1500110.825986,XRP,EUR
AMP-USDC,Amp,0.00455,-0.21929824561404,164649863.0,AMP,USDC
AMP-USD,Amp,0.00455,-0.21929824561404,164649863.0,AMP,USD
NCT-USD,PolySwarm,0.02104,-0.23707918444761,8303275.0,NCT,USD
NCT-USDC,PolySwarm,0.02104,-0.23707918444761,8303275.0,NCT,USDC
UMA-USDC,UMA,1.237,-0.24193548387097,112546.514,UMA,USDC
UMA-USD,UMA,1.237,-0.24193548387097,112546.514,UMA,USD
LINK-EUR,Chainlink,14.01,-0.2846975088968,50444.94,LINK,EUR
T-USD,Threshold,0.01732,-0.28785261945884,934260.0,T,USD
T-USDC,Threshold,0.01732,-0.28785261945884,934260.0,T,USDC
AIOZ-USD,AIOZ Network,0.4295,-0.30176415970288,2782732.4,AIOZ,USD
AIOZ-USDC,AIOZ Network,0.4295,-0.30176415970288,2782732.4,AIOZ,USDC
DNT-USDC,district0x,0.0299,-0.33333333333333,616056.4,DNT,USDC
DNT-USD,district0x,0.0299,-0.33333333333333,616056.4,DNT,USD
MSOL-USD,Marinade Staked SOL,223.7,-0.34746970776907,138.132,MSOL,USD
MSOL-USDC,Marinade Staked SOL,223.7,-0.34746970776907,138.132,MSOL,USDC
DIA-USDC,DIA,0.46685,-0.35856828804986,371012.42,DIA,USDC
DIA-USD,DIA,0.46685,-0.35856828804986,371012.42,DIA,USD
CLV-USDC,Clover Finance,0.0271,-0.36764705882353,2319734.68,CLV,USDC
CLV-USD,Clover Finance,0.0271,-0.36764705882353,2319734.68,CLV,USD
