Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
ATOM-GBP,Cosmos,3.505,-0.65192743764172,ATOM,GBP
AKT-USD,Akash Network,1.517,-0.65487884741323,AKT,USD
AKT-USDC,Akash Network,1.517,-0.65487884741323,AKT,USDC
LINK-EUR,Chainlink,13.57,-0.6588579795022,LINK,EUR
PRCL-USDC,Parcl,0.1037,-0.67049808429119,PRCL,USDC
PRCL-USD,Parcl,0.1037,-0.67049808429119,PRCL,USD
ADA-ETH,Cardano,0.000295,-0.67340067340067,ADA,ETH
AUCTION-USD,Bounce Token,11.76,-0.67567567567568,AUCTION,USD
AUCTION-USDC,Bounce Token,11.76,-0.67567567567568,AUCTION,USDC
ADA-GBP,Cardano,0.5573,-0.67724113348779,ADA,GBP
ARB-USDC,Arbitrum,0.3905,-0.68667344862665,ARB,USDC
ARB-USD,Arbitrum,0.3905,-0.68667344862665,ARB,USD
COMP-USD,Compound,41.91,-0.68720379146919,COMP,USD
COMP-USDC,Compound,41.91,-0.68720379146919,COMP,USDC
CHZ-USDT,Chiliz,0.0433,-0.68807339449541,CHZ,USDT
SHIB-USDT,SHIBA INU,0.0000144,-0.68965517241379,SHIB,USDT
FX-USD,Function X,0.1856,-0.69555912252541,FX,USD
FX-USDC,Function X,0.1856,-0.69555912252541,FX,USDC
PUNDIX-USD,Pundi X (New),0.3825,-0.72670646249676,PUNDIX,USD
PUNDIX-USDC,Pundi X (New),0.3825,-0.72670646249676,PUNDIX,USDC
ZEN-USD,Horizen,9.416,-0.72746441750132,ZEN,USD
ZEN-USDC,Horizen,9.416,-0.72746441750132,ZEN,USDC
MSOL-USDC,Marinade Staked SOL,225.33,-0.73568281938326,MSOL,USDC
MSOL-USD,Marinade Staked SOL,225.33,-0.73568281938326,MSOL,USD
ETC-GBP,Ethereum Classic,13.46,-0.73746312684366,ETC,GBP
RNDR-EUR,Render (ERC-20),4.161,-0.76317672310995,RNDR,EUR
ETC-USDC,Ethereum Classic,18.16,-0.76502732240437,ETC,USDC
ETC-USD,Ethereum Classic,18.16,-0.76502732240437,ETC,USD
AXS-BTC,Axie Infinity,0.0000257,-0.77220077220077,AXS,BTC
IDEX-USDC,IDEX,0.0246,-0.80645161290323,IDEX,USDC
IDEX-USD,IDEX,0.0246,-0.80645161290323,IDEX,USD
AXS-EUR,Axie Infinity,2.46,-0.80645161290323,AXS,EUR
CGLD-USD,Celo,0.368,-0.80862533692722,CGLD,USD
CGLD-USDC,Celo,0.368,-0.80862533692722,CGLD,USDC
STX-USD,Stacks,0.8777,-0.82485875706215,STX,USD
STX-USDC,Stacks,0.8777,-0.82485875706215,STX,USDC
ZRO-USD,LayerZero,2.689,-0.84808259587021,ZRO,USD
ZRO-USDC,LayerZero,2.689,-0.84808259587021,ZRO,USDC
FARM-USD,Harvest Finance,30.38,-0.84856396866841,FARM,USD
FARM-USDC,Harvest Finance,30.38,-0.84856396866841,FARM,USDC
LINK-ETH,Chainlink,0.0060495,-0.85176195244752,LINK,ETH
SNX-GBP,Synthetix Network Token,0.566,-0.87565674255692,SNX,GBP
