Product-ID,Base-Name,Price,Price Percentage Change 24h
WELL-USDC,Moonwell,0.043491,21.63613480632079
WELL-USD,Moonwell,0.043491,21.63613480632079
CRO-USDT,Cronos,0.1029,12.09150326797386
CRO-USD,Cronos,0.1025,10.93073593073593
CRO-USDC,Cronos,0.1025,10.93073593073593
CRO-EUR,Cronos,0.0907,9.14560770156438
ALCX-USDC,Alchemix,10.37,8.70020964360587
ALCX-USD,Alchemix,10.37,8.70020964360587
RBN-USDC,Ribbon Finance,0.11932,5.55555555555556
RBN-USD,Ribbon Finance,0.11932,5.55555555555556
FARM-USDC,Harvest Finance,32.07,4.70127326150833
FARM-USD,Harvest Finance,32.07,4.70127326150833
MUSE-USDC,Muse,8.757,3.4617202268431
MUSE-USD,Muse,8.757,3.4617202268431
KAVA-USDC,Kava,0.4165,2.78874629812438
KAVA-USD,Kava,0.4165,2.78874629812438
ALEPH-USD,Aleph Cloud,0.0625,1.95758564437194
ALEPH-USDC,Aleph Cloud,0.0625,1.95758564437194
AAVE-BTC,Aave,0.002406,1.26262626262626
NMR-USDC,Numeraire,8.48,0.95238095238095
NMR-USD,Numeraire,8.48,0.95238095238095
INV-USD,Inverse Finance,27.59,0.87751371115174
INV-USDC,Inverse Finance,27.59,0.87751371115174
GODS-USD,Gods Unchained,0.152,0.86264100862641
GODS-USDC,Gods Unchained,0.152,0.86264100862641
BCH-BTC,Bitcoin Cash,0.00387,0.59786846893683
MANA-ETH,Decentraland,0.0001068,0.47036688617121
AMP-USD,Amp,0.00412,0.24330900243309
AMP-USDC,Amp,0.00412,0.24330900243309
USDT-GBP,Tether,0.7441,0.17501346257404
USDC-GBP,USDC,0.7436,0.13466199838406
EURC-USDC,EURC,1.1335,0.07062770371678
AAVE-GBP,Aave,185.59,0.07009597756929
AAVE-USD,Aave,249.58,0.06414882527464
AAVE-USDC,Aave,249.58,0.06414882527464
PAXG-USDC,PAX Gold,3312.27,0.06253398586188
PAXG-USD,PAX Gold,3312.27,0.06253398586188
USDT-USDC,Tether,1.0005,0.01999400179946
USDT-USD,Tether,1.00044,0.0049980507602
CBETH-ETH,Coinbase Wrapped Staked ETH,1.10046,0.00272620702816
DAI-USD,Dai,0.9999,0.0
DAI-USDC,Dai,0.9999,0.0
LSETH-ETH,Liquid Staked ETH,1.07875,-0.02687574139976
USDC-EUR,USDC,0.8821,-0.05665080444142
USDT-EUR,Tether,0.88248,-0.06002197030611
SPELL-USDC,Spell Token,0.0005408,-0.11082379017362
SPELL-USD,Spell Token,0.0005408,-0.11082379017362
AAVE-EUR,Aave,220.15,-0.11343012704174
KRL-USD,Kryll,0.3412,-0.40863981319323
KRL-USDC,Kryll,0.3412,-0.40863981319323
COMP-BTC,Compound,0.000389,-0.51150895140665
HOPR-USD,HOPR,0.0449,-0.66371681415929
HOPR-USDC,HOPR,0.0449,-0.66371681415929
TAO-USD,Bittensor,401.31,-0.72727272727273
TAO-USDC,Bittensor,401.31,-0.72727272727273
BCH-USDC,Bitcoin Cash,401.26,-0.76909760862576
BCH-USD,Bitcoin Cash,401.26,-0.76909760862576
BCH-EUR,Bitcoin Cash,354.08,-0.80959184245175
PAX-USDC,Paxos Standard,0.9998,-0.97068145800317
PAX-USD,Paxos Standard,0.9998,-0.97068145800317
LINK-ETH,Chainlink,0.00546856,-1.02655431036979
COOKIE-USD,Cookie DAO,0.222,-1.04305964161541
COOKIE-USDC,Cookie DAO,0.222,-1.04305964161541
DNT-USDC,district0x,0.0277,-1.07142857142857
DNT-USD,district0x,0.0277,-1.07142857142857
B3-USDC,B3 (Base),0.003182,-1.14942528735632
B3-USD,B3 (Base),0.003182,-1.14942528735632
DIMO-USDC,DIMO,0.06303,-1.20689655172414
DIMO-USD,DIMO,0.06303,-1.20689655172414
MANTLE-USD,Mantle,0.6748,-1.215049041136
MANTLE-USDC,Mantle,0.6748,-1.215049041136
BTC-GBP,Bitcoin,77124.34,-1.23573876683777
BCH-GBP,Bitcoin Cash,298.56,-1.2371816076745
FORTH-USD,Ampleforth Governance Token,2.3613,-1.34943181818182
FORTH-USDC,Ampleforth Governance Token,2.3613,-1.34943181818182
BTC-USDC,Bitcoin,103711,-1.36545378063588
BTC-USD,Bitcoin,103711,-1.36545378063588
BTC-USDT,Bitcoin,103704.7,-1.37648225760589
ELA-USDC,Elastos,1.53,-1.41752577319588
ELA-USD,Elastos,1.53,-1.41752577319588
BTC-EUR,Bitcoin,91477.73,-1.44964617735152
