Product-ID,Base-Name,Price,Price Percentage Change 24h
TRB-USDC,Tellor,51.74,24.76489028213166
TRB-USD,Tellor,51.74,24.76489028213166
ME-USDC,Magic Eden,1.055,23.53629976580796
ME-USD,Magic Eden,1.055,23.53629976580796
RBN-USDC,Ribbon Finance,0.14331,17.198233562316
RBN-USD,Ribbon Finance,0.14331,17.198233562316
ZORA-USDC,Zora,0.011,12.47443762781186
ZORA-USD,Zora,0.011,12.47443762781186
APE-USD,ApeCoin,0.761,11.58357771260997
APE-USDC,ApeCoin,0.761,11.58357771260997
APE-EUR,ApeCoin,0.667,11.16666666666667
APE-USDT,ApeCoin,0.757,10.67251461988304
ATH-USDC,Aethir,0.04987,10.45404208194906
ATH-USD,Aethir,0.04987,10.45404208194906
COMP-USDC,Compound,45.89,10.25949062950505
COMP-USD,Compound,45.89,10.25949062950505
COMP-BTC,Compound,0.000434,8.7719298245614
UNI-EUR,Uniswap,5.96,6.81003584229391
UNI-USDC,Uniswap,6.795,6.67189952904239
UNI-USD,Uniswap,6.795,6.67189952904239
UNI-GBP,Uniswap,5.03,6.56779661016949
QNT-USDC,Quant,114.87,5.87096774193548
QNT-USD,Quant,114.87,5.87096774193548
AGLD-USD,Adventure Gold,0.8636,5.63914373088685
AGLD-USDC,Adventure Gold,0.8636,5.63914373088685
ICP-USDC,Internet Computer,5.43,5.53935860058309
ICP-USD,Internet Computer,5.43,5.53935860058309
OCEAN-USD,Ocean Protocol,0.3706,5.43385490753912
OCEAN-USDC,Ocean Protocol,0.3706,5.43385490753912
KERNEL-USD,KernelDAO,0.1565,5.38720538720539
KERNEL-USDC,KernelDAO,0.1565,5.38720538720539
ICP-GBP,Internet Computer,4.006,5.31019978969506
ICP-BTC,Internet Computer,0.0000517,5.29531568228106
COW-USDC,CoW Protocol,0.4275,5.16605166051661
COW-USD,CoW Protocol,0.4275,5.16605166051661
ICP-USDT,Internet Computer,5.422,4.99612703330751
AAVE-EUR,Aave,237.29,4.93521425728563
UNI-BTC,Uniswap,0.0000643,4.89396411092985
JTO-USDC,Jito,1.8707,4.83635956063663
JTO-USD,Jito,1.8707,4.83635956063663
T-USDC,Threshold,0.01584,4.83123759099934
T-USD,Threshold,0.01584,4.83123759099934
AAVE-USDC,Aave,270.17,4.74953473945409
AAVE-USD,Aave,270.17,4.74953473945409
QNT-USDT,Quant,114.61,4.59979921511363
ZK-USD,ZKsync,0.05936,4.59911894273128
ZK-USDC,ZKsync,0.05936,4.59911894273128
FET-USD,Artificial Superintelligence Alliance,0.8237,4.50393301192591
FET-USDC,Artificial Superintelligence Alliance,0.8237,4.50393301192591
ICP-EUR,Internet Computer,4.74,4.47432223936522
FET-USDT,Artificial Superintelligence Alliance,0.8233,4.42668696093354
G-USD,Gravity,0.0138,4.22960725075529
G-USDC,Gravity,0.0138,4.22960725075529
INJ-USDC,Injective,12.741,4.21233436937674
INJ-USD,Injective,12.741,4.21233436937674
AAVE-GBP,Aave,199.78,4.14972369930143
00-USDC,00 Token,0.0176,4.14201183431953
00-USD,00 Token,0.0176,4.14201183431953
LQTY-USDC,Liquity,1.0394,3.90882735179446
LQTY-USD,Liquity,1.0394,3.90882735179446
AAVE-BTC,Aave,0.002559,3.89768574908648
DIMO-USDC,DIMO,0.06581,3.39355852317361
DIMO-USD,DIMO,0.06581,3.39355852317361
NCT-USD,PolySwarm,0.01963,3.37019483938915
NCT-USDC,PolySwarm,0.01963,3.37019483938915
CGLD-EUR,Celo,0.31,3.33333333333333
XRP-EUR,XRP,1.9828,3.31388078365986
XRP-USD,XRP,2.2578,3.05824356399489
XRP-USDC,XRP,2.2578,3.05824356399489
STG-USD,Stargate Finance,0.1868,3.03364589078875
STG-USDC,Stargate Finance,0.1868,3.03364589078875
CTSI-USDC,Cartesi,0.066,2.96411856474259
CTSI-USD,Cartesi,0.066,2.96411856474259
ALCX-USDC,Alchemix,10.1,2.95616717635066
ALCX-USD,Alchemix,10.1,2.95616717635066
MASK-GBP,Mask Network,2.184,2.92177191328935
SHPING-USDC,SHPING,0.00596,2.84728213977567
SHPING-USD,SHPING,0.00596,2.84728213977567
KAVA-USD,Kava,0.445,2.818853974122
KAVA-USDC,Kava,0.445,2.818853974122
XRP-USDT,XRP,2.2569,2.78726601994808
XCN-USD,Onyxcoin,0.01586,2.78677900194426
XCN-USDC,Onyxcoin,0.01586,2.78677900194426
ANKR-USD,Ankr,0.01709,2.64264264264264
ANKR-USDC,Ankr,0.01709,2.64264264264264
LINK-EUR,Chainlink,12.6,2.52237591537836
SD-USDC,Stader,0.5203,2.50197005516154
SD-USD,Stader,0.5203,2.50197005516154
GFI-USD,Goldfinch Protocol,0.8072,2.5015873015873
GFI-USDC,Goldfinch Protocol,0.8072,2.5015873015873
VARA-USD,Vara,0.00618,2.48756218905473
VARA-USDC,Vara,0.00618,2.48756218905473
C98-USD,Coin98,0.0539,2.47148288973384
C98-USDC,Coin98,0.0539,2.47148288973384
ANKR-EUR,Ankr,0.01498,2.46238030095759
LINK-USDC,Chainlink,14.355,2.42597217267214
LINK-USD,Chainlink,14.355,2.42597217267214
LINK-GBP,Chainlink,10.6,2.21793635486982
BAL-USDC,Balancer,1.0912,2.15315483991762
BAL-USD,Balancer,1.0912,2.15315483991762
UMA-USDC,UMA,1.174,2.08695652173913
UMA-USD,UMA,1.174,2.08695652173913
RARE-USDC,SuperRare,0.0599,2.0442930153322
RARE-USD,SuperRare,0.0599,2.0442930153322
ARB-USDC,Arbitrum,0.3686,2.02048159424301
ARB-USD,Arbitrum,0.3686,2.02048159424301
XTZ-EUR,Tezos,0.52,1.96078431372549
1INCH-GBP,1inch,0.163,1.875
1INCH-USD,1inch,0.219,1.86046511627907
1INCH-USDC,1inch,0.219,1.86046511627907
ETC-BTC,Ethereum Classic,0.000169,1.80722891566265
XLM-EUR,Stellar Lumens,0.241714,1.79660388800916
XLM-USD,Stellar Lumens,0.275375,1.78189936204972
XLM-USDC,Stellar Lumens,0.275375,1.78189936204972
LINK-USDT,Chainlink,14.33,1.77556818181818
BAND-USDC,Band Protocol,0.689,1.7725258493353
BAND-USD,Band Protocol,0.689,1.7725258493353
NEAR-USDC,NEAR Protocol,2.532,1.727601446364
NEAR-USD,NEAR Protocol,2.532,1.727601446364
LINK-BTC,Chainlink,0.00013606,1.7194976076555
STORJ-USDC,Storj,0.2732,1.67473018235951
STORJ-USD,Storj,0.2732,1.67473018235951
PENDLE-USD,Pendle,4.348,1.63627863487611
PENDLE-USDC,Pendle,4.348,1.63627863487611
ETC-GBP,Ethereum Classic,13.17,1.62037037037037
ENS-USD,Ethereum Name Service,22.08,1.61067648412333
ENS-USDC,Ethereum Name Service,22.08,1.61067648412333
MASK-EUR,Mask Network,2.57,1.58102766798419
1INCH-EUR,1inch,0.193,1.57894736842105
TIME-USD,Chrono.tech,12.29,1.5702479338843
TIME-USDC,Chrono.tech,12.29,1.5702479338843
ETC-EUR,Ethereum Classic,15.59,1.56351791530945
ETH-EUR,Ethereum,2316.06,1.55886183353724
MKR-USDC,Maker,1830.37,1.55294665941699
MKR-USD,Maker,1830.37,1.55294665941699
HONEY-USD,Hivemapper,0.0263,1.54440154440154
HONEY-USDC,Hivemapper,0.0263,1.54440154440154
CRV-BTC,Curve DAO Token,0.0000066,1.53846153846154
BNT-USDC,Bancor Network Token,0.6742,1.53614457831325
BNT-USD,Bancor Network Token,0.6742,1.53614457831325
PLU-USD,Pluton,0.7,1.44927536231884
PLU-USDC,Pluton,0.7,1.44927536231884
ETC-USD,Ethereum Classic,17.77,1.42694063926941
ETC-USDC,Ethereum Classic,17.77,1.42694063926941
TAO-USDC,Bittensor,395.45,1.41823963890029
TAO-USD,Bittensor,395.45,1.41823963890029
CVX-USD,Convex Finance,2.741,1.40584535701073
CVX-USDC,Convex Finance,2.741,1.40584535701073
EIGEN-USD,EigenLayer,1.528,1.39349701393497
EIGEN-USDC,EigenLayer,1.528,1.39349701393497
MASK-USDT,Mask Network,2.92,1.38888888888889
ETH-USDT,Ethereum,2636.55,1.3379507560325
BCH-USD,Bitcoin Cash,406.26,1.33699176852083
BCH-USDC,Bitcoin Cash,406.26,1.33699176852083
A8-USDC,Ancient8,0.122,1.32890365448505
A8-USD,Ancient8,0.122,1.32890365448505
ETH-DAI,Ethereum,2638.05,1.32822732737462
EOS-BTC,EOS,0.00000616,1.31578947368421
ENS-EUR,Ethereum Name Service,19.38,1.30684788290643
ETH-USDC,Ethereum,2637.29,1.28892012612675
ETH-USD,Ethereum,2637.29,1.28892012612675
ETH-GBP,Ethereum,1950.26,1.27590629852157
BCH-EUR,Bitcoin Cash,356.74,1.23442776469253
LTC-EUR,Litecoin,79.29,1.19974473516273
ANKR-GBP,Ankr,0.01266,1.19904076738609
XLM-BTC,Stellar Lumens,0.00000261,1.16279069767442
ETHFI-USDC,ether.fi,1.222,1.15894039735099
ETHFI-USD,ether.fi,1.222,1.15894039735099
POWR-USD,Powerledger,0.1692,1.13568439928273
POWR-USDC,Powerledger,0.1692,1.13568439928273
MORPHO-USDC,Morpho,1.3905,1.11991855137808
MORPHO-USD,Morpho,1.3905,1.11991855137808
BAT-EUR,Basic Attention Token,0.11922,1.11959287531807
DOGE-EUR,Dogecoin,0.1721,1.11633372502938
ALEO-USDC,Aleo,0.184,1.0989010989011
ALEO-USD,Aleo,0.184,1.0989010989011
BLZ-USDC,Bluzelle,0.0376,1.0752688172043
BLZ-USD,Bluzelle,0.0376,1.0752688172043
EOS-USD,EOS,0.6412,1.0718789407314
EOS-USDC,EOS,0.6412,1.0718789407314
FLOW-USD,Flow,0.378,1.06951871657754
FLOW-USDC,Flow,0.378,1.06951871657754
MASK-USD,Mask Network,2.92,1.03806228373702
MASK-USDC,Mask Network,2.92,1.03806228373702
CBETH-USDC,Coinbase Wrapped Staked ETH,2903.1,1.02412594347994
CBETH-USD,Coinbase Wrapped Staked ETH,2903.1,1.02412594347994
LSETH-USDC,Liquid Staked ETH,2847.88,1.01730987514188
LSETH-USD,Liquid Staked ETH,2847.88,1.01730987514188
MUSE-USD,Muse,8.628,1.00678997892765
MUSE-USDC,Muse,8.628,1.00678997892765
DOGE-USD,Dogecoin,0.1958,1.00072217063861
DOGE-USDC,Dogecoin,0.1958,1.00072217063861
LINK-ETH,Chainlink,0.00543697,0.99828541600489
ADA-EUR,Cardano,0.6132,0.98814229249012
LTC-USD,Litecoin,90.33,0.97250167672703
LTC-USDC,Litecoin,90.33,0.97250167672703
ETH-BTC,Ethereum,0.02501321,0.9411218724778
EOS-EUR,EOS,0.566,0.90925298627206
SHDW-USDC,Shadow Token,0.111,0.90909090909091
SHDW-USD,Shadow Token,0.111,0.90909090909091
LTC-GBP,Litecoin,66.77,0.90675532718755
DEXT-USDC,DEXTools,0.3141,0.89945390298747
DEXT-USD,DEXTools,0.3141,0.89945390298747
DASH-USDC,Dash,22.47,0.89806915132465
DASH-USD,Dash,22.47,0.89806915132465
MATIC-USD,Polygon,0.2179,0.87962962962963
MATIC-USDC,Polygon,0.2179,0.87962962962963
POL-USDC,Polygon Ecosystem Token,0.2181,0.87881591119334
POL-USD,Polygon Ecosystem Token,0.2181,0.87881591119334
NEAR-USDT,NEAR Protocol,2.53,0.87719298245614
FIL-EUR,Filecoin,2.32,0.8695652173913
CRV-USD,Curve DAO Token,0.6914,0.84597432905484
CRV-USDC,Curve DAO Token,0.6914,0.84597432905484
DOGE-GBP,Dogecoin,0.1446,0.83682008368201
DOT-EUR,Polkadot,3.66,0.82644628099174
DOGE-USDT,Dogecoin,0.1955,0.82516761217122
ENS-USDT,Ethereum Name Service,22.04,0.82342177493138
API3-USD,Api3,0.739,0.81855388813097
API3-USDC,Api3,0.739,0.81855388813097
APT-USDC,Aptos,4.96,0.8130081300813
APT-USD,Aptos,4.96,0.8130081300813
BCH-BTC,Bitcoin Cash,0.003851,0.81151832460733
ADA-USDC,Cardano,0.6987,0.80796421872746
ADA-USD,Cardano,0.6987,0.80796421872746
INDEX-USD,Index Cooperative,1.27,0.79365079365079
INDEX-USDC,Index Cooperative,1.27,0.79365079365079
MATIC-EUR,Polygon,0.191,0.79155672823219
ASM-USDC,Assemble AI,0.02099,0.76812289966395
ASM-USD,Assemble AI,0.02099,0.76812289966395
ZETACHAIN-USD,Zetachain,0.2242,0.76404494382022
ZETACHAIN-USDC,Zetachain,0.2242,0.76404494382022
AVAX-EUR,Avalanche,18.71,0.75390414647281
BCH-GBP,Bitcoin Cash,300.09,0.73852764443251
AVAX-USDC,Avalanche,21.32473,0.73089277279169
AVAX-USD,Avalanche,21.32473,0.73089277279169
ALICE-USDC,MyNeighborAlice,0.425,0.71090047393365
ALICE-USD,MyNeighborAlice,0.425,0.71090047393365
LDO-USDC,Lido DAO Token,0.863,0.70011668611435
LDO-USD,Lido DAO Token,0.863,0.70011668611435
MKR-BTC,Maker,0.01737,0.69565217391304
ADA-GBP,Cardano,0.5166,0.68212824010914
DOT-USDC,Polkadot,4.171,0.6515444015444
DOT-USD,Polkadot,4.171,0.6515444015444
DOT-GBP,Polkadot,3.09,0.6514657980456
FIL-USDC,Filecoin,2.627,0.65134099616858
FIL-USD,Filecoin,2.627,0.65134099616858
HBAR-USDC,Hedera,0.173,0.6457618244226
HBAR-USD,Hedera,0.173,0.6457618244226
RSR-USD,Reserve Rights,0.007254,0.61026352288488
RSR-USDC,Reserve Rights,0.007254,0.61026352288488
APT-USDT,Aptos,4.98,0.60606060606061
BTC-EUR,Bitcoin,92632.81,0.5838529320395
DIA-USDC,DIA,0.42653,0.58009290918952
DIA-USD,DIA,0.42653,0.58009290918952
AVAX-USDT,Avalanche,21.3,0.56657223796034
CRV-EUR,Curve DAO Token,0.6067,0.5635670479032
MATIC-GBP,Polygon,0.1617,0.55970149253731
PAX-USDC,Paxos Standard,1.002,0.55193176116407
PAX-USD,Paxos Standard,1.002,0.55193176116407
DOGE-BTC,Dogecoin,0.00000186,0.54054054054054
MINA-EUR,Mina,0.191,0.52631578947368
FIL-GBP,Filecoin,1.95,0.51546391752577
MATIC-BTC,Polygon,0.00000207,0.48543689320388
SAFE-USDC,Safe,0.5261,0.47746371275783
SAFE-USD,Safe,0.5261,0.47746371275783
BAT-USDC,Basic Attention Token,0.13526,0.47541227157926
BAT-USD,Basic Attention Token,0.13526,0.47541227157926
LTC-BTC,Litecoin,0.000856,0.46948356807512
MATIC-USDT,Polygon,0.218,0.46082949308756
ADA-BTC,Cardano,0.00000662,0.45523520485584
METIS-USD,Metis,18.31,0.43883708173341
METIS-USDC,Metis,18.31,0.43883708173341
MNDE-USDC,Marinade,0.12295,0.43293579480477
MNDE-USD,Marinade,0.12295,0.43293579480477
AVAX-BTC,Avalanche,0.00020227,0.42698972245668
KSM-USD,Kusama,16.77,0.41916167664671
KSM-USDC,Kusama,16.77,0.41916167664671
SUSHI-USDC,SushiSwap,0.7006,0.40126110633419
SUSHI-USD,SushiSwap,0.7006,0.40126110633419
GMT-USDC,STEPN,0.0523,0.38387715930902
GMT-USD,STEPN,0.0523,0.38387715930902
GNO-USD,Gnosis,132.26,0.37947783849423
GNO-USDC,Gnosis,132.26,0.37947783849423
ADA-ETH,Cardano,0.000265,0.37878787878788
PIRATE-USD,Pirate Nation Token,0.0538,0.37313432835821
PIRATE-USDC,Pirate Nation Token,0.0538,0.37313432835821
MDT-USDC,Measurable Data Token,0.02717,0.36941263391208
MDT-USD,Measurable Data Token,0.02717,0.36941263391208
XLM-USDT,Stellar Lumens,0.2725,0.3683241252302
BTC-USD,Bitcoin,105486.56,0.34272118662633
BTC-USDC,Bitcoin,105486.56,0.34272118662633
HBAR-USDT,Hedera,0.17291,0.34238625812442
FOX-USDC,Shapeshift FOX Token,0.0295,0.34013605442177
FOX-USD,Shapeshift FOX Token,0.0295,0.34013605442177
COTI-USD,COTI,0.0596,0.33670033670034
COTI-USDC,COTI,0.0596,0.33670033670034
BTC-USDT,Bitcoin,105394.8,0.31707088635933
FIDA-USD,Bonfida,0.071,0.28248587570621
FIDA-USDC,Bonfida,0.071,0.28248587570621
ONDO-USD,Ondo Finance,0.85089,0.2816735415439
ONDO-USDC,Ondo Finance,0.85089,0.2816735415439
BTC-GBP,Bitcoin,77973.16,0.27911625745777
PAXG-USDC,PAX Gold,3380.58,0.26277389581579
PAXG-USD,PAX Gold,3380.58,0.26277389581579
SHIB-EUR,SHIBA INU,0.00001151,0.26132404181185
DOT-USDT,Polkadot,4.17,0.24038461538462
USDT-EUR,Tether,0.8785,0.23847286087562
AERO-USDC,Aerodrome Finance,0.54463,0.21344324433731
AERO-USD,Aerodrome Finance,0.54463,0.21344324433731
USDC-EUR,USDC,0.8779,0.20545599817372
GMT-USDT,STEPN,0.0524,0.19120458891013
XTZ-USD,Tezos,0.588,0.17035775127768
XTZ-USDC,Tezos,0.588,0.17035775127768
GRT-GBP,The Graph,0.073,0.13717421124829
FORT-USD,Forta,0.0738,0.13568521031208
FORT-USDC,Forta,0.0738,0.13568521031208
ADA-USDT,Cardano,0.6966,0.12936610608021
BIGTIME-USD,Big Time,0.0643,0.12457178449081
BIGTIME-USDC,Big Time,0.0643,0.12457178449081
CELR-USD,Celer Network,0.00892,0.11223344556678
CELR-USDC,Celer Network,0.00892,0.11223344556678
AUCTION-USDC,Bounce Token,10.86,0.09216589861751
AUCTION-USD,Bounce Token,10.86,0.09216589861751
FIL-BTC,Filecoin,0.00002492,0.04014452027298
NEON-USD,Neon EVM,0.11535,0.03468909895065
NEON-USDC,Neon EVM,0.11535,0.03468909895065
