Product-ID,Base-Name,Price,Price Percentage Change 24h
L3-USDC,Layer3,0.06452,42.23985890652557
L3-USD,Layer3,0.06452,42.23985890652557
MASK-USDC,Mask Network,2.73,35.14851485148515
MASK-USD,Mask Network,2.73,35.14851485148515
MASK-EUR,Mask Network,2.4,31.86813186813187
MASK-GBP,Mask Network,1.987,31.67660702451955
MASK-USDT,Mask Network,2.72,31.40096618357488
COOKIE-USDC,Cookie DAO,0.25851,22.60956175298805
COOKIE-USD,Cookie DAO,0.25851,22.60956175298805
FORT-USDC,Forta,0.0758,12.63001485884101
FORT-USD,Forta,0.0758,12.63001485884101
PROMPT-USDC,Wayfinder,0.21561,12.56068911511355
PROMPT-USD,Wayfinder,0.21561,12.56068911511355
FLR-USDC,Flare,0.01933,10.64682312535776
FLR-USD,Flare,0.01933,10.64682312535776
MOBILE-USD,Helium Mobile,0.000428,9.46291560102302
MOBILE-USDC,Helium Mobile,0.000428,9.46291560102302
QI-USD,BENQI,0.008247,8.25676030454187
QI-USDC,BENQI,0.008247,8.25676030454187
BERA-USDC,Berachain,2.458,7.85432207108381
BERA-USD,Berachain,2.458,7.85432207108381
HNT-USDC,Helium,3.369,7.49840459476707
HNT-USD,Helium,3.369,7.49840459476707
ZEN-USD,Horizen,10.031,7.46732376258839
ZEN-USDC,Horizen,10.031,7.46732376258839
CVC-USD,Civic,0.1298,6.21931260229133
CVC-USDC,Civic,0.1298,6.21931260229133
VVV-USDC,Venice Token,3.04,5.92334494773519
VVV-USD,Venice Token,3.04,5.92334494773519
RPL-USDC,Rocket Pool,4.88,5.62770562770563
RPL-USD,Rocket Pool,4.88,5.62770562770563
ZEC-USD,Zcash,52.49,5.57119871279163
ZEC-USDC,Zcash,52.49,5.57119871279163
SWELL-USDC,SWELL,0.00949,5.56173526140156
SWELL-USD,SWELL,0.00949,5.56173526140156
EOS-EUR,EOS,0.5997,5.22898754167398
KAITO-USDC,Kaito,1.988,4.51606119552074
KAITO-USD,Kaito,1.988,4.51606119552074
EDGE-USDC,Definitive,0.09542,4.40967283072546
EDGE-USD,Definitive,0.09542,4.40967283072546
HFT-USDC,Hashflow,0.061,4.27350427350427
HFT-USD,Hashflow,0.061,4.27350427350427
PENGU-USDC,Pudgy Penguins,0.01061,4.12168792934249
PENGU-USD,Pudgy Penguins,0.01061,4.12168792934249
HOPR-USDC,HOPR,0.0488,4.05117270788913
HOPR-USD,HOPR,0.0488,4.05117270788913
GTC-USD,Gitcoin,0.26,4.0
GTC-USDC,Gitcoin,0.26,4.0
OCEAN-USDC,Ocean Protocol,0.3607,3.94812680115274
OCEAN-USD,Ocean Protocol,0.3607,3.94812680115274
COW-USDC,CoW Protocol,0.3836,3.92847466811162
COW-USD,CoW Protocol,0.3836,3.92847466811162
MINA-EUR,Mina,0.189,3.84615384615385
AERO-USD,Aerodrome Finance,0.53304,3.77292372386403
AERO-USDC,Aerodrome Finance,0.53304,3.77292372386403
NEON-USD,Neon EVM,0.11987,3.75660001731152
NEON-USDC,Neon EVM,0.11987,3.75660001731152
