start,low,high,open,close,volume,gartleypattern_signal,peak,trough,signal
2025-05-06 21:30:00,94500.0,94720.17,94506.91,94692.38,55.76076083,0,,,0
2025-05-06 22:00:00,94680.22,95654.97,94692.38,95652.75,407.37030649,0,,,0
2025-05-06 22:30:00,95597.5,96291.62,95652.72,96249.63,227.35436926,0,,,0
2025-05-06 23:00:00,96104.68,96822.59,96249.61,96637.41,286.19129803,0,,,0
2025-05-06 23:30:00,96468.21,96916.25,96635.24,96839.17,212.63635033,0,,,0
2025-05-07 00:00:00,96744.32,97500.0,96843.84,97270.0,341.54916026,0,,,0
2025-05-07 00:30:00,97131.35,97475.86,97263.01,97427.1,168.62620095,0,,,0
2025-05-07 01:00:00,97412.58,97738.05,97427.1,97541.62,247.67204682,0,97541.62,,0
2025-05-07 01:30:00,97199.03,97553.73,97541.61,97257.78,147.39009035,0,,,0
2025-05-07 02:00:00,96830.19,97286.7,97257.77,96892.92,165.16344431,0,,,0
2025-05-07 02:30:00,96489.64,96909.28,96890.04,96628.52,163.53765041,0,,,0
2025-05-07 03:00:00,96207.28,96670.08,96628.51,96442.69,240.73191347,0,,96442.69,0
2025-05-07 03:30:00,96420.0,96591.96,96442.69,96498.78,93.74722821,0,,,0
2025-05-07 04:00:00,96499.86,96703.1,96499.9,96554.72,109.68671742,0,,,0
2025-05-07 04:30:00,96400.68,96623.01,96554.71,96573.49,63.84540979,0,,,0
2025-05-07 05:00:00,96374.99,96573.5,96573.5,96431.5,74.72531285,0,,,0
2025-05-07 05:30:00,96317.29,96516.49,96421.36,96376.84,62.40916828,0,,96376.84,0
2025-05-07 06:00:00,96353.26,96667.82,96376.85,96588.28,64.14105398,0,96588.28,,0
2025-05-07 06:30:00,96435.24,96598.51,96588.28,96556.91,58.22542566,0,,,0
2025-05-07 07:00:00,96543.86,96823.0,96556.91,96779.05,44.07096761,0,,,0
2025-05-07 07:30:00,96729.11,97044.42,96773.84,97000.82,192.70611453,0,,,0
2025-05-07 08:00:00,96864.0,97018.56,97000.81,96917.06,66.21000127,0,,,0
2025-05-07 08:30:00,96886.01,97099.98,96920.38,97022.95,43.59295746,0,97022.95,,0
2025-05-07 09:00:00,96873.17,97062.74,97024.86,96917.89,36.91038889,0,,,0
2025-05-07 09:30:00,96868.28,97038.78,96917.89,96980.77,26.85613284,0,,,0
2025-05-07 10:00:00,96841.01,96997.61,96978.8,96879.46,69.55200799,0,,96879.46,0
2025-05-07 10:30:00,96842.97,97123.0,96879.46,97030.0,92.98380929,0,,,0
2025-05-07 11:00:00,96955.54,97092.8,97030.01,96959.76,41.86374926,0,,,0
2025-05-07 11:30:00,96950.0,97095.15,96959.76,97071.81,56.79676944,0,97071.81,,0
2025-05-07 12:00:00,96930.24,97208.95,97071.81,96992.71,121.259252,0,,,0
2025-05-07 12:30:00,96885.97,97038.47,96998.65,96979.99,65.05520878,0,,,0
2025-05-07 13:00:00,96731.93,96980.0,96980.0,96734.04,118.14272096,0,,96734.04,0
2025-05-07 13:30:00,96719.32,97326.9,96735.91,97044.22,420.75187993,0,,,0
2025-05-07 14:00:00,96981.66,97500.0,97044.23,97488.17,500.02735658,0,97488.17,,0
2025-05-07 14:30:00,96814.91,97523.0,97488.18,96953.81,316.31041863,0,,,0
2025-05-07 15:00:00,96772.11,97070.27,96949.59,97041.81,200.69355891,0,,,0
2025-05-07 15:30:00,96845.32,97187.93,97041.81,96946.41,184.19694698,0,,,0
2025-05-07 16:00:00,96540.97,96960.05,96946.41,96543.33,201.01996127,0,,96543.33,0
2025-05-07 16:30:00,96523.08,96980.0,96543.33,96865.29,89.95450158,0,96865.29,,0
2025-05-07 17:00:00,96638.57,96912.76,96865.29,96661.99,134.42744453,0,,,0
2025-05-07 17:30:00,96189.79,96742.87,96661.99,96312.68,378.29901527,0,,,0
2025-05-07 18:00:00,95897.42,96687.65,96316.58,96447.69,558.3928339,0,,,0
2025-05-07 18:30:00,96002.0,96888.22,96447.69,96616.54,460.25679126,0,,,0
2025-05-07 19:00:00,96005.64,96653.12,96618.81,96027.2,291.27885142,0,,96027.2,0
2025-05-07 19:30:00,95800.0,96649.39,96027.19,96208.29,390.13951805,0,,,0
2025-05-07 20:00:00,96092.02,96449.57,96200.57,96326.55,113.35490828,0,,,0
2025-05-07 20:30:00,96294.2,96822.37,96326.55,96804.91,308.10820514,0,,,0
2025-05-07 21:00:00,96683.06,97180.53,96804.9,97170.27,328.03805298,0,,,0
2025-05-07 21:30:00,96990.87,97350.0,97170.27,97143.39,84.82430238,0,,,0
2025-05-07 22:00:00,97027.0,97340.64,97143.4,97068.59,128.07263135,0,,,0
2025-05-07 22:30:00,97031.6,97287.13,97063.57,97279.74,50.29340342,0,97279.74,,0
2025-05-07 23:00:00,97213.96,97417.47,97279.74,97237.33,142.87834905,0,,,0
2025-05-07 23:30:00,96984.43,97270.0,97237.32,97058.32,68.1389938,0,,97058.32,0
2025-05-08 00:00:00,96994.69,97184.81,97058.33,97148.72,68.8164908,0,,,0
2025-05-08 00:30:00,96888.25,97803.0,97148.71,97767.01,180.01142052,0,,,0
2025-05-08 01:00:00,97615.68,98385.53,97779.55,97999.3,508.63610681,0,97999.3,,0
2025-05-08 01:30:00,97725.3,98049.23,97999.3,97837.77,154.6148169,0,,,0
2025-05-08 02:00:00,97839.19,98626.5,97839.19,98619.46,374.54770422,0,,,0
2025-05-08 02:30:00,98589.89,98874.41,98612.62,98701.25,270.37522351,0,,,0
2025-05-08 03:00:00,98544.95,98898.0,98701.24,98819.54,150.52335976,0,,,0
2025-05-08 03:30:00,98735.61,99212.0,98819.53,99160.03,297.03940322,0,,,0
2025-05-08 04:00:00,99113.42,99434.33,99165.51,99378.86,253.01170959,0,99378.86,,0
2025-05-08 04:30:00,98944.46,99378.87,99378.87,98968.74,237.96459849,0,,,0
2025-05-08 05:00:00,98800.0,99152.62,98968.73,98948.86,117.11198781,0,,,0
