start,low,high,open,close,volume,gartleypattern_signal,peak,trough,signal
2025-05-30 22:45:00,104017.76,104347.15,104037.06,104017.77,40.77186545,0,,,0
2025-05-30 23:00:00,103803.51,104305.72,104017.76,104075.78,74.67262418,0,104075.78,,0
2025-05-30 23:15:00,103723.52,104260.06,104075.78,103886.4,81.19332161,0,,,0
2025-05-30 23:30:00,103634.48,103966.0,103886.4,103850.63,46.65265209,0,,,0
2025-05-30 23:45:00,103850.62,104196.84,103850.62,104033.26,35.24000375,0,,,0
2025-05-31 00:00:00,103964.43,104239.38,104033.0,104018.58,30.38150633,0,,,0
2025-05-31 00:15:00,103603.0,104069.57,104018.59,103840.66,58.70525733,0,,103840.66,0
2025-05-31 00:30:00,103840.66,104298.4,103840.66,104211.83,36.39442722,0,104211.83,,0
2025-05-31 00:45:00,103959.71,104334.23,104209.03,104000.0,23.42420803,0,,,0
2025-05-31 01:00:00,103774.1,104142.11,104000.0,104094.46,45.93614407,0,,,0
2025-05-31 01:15:00,103817.37,104245.15,104094.46,103899.73,26.19137198,0,,,0
2025-05-31 01:30:00,103454.22,104024.62,103895.42,103860.12,77.99670969,0,,,0
2025-05-31 01:45:00,103312.76,103859.08,103859.08,103520.09,67.81254034,0,,,0
2025-05-31 02:00:00,103312.77,103775.45,103512.64,103763.84,46.99699892,0,103763.84,,0
2025-05-31 02:15:00,103698.31,103899.99,103763.83,103719.45,27.36527916,0,,,0
2025-05-31 02:30:00,103420.4,103723.46,103719.84,103567.34,29.68522695,0,,,0
2025-05-31 02:45:00,103146.14,103629.14,103578.97,103229.54,54.70203716,0,,103229.54,0
2025-05-31 03:00:00,103110.01,103406.34,103223.89,103282.55,40.14061292,0,,,0
2025-05-31 03:15:00,103138.94,103525.99,103284.08,103515.33,31.11927941,0,,,0
2025-05-31 03:30:00,103303.21,103604.21,103511.9,103581.74,30.91416121,0,,,0
2025-05-31 03:45:00,103581.73,103733.57,103581.74,103719.33,29.72813936,0,,,0
2025-05-31 04:00:00,103564.3,103719.34,103719.34,103668.13,18.04981331,0,,103668.13,0
2025-05-31 04:15:00,103532.21,103852.32,103663.57,103818.33,29.6822419,0,,,0
2025-05-31 04:30:00,103760.73,103837.27,103818.32,103789.14,15.27542913,0,,,0
2025-05-31 04:45:00,103775.07,103866.69,103789.13,103854.66,13.5256449,0,103854.66,,0
2025-05-31 05:00:00,103740.4,103963.11,103854.66,103767.4,18.15838242,0,,,0
2025-05-31 05:15:00,103654.06,103819.84,103767.4,103711.96,22.47743632,0,,,0
2025-05-31 05:30:00,103661.12,103784.81,103711.95,103741.48,15.97394062,0,,,0
2025-05-31 05:45:00,103550.4,103741.49,103741.49,103575.42,7.94116865,0,,103575.42,0
2025-05-31 06:00:00,103552.4,103693.44,103575.43,103661.42,17.55996403,0,,,0
2025-05-31 06:15:00,103660.76,103751.66,103661.42,103734.65,6.71926064,0,,,0
2025-05-31 06:30:00,103695.18,103953.37,103742.17,103935.93,16.55320836,0,103935.93,,0
2025-05-31 06:45:00,103860.66,103947.73,103935.93,103897.9,7.14090757,0,,,0
2025-05-31 07:00:00,103738.19,103897.92,103897.9,103738.19,9.37186771,0,,,0
2025-05-31 07:15:00,103667.2,103774.53,103738.19,103731.55,11.39973856,0,,,0
2025-05-31 07:30:00,103731.54,103833.72,103731.55,103762.07,8.29185108,0,,,0
2025-05-31 07:45:00,103708.9,103887.71,103762.07,103808.19,26.08255079,0,103808.19,,0
2025-05-31 08:00:00,103642.83,103869.25,103808.2,103647.08,19.00643887,0,,103647.08,0
2025-05-31 08:15:00,103568.17,103786.5,103647.32,103747.06,13.84784967,0,,,0
