start,low,high,open,close,volume,signal,fibonacciretracement_signal
2025-05-26 03:00:00,3.6006,3.6194,3.6075,3.6182,152740.1,0,0
2025-05-26 03:30:00,3.6115,3.6327,3.6174,3.6157,179010.6,0,0
2025-05-26 04:00:00,3.6111,3.6267,3.6166,3.6153,76029.8,0,0
2025-05-26 04:30:00,3.614,3.6285,3.6155,3.6244,135087.6,0,0
2025-05-26 05:00:00,3.6183,3.6438,3.6234,3.6374,133312.7,0,0
2025-05-26 05:30:00,3.626,3.6424,3.6372,3.626,101177.0,0,0
2025-05-26 06:00:00,3.6178,3.6342,3.6259,3.628,135306.8,0,0
2025-05-26 06:30:00,3.6112,3.6373,3.6275,3.6354,131774.1,0,0
2025-05-26 07:00:00,3.6283,3.6645,3.636,3.6293,369100.8,0,0
2025-05-26 07:30:00,3.6231,3.653,3.6288,3.652,475601.0,0,0
2025-05-26 08:00:00,3.6299,3.6617,3.6518,3.6325,222150.4,0,0
2025-05-26 08:30:00,3.6069,3.6356,3.633,3.6153,178992.1,0,0
2025-05-26 09:00:00,3.6077,3.62,3.6151,3.6101,108322.3,0,0
2025-05-26 09:30:00,3.5898,3.6186,3.6104,3.5961,321120.1,0,0
2025-05-26 10:00:00,3.5845,3.6047,3.5957,3.6017,159577.1,0,0
2025-05-26 10:30:00,3.5687,3.602,3.6009,3.5819,201333.2,-1,-1
2025-05-26 11:00:00,3.5706,3.5888,3.5818,3.5764,146079.6,0,0
2025-05-26 11:30:00,3.5606,3.5794,3.576,3.5715,219049.2,0,0
2025-05-26 12:00:00,3.5652,3.5857,3.5718,3.5703,412379.3,0,0
2025-05-26 12:30:00,3.5661,3.6036,3.5694,3.5946,162866.1,0,0
2025-05-26 13:00:00,3.57,3.6078,3.5957,3.5825,181044.0,-1,-1
2025-05-26 13:30:00,3.531,3.5898,3.5819,3.5378,415120.0,0,0
2025-05-26 14:00:00,3.5231,3.5482,3.5377,3.5322,229259.2,0,0
2025-05-26 14:30:00,3.5154,3.5406,3.5318,3.5385,355614.4,0,0
2025-05-26 15:00:00,3.5232,3.547,3.5385,3.5454,138953.6,0,0
2025-05-26 15:30:00,3.5443,3.5745,3.545,3.5508,324936.7,0,0
2025-05-26 16:00:00,3.4903,3.5686,3.5516,3.5028,757001.0,0,0
2025-05-26 16:30:00,3.491,3.5162,3.5029,3.5004,139112.2,0,0
2025-05-26 17:00:00,3.4733,3.5118,3.4998,3.4809,357727.9,-1,-1
2025-05-26 17:30:00,3.4568,3.4846,3.48,3.4719,467001.3,0,0
2025-05-26 18:00:00,3.4612,3.484,3.4721,3.484,466649.2,0,0
2025-05-26 18:30:00,3.4611,3.4885,3.484,3.4625,143892.2,0,0
2025-05-26 19:00:00,3.4546,3.4832,3.4637,3.477,219192.1,0,0
2025-05-26 19:30:00,3.4632,3.4776,3.4765,3.4727,73596.1,0,0
2025-05-26 20:00:00,3.4608,3.4877,3.4727,3.4702,112349.9,0,0
2025-05-26 20:30:00,3.4651,3.491,3.4706,3.49,186949.0,1,1
2025-05-26 21:00:00,3.4794,3.5008,3.4892,3.4875,272389.8,0,0
2025-05-26 21:30:00,3.4776,3.5027,3.488,3.4908,75615.0,0,0
2025-05-26 22:00:00,3.4808,3.5109,3.4906,3.4876,314421.6,0,0
2025-05-26 22:30:00,3.4654,3.4954,3.4876,3.466,190822.0,0,0
2025-05-26 23:00:00,3.4594,3.4767,3.4661,3.468,107200.7,0,0
2025-05-26 23:30:00,3.4687,3.493,3.4687,3.4918,148656.3,1,1
2025-05-27 00:00:00,3.4872,3.5169,3.492,3.4892,279880.1,0,0
2025-05-27 00:30:00,3.4716,3.4899,3.489,3.475,109204.2,0,0
2025-05-27 01:00:00,3.4055,3.4744,3.4744,3.4373,1015534.2,0,0
2025-05-27 01:30:00,3.4248,3.449,3.437,3.4439,232343.7,0,0
2025-05-27 02:00:00,3.4395,3.4736,3.4434,3.4722,176175.9,0,0
2025-05-27 02:30:00,3.4467,3.4735,3.4727,3.4539,179459.9,0,0
2025-05-27 03:00:00,3.4541,3.49,3.4544,3.4731,243727.8,0,0
2025-05-27 03:30:00,3.4603,3.4824,3.4728,3.4622,343108.6,0,0
2025-05-27 04:00:00,3.4489,3.4747,3.463,3.4579,263295.8,0,0
2025-05-27 04:30:00,3.4457,3.4706,3.4595,3.4518,207372.4,0,0
2025-05-27 05:00:00,3.4143,3.4515,3.4514,3.4202,274567.0,0,0
2025-05-27 05:30:00,3.4178,3.4554,3.4194,3.4492,121129.2,0,0
2025-05-27 06:00:00,3.449,3.4822,3.4497,3.465,243246.6,0,0
