start,low,high,open,close,volume,fibonacciretracement_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-05-29 00:00:00,107444.0,108330.86,107819.26,108306.97,273.81877513,0,108306.97,108306.97,0.0,0.0,0,0,,,,,,,,,,0
2025-05-29 01:00:00,107825.0,108382.71,108309.62,108202.33,292.25750813,0,108290.87153846154,108299.21888888889,-8.347350427357014,-1.6694700854714029,-1,-1,,,,,,,,,,-1
2025-05-29 02:00:00,107970.49,108552.82,108202.32,108468.01,226.51814554,0,108318.12360946745,108311.72193415638,6.40167531107727,-0.05524100616166824,1,1,,,,,,,,,,1
2025-05-29 03:00:00,107998.46,108479.77,108473.54,108092.72,124.17621421,0,108283.44613108784,108295.4995686633,-12.053437575465068,-2.4548803200223484,-1,0,,,,,,,,,,-1
2025-05-29 04:00:00,107000.0,108158.55,108092.72,107608.76,224.62538141,0,108179.64826476663,108244.62997098455,-64.98170621792087,-14.960245499602054,-1,-1,,,,,,,,,,-1
2025-05-29 05:00:00,107522.39,107815.28,107608.76,107721.78,84.96641414,0,108109.20699326407,108205.90034350421,-96.69335024013708,-31.306866447709062,-1,0,,,,,,,,,,-1
2025-05-29 06:00:00,107687.93,108000.0,107721.77,107954.83,61.46314274,0,108085.45668660806,108187.30254028167,-101.84585367361433,-45.41466389289012,-1,1,,,,,,,,,,-1
2025-05-29 07:00:00,107788.84,108066.45,107954.83,107925.69,61.58499842,0,108060.87719636067,108167.92383359413,-107.04663723346312,-57.74105856100472,-1,-1,,,,,,,,,,-1
2025-05-29 08:00:00,107719.16,108600.0,107925.7,108526.73,189.50434904,0,108132.54685845903,108194.50206814271,-61.9552096836851,-58.5838887855408,-1,0,,,,,,,,,,-1
2025-05-29 09:00:00,108376.51,108676.83,108526.55,108559.79,133.18704495,0,108198.27657254225,108221.56043346548,-23.28386092322762,-51.523883213078165,1,0,,,,,,,,,,1
2025-05-29 10:00:00,108432.02,108943.35,108559.81,108790.67,141.79003019,0,108289.41402292036,108263.71669765322,25.69732526714506,-36.07964151703352,1,0,,,,,,,,,,1
2025-05-29 11:00:00,108700.01,108938.85,108790.67,108816.44,189.16985633,0,108370.49494247108,108304.65916449371,65.83577797736507,-15.696557618153806,1,1,,,,,,,,,,1
2025-05-29 12:00:00,108400.0,108848.48,108816.43,108460.97,205.41469122,0,108384.41418209091,108316.23774490159,68.17643718932231,1.0780413433414175,1,0,,,,,,,,,,1
2025-05-29 13:00:00,107459.82,108632.16,108460.97,107644.98,453.46415929,0,108270.65507715385,108266.51494898295,4.140128170896787,1.6904587088524916,1,0,,,,,,,,,,1
2025-05-29 14:00:00,106473.06,107859.49,107644.97,107642.47,1132.6080151,0,108174.01121913017,108220.28939720643,-46.27817807625979,-7.903268648169966,-1,0,,,,,,,,,,-1
2025-05-29 15:00:00,106945.58,107767.78,107642.48,107034.16,708.76583532,0,107998.64949311015,108132.42796037633,-133.7784672661801,-33.078308371771996,-1,0,,,,,,,,,,-1
2025-05-29 16:00:00,106585.31,107200.46,107034.17,106748.62,607.33136355,0,107806.3372634009,108029.92366701511,-223.58640361421567,-71.17992742026074,-1,0,,,,,,,,,,-1
2025-05-29 17:00:00,106100.95,106889.4,106746.0,106302.25,830.73286143,-1,107574.93922287769,107901.9478398288,-327.0086169511196,-122.34566532643251,-1,0,,,,,,,,,,-1
2025-05-29 18:00:00,105800.0,106628.54,106303.76,105828.57,944.02270457,-1,107306.26703474266,107748.36429613778,-442.0972613951162,-186.29598454016926,-1,0,,,,,,,,,,-1
2025-05-29 19:00:00,105646.63,106116.37,105828.57,105744.47,1304.86252609,0,107065.99056785917,107599.92768160906,-533.937113749882,-255.8242103821118,-1,-1,,,,,,,,,,-1
2025-05-29 20:00:00,105738.4,106226.03,105740.1,106192.85,299.02209693,0,106931.661249727,107495.69970519358,-564.0384554665798,-317.4670593990054,-1,0,,,,,,,,,,-1
2025-05-29 21:00:00,106093.49,106487.8,106192.85,106456.36,231.13340531,0,106858.53798053823,107418.71157888294,-560.1735983447143,-366.0083671881472,-1,1,,,,,,,,,,-1
