start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,fibonacciretracement_signal,signal
2025-05-10 00:00:00,3.8879,3.9955,3.9506,3.8967,1188400.8,0,,,,,,,,0,0
2025-05-10 01:00:00,3.8955,3.98,3.8964,3.973,965055.9,0,,,,,,,,0,0
2025-05-10 02:00:00,3.9591,4.029,3.9733,3.9833,1837933.0,0,3.9833,,,,,,,0,0
2025-05-10 03:00:00,3.9433,3.9859,3.9829,3.959,746607.9,0,,,,,,,,0,0
2025-05-10 04:00:00,3.9136,3.9616,3.9588,3.9386,803981.2,0,,3.9386,,,,,,0,0
2025-05-10 05:00:00,3.9278,3.9731,3.9387,3.9684,420615.3,0,,,,,,,,0,0
2025-05-10 06:00:00,3.9479,3.997,3.9683,3.9807,1276703.2,0,,,,,,,,0,0
2025-05-10 07:00:00,3.9592,4.0025,3.9794,3.9964,1570854.2,0,3.9964,,,,,,,0,0
2025-05-10 08:00:00,3.9549,4.0164,3.9963,3.9745,897249.3,0,,,3.9745,,,,,0,0
2025-05-10 09:00:00,3.93,3.9935,3.975,3.9754,742410.2,0,,,,,,,,0,0
2025-05-10 10:00:00,3.9178,3.9919,3.9759,3.92,437238.2,0,,,,,,,,0,0
2025-05-10 11:00:00,3.8381,3.9398,3.9188,3.8607,1599925.6,0,,3.8607,,,,,,0,0
2025-05-10 12:00:00,3.8607,3.9464,3.8607,3.9438,846482.0,0,,,,,,,,0,0
2025-05-10 13:00:00,3.9405,3.9835,3.9426,3.9735,747770.9,0,3.9735,,,,,,,0,0
2025-05-10 14:00:00,3.9332,3.9762,3.9739,3.9694,416614.7,0,,,,,,,,0,0
2025-05-10 15:00:00,3.9366,3.9782,3.969,3.9563,841332.4,0,,,,,,,,-1,-1
2025-05-10 16:00:00,3.9548,4.0786,3.9583,3.9997,2433509.1,0,,,,,,,,1,1
2025-05-10 17:00:00,3.9684,4.0962,4.0012,3.9969,1745789.4,0,,,3.9969,3.9969,,,,0,0
2025-05-10 18:00:00,3.9647,4.0134,3.9971,3.9858,937623.3,0,,3.9858,,,,,,0,0
2025-05-10 19:00:00,3.9692,4.0152,3.9862,3.9997,752916.1,0,3.9997,,,,,,,0,0
2025-05-10 20:00:00,3.9721,4.0079,4.0004,3.9945,387917.0,0,,,,,,,,0,0
2025-05-10 21:00:00,3.9915,4.068,3.9939,4.0409,647154.9,0,,,,,,,,0,0
2025-05-10 22:00:00,4.0133,4.0456,4.0398,4.0313,606327.0,0,,,,,,,,0,0
2025-05-10 23:00:00,4.0303,4.1571,4.0326,4.1232,3346131.9,0,,,,,,,,0,0
