start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,fibonacciretracement_signal,signal
2025-05-10 00:00:00,3.8879,3.9955,3.9506,3.973,2153456.7,0,,,,,,,,0,0
2025-05-10 02:00:00,3.9433,4.029,3.9733,3.959,2584540.9,0,,,3.959,,,,,-1,-1
2025-05-10 04:00:00,3.9136,3.9731,3.9588,3.9684,1224596.5,0,,,,,,,,0,0
2025-05-10 06:00:00,3.9479,4.0025,3.9683,3.9964,2847557.4,0,3.9964,,,3.9964,,,,0,0
2025-05-10 08:00:00,3.93,4.0164,3.9963,3.9754,1639659.5,0,,,,,,,,0,0
2025-05-10 10:00:00,3.8381,3.9919,3.9759,3.8607,2037163.8,0,,3.8607,,,,,,-1,-1
2025-05-10 12:00:00,3.8607,3.9835,3.8607,3.9735,1594252.9,0,,,,,,,,0,0
2025-05-10 14:00:00,3.9332,3.9782,3.9739,3.9563,1257947.1,0,,,,,,,,0,0
2025-05-10 16:00:00,3.9548,4.0962,3.9583,3.9969,4179298.5,0,,,,,,,,1,1
2025-05-10 18:00:00,3.9647,4.0152,3.9971,3.9997,1690539.4,0,,,,,,,,0,0
2025-05-10 20:00:00,3.9721,4.068,4.0004,4.0409,1035071.9,0,,,,,,,,0,0
2025-05-10 22:00:00,4.0133,4.1571,4.0398,4.1232,3952458.9,0,4.1232,,4.1232,,4.1232,,,0,0
2025-05-11 00:00:00,3.99,4.2742,4.1227,4.0676,10360625.4,0,,,,4.0676,,4.0676,,0,0
2025-05-11 02:00:00,3.9723,4.0762,4.0664,4.0156,2921048.3,0,,,,,,,,0,0
2025-05-11 04:00:00,3.9968,4.0464,4.0158,4.0031,1344730.9,0,,,,,,,,0,0
2025-05-11 06:00:00,3.9344,4.0201,4.0036,3.9598,1722266.0,0,,,,,,,,-1,-1
2025-05-11 08:00:00,3.9369,3.9936,3.9595,3.9719,1270587.2,0,,,,,,,,0,0
2025-05-11 10:00:00,3.953,4.0246,3.9732,4.0114,1203492.6,-1,4.0114,,,,4.0114,,4.0114,0,-1
2025-05-11 12:00:00,3.8901,4.0197,4.0105,3.9059,1727836.1,0,,3.9059,,,,,,-1,-1
2025-05-11 14:00:00,3.9046,3.9837,3.9061,3.9327,1287625.0,0,,,,,,,,0,0
2025-05-11 16:00:00,3.8932,3.9776,3.9322,3.973,1904773.8,0,,,,,,,,1,1
2025-05-11 18:00:00,3.9462,4.0388,3.9735,4.0102,2027261.8,0,,,,,,,,0,0
2025-05-11 20:00:00,3.9864,4.0399,4.0103,4.0341,1115884.9,0,4.0341,,,,,4.0341,,0,0
2025-05-11 22:00:00,3.9768,4.0535,4.034,4.0187,1220271.3,0,,,,,,,,0,0
2025-05-12 00:00:00,3.9769,4.1878,4.0192,4.0173,4861096.8,0,,4.0173,,,,,,0,0
2025-05-12 02:00:00,3.96,4.0705,4.0189,4.0499,2588865.0,0,,,,,,,,0,0
2025-05-12 04:00:00,4.0366,4.1523,4.0507,4.1441,2526617.6,0,,,,,,,,0,0
2025-05-12 06:00:00,4.1271,4.2967,4.1436,4.2178,4757610.7,-1,4.2178,,,,,,4.2178,0,-1
2025-05-12 08:00:00,4.134,4.2302,4.2179,4.1667,1888441.9,0,,,,,,,,0,0
2025-05-12 10:00:00,4.0411,4.2005,4.167,4.0525,2972965.7,0,,4.0525,,,,,,0,0
2025-05-12 12:00:00,4.0417,4.1271,4.0515,4.1081,2793187.6,0,,,,,,,,0,0
2025-05-12 14:00:00,3.8949,4.1218,4.1086,3.9359,6524932.9,0,,,,,,,,-1,-1
2025-05-12 16:00:00,3.9181,4.0099,3.935,3.9288,2079064.9,0,,,,,,,,0,0
2025-05-12 18:00:00,3.81,3.949,3.9295,3.9244,6167848.3,0,,,,,,,,0,0
2025-05-12 20:00:00,3.8975,3.9723,3.9235,3.9375,1798650.2,0,,,,,,,,0,0
2025-05-12 22:00:00,3.9244,3.9908,3.9397,3.9638,1316691.3,0,3.9638,,,,,,,0,0
2025-05-13 00:00:00,3.8444,3.9705,3.964,3.8827,1685365.9,0,,,,,,,,-1,-1
2025-05-13 02:00:00,3.8133,3.9073,3.884,3.8256,1903476.9,0,,3.8256,,,,,,0,0
2025-05-13 04:00:00,3.8205,3.9228,3.8262,3.9093,846275.0,0,,,,,,,,0,0
2025-05-13 06:00:00,3.909,3.9864,3.9093,3.9563,963100.9,0,,,,,,,,0,0
2025-05-13 08:00:00,3.9371,4.0178,3.9582,4.0038,915398.2,0,4.0038,,,,,,,0,0
2025-05-13 10:00:00,3.9459,4.0049,4.0049,3.9594,1153395.9,0,,,,,,,,-1,-1
2025-05-13 12:00:00,3.9369,4.0397,3.9599,4.0047,2847298.3,0,,,,,,,,1,1
2025-05-13 14:00:00,3.9386,4.0144,4.0056,4.0062,2072275.1,0,,,,,,,,0,0
2025-05-13 16:00:00,3.9918,4.0582,4.0066,4.0193,1764034.3,0,,,,,,,,0,0
2025-05-13 18:00:00,3.9976,4.128,4.0214,4.0522,2918356.8,0,,,,,,,,0,0
2025-05-13 20:00:00,4.0047,4.0865,4.0494,4.0834,2282806.2,0,4.0834,,,,,,,0,0
2025-05-13 22:00:00,4.0297,4.1095,4.0838,4.0646,1286601.2,0,,,4.0646,,,,,0,0
2025-05-14 00:00:00,3.9805,4.0833,4.0642,4.0,1734720.0,0,,,,,,,,0,0
2025-05-14 02:00:00,3.9373,4.0034,4.0013,3.9804,2255805.3,0,,3.9804,,,,,,0,0
2025-05-14 04:00:00,3.9722,4.0394,3.9791,4.0335,1090619.3,0,,,,,,,,0,0
2025-05-14 06:00:00,3.9656,4.0463,4.0335,3.9952,841531.3,0,,,,3.9952,,,,0,0
2025-05-14 08:00:00,3.8884,4.0181,3.9952,3.9421,1556466.7,0,,,,,,,,-1,-1
2025-05-14 10:00:00,3.916,3.9618,3.943,3.9527,779418.6,0,3.9527,,,,3.9527,,,0,0
2025-05-14 12:00:00,3.8643,3.9699,3.9531,3.9153,1548788.6,0,,,,,,,,0,0
2025-05-14 14:00:00,3.8538,3.9159,3.9159,3.907,1147775.9,0,,3.907,,,,,,0,0
2025-05-14 16:00:00,3.8649,3.9453,3.9065,3.9307,974244.0,0,,,,,,,,0,0
2025-05-14 18:00:00,3.9064,3.9446,3.9299,3.9275,635813.6,0,,,,,,,,0,0
2025-05-14 20:00:00,3.9215,3.9555,3.9278,3.9476,725743.6,0,3.9476,,,,,3.9476,,0,0
2025-05-14 22:00:00,3.8877,3.9549,3.9491,3.9154,806628.5,0,,,,,,,,0,0
2025-05-15 00:00:00,3.8392,3.9612,3.9165,3.8528,1770935.9,1,,,,,,,3.8528,0,1
2025-05-15 02:00:00,3.8447,3.8914,3.8544,3.859,970438.0,0,,,,,,,,0,0
2025-05-15 04:00:00,3.7823,3.8764,3.8593,3.8027,2298740.6,0,,,,,,,,0,0
2025-05-15 06:00:00,3.6853,3.8264,3.8027,3.7062,2317639.9,0,,3.7062,,,,,,-1,-1
2025-05-15 08:00:00,3.702,3.7891,3.7084,3.7361,1871509.6,0,,,,,,,,0,0
2025-05-15 10:00:00,3.6772,3.7415,3.7377,3.7271,1898309.3,0,,,,,,,,0,0
2025-05-15 12:00:00,3.68,3.7799,3.7265,3.7266,3311664.9,0,,,,,,,,0,0
2025-05-15 14:00:00,3.6422,3.8106,3.7269,3.7911,3714292.8,0,,,,,,,,1,1
2025-05-15 16:00:00,3.7731,3.9483,3.7912,3.9158,3039422.7,0,3.9158,,,,,,,0,0
2025-05-15 18:00:00,3.8086,3.9559,3.9154,3.8901,2699671.4,0,,,,,,,,0,0
2025-05-15 20:00:00,3.7794,3.9242,3.8913,3.8421,1777056.6,0,,3.8421,,,,,,0,0
2025-05-15 22:00:00,3.7935,3.9604,3.8418,3.8495,3188346.0,0,,,,,,,,0,0
2025-05-16 00:00:00,3.8184,3.9139,3.8501,3.9059,1357744.2,0,,,,,,,,0,0
2025-05-16 02:00:00,3.8793,3.953,3.9062,3.9136,2400066.2,0,3.9136,,,,,,,0,0
2025-05-16 04:00:00,3.8634,3.9334,3.9134,3.8896,989303.8,0,,,,,,,,0,0
2025-05-16 06:00:00,3.8665,3.9076,3.8869,3.8866,448424.8,0,,3.8866,,,,,,0,0
2025-05-16 08:00:00,3.8241,3.9038,3.8865,3.8994,802635.2,0,,,,,,,,0,0
2025-05-16 10:00:00,3.8837,3.9446,3.8998,3.9146,979918.8,0,,,,,,,,0,0
2025-05-16 12:00:00,3.8757,3.9313,3.9144,3.93,1885793.6,0,3.93,,,,,,,0,0
2025-05-16 14:00:00,3.8479,3.9286,3.9286,3.8798,1752061.7,0,,,,,,,,0,0
2025-05-16 16:00:00,3.8131,3.9009,3.8786,3.8295,1043245.4,0,,,,,,,,0,0
2025-05-16 18:00:00,3.8234,3.9001,3.8281,3.877,1272888.1,0,,,,,,,,0,0
2025-05-16 20:00:00,3.8183,3.884,3.8749,3.8445,696318.3,0,,,,,,,,0,0
2025-05-16 22:00:00,3.74,3.8455,3.8442,3.7812,2141789.5,0,,,,,,,,0,0
2025-05-17 00:00:00,3.6847,3.8074,3.7821,3.6955,2946704.3,0,,3.6955,,,,,,-1,-1
2025-05-17 02:00:00,3.6728,3.799,3.6956,3.7925,1149351.0,0,,,,,,,,0,0
2025-05-17 04:00:00,3.7714,3.8259,3.792,3.7876,1047953.4,0,,,,,,,,0,0
2025-05-17 06:00:00,3.788,3.8488,3.7881,3.802,630971.6,0,3.802,,,,,,,0,0
2025-05-17 08:00:00,3.7721,3.8237,3.8021,3.7801,484287.5,0,,,,,,,,0,0
2025-05-17 10:00:00,3.7478,3.8016,3.7794,3.7691,472847.3,0,,,,,,,,0,0
2025-05-17 12:00:00,3.7299,3.8023,3.7683,3.7506,685770.7,0,,3.7506,,,,,,-1,-1
2025-05-17 14:00:00,3.7478,3.8119,3.7493,3.7833,727037.3,0,,,,,,,,1,1
2025-05-17 16:00:00,3.7094,3.8026,3.7828,3.7711,1176448.2,0,,,,,,,,0,0
2025-05-17 18:00:00,3.7505,3.8226,3.7705,3.775,1259934.7,0,,,,,,,,0,0
2025-05-17 20:00:00,3.7632,3.8641,3.7744,3.8247,1085274.1,0,,,,,,,,0,0
2025-05-17 22:00:00,3.7692,3.8272,3.8252,3.8036,1436464.7,0,,,,,,,,0,0
2025-05-18 00:00:00,3.754,3.817,3.803,3.7821,1092321.8,0,,,,,,,,0,0
2025-05-18 02:00:00,3.73,3.7886,3.7828,3.749,1019168.7,0,,3.749,,,,,,0,0
2025-05-18 04:00:00,3.7475,3.861,3.7504,3.8523,726031.6,0,3.8523,,,,,,,0,0
2025-05-18 06:00:00,3.8098,3.8654,3.8524,3.8487,1185373.9,0,,,,,,,,0,0
2025-05-18 08:00:00,3.8269,3.874,3.8508,3.8418,809365.1,0,,,,,,,,0,0
2025-05-18 10:00:00,3.8246,3.8575,3.8419,3.8295,435553.7,0,,,,,,,,0,0
2025-05-18 12:00:00,3.8063,3.9249,3.8288,3.9212,1535826.7,0,,,,,,,,0,0
2025-05-18 14:00:00,3.8993,4.0077,3.9228,3.9878,4175477.8,0,3.9878,,,,,,,1,1
2025-05-18 16:00:00,3.8324,3.9996,3.9873,3.8395,3872437.5,0,,,,,,,,0,0
2025-05-18 18:00:00,3.7237,3.8423,3.8357,3.7313,3561075.6,0,,3.7313,,,,,,0,0
2025-05-18 20:00:00,3.695,3.8265,3.7296,3.7913,2035610.1,0,,,,,,,,0,0
2025-05-18 22:00:00,3.7641,3.9688,3.7899,3.9452,2633110.9,0,,,,,,,,0,0
2025-05-19 00:00:00,3.7766,3.9755,3.9457,3.8117,2188562.4,0,,,,,,,,0,0
2025-05-19 02:00:00,3.7546,3.8205,3.8114,3.762,2225063.7,0,,,,,,,,0,0
2025-05-19 04:00:00,3.7076,3.7959,3.7615,3.7317,1649985.8,0,,,,,,,,0,0
2025-05-19 06:00:00,3.6533,3.7395,3.7316,3.7104,1708969.6,0,,,,,,,,0,0
2025-05-19 08:00:00,3.6665,3.7228,3.7095,3.6704,936720.9,0,,,,,,,,0,0
2025-05-19 10:00:00,3.6501,3.6865,3.6699,3.6576,1411518.7,0,,3.6576,,,,,,0,0
2025-05-19 12:00:00,3.5831,3.7174,3.658,3.6977,3960280.4,0,,,,,,,,0,0
2025-05-19 14:00:00,3.6732,3.7803,3.6974,3.7568,2566248.5,0,,,,,,,,0,0
2025-05-19 16:00:00,3.7226,3.8398,3.7569,3.7859,2515611.6,0,,,,,,,,0,0
2025-05-19 18:00:00,3.7409,3.805,3.7842,3.798,1756323.9,0,,,,,,,,0,0
2025-05-19 20:00:00,3.7861,3.8331,3.7979,3.8241,1006966.8,0,,,,,,,,0,0
2025-05-19 22:00:00,3.8077,3.8509,3.8241,3.8394,953847.8,0,,,,,,,,0,0
2025-05-20 00:00:00,3.8287,3.9267,3.8398,3.9028,3117271.4,0,3.9028,,,,,,,0,0
2025-05-20 02:00:00,3.8214,3.9384,3.9037,3.8477,2769058.4,0,,3.8477,3.8477,,,,,0,0
2025-05-20 04:00:00,3.8284,3.8982,3.8477,3.8662,1272308.2,0,,,,,,,,0,0
2025-05-20 06:00:00,3.8396,3.9038,3.8666,3.8734,1048698.0,0,,,,,,,,0,0
2025-05-20 08:00:00,3.8398,3.8924,3.8738,3.8601,701299.7,0,,,,3.8601,,,,0,0
2025-05-20 10:00:00,3.823,3.8877,3.8619,3.8257,1103200.3,0,,,,,,,,0,0
