start,low,high,open,close,volume,fibonacciretracement_signal,RSI,rsi_signal
2025-05-26 18:25:00,3.4682,3.484,3.4722,3.484,36816.6,1.0,51.86846038863972,0.0
2025-05-26 19:25:00,3.4741,3.4826,3.4817,3.477,45435,-1.0,52.99999999999998,0.0
2025-05-26 20:55:00,3.4804,3.491,3.483,3.49,27858.9,1.0,59.81308411214976,0.0
2025-05-26 23:40:00,3.4803,3.4845,3.4818,3.4832,26441.9,1.0,45.2218430034131,0.0
2025-05-27 07:50:00,3.4795,3.49,3.4795,3.4842,53592.1,1.0,56.0260586319218,0.0
2025-05-28 14:55:00,3.5681,3.6289,3.6257,3.5786,664263.2,-1.0,22.399020807833637,1.0
2025-05-28 15:05:00,3.54,3.5956,3.5949,3.5443,696106.7,-1.0,23.623853211009234,1.0
2025-05-28 17:00:00,3.5728,3.5949,3.573,3.588,162515.5,1.0,67.70255271920111,0.0
2025-05-28 17:15:00,3.5826,3.6061,3.5827,3.5958,79739.9,1.0,68.08236808236822,0.0
2025-05-28 17:30:00,3.5727,3.5898,3.5884,3.5738,73351,-1.0,47.68518518518518,0.0
2025-05-29 00:20:00,3.5776,3.5916,3.5777,3.5864,95763.6,1.0,49.64114832535863,0.0
2025-05-29 14:15:00,3.5427,3.5886,3.5886,3.5658,347332.7,-1.0,13.827160493827051,1.0
2025-05-29 14:45:00,3.5652,3.5978,3.5701,3.5899,82440.2,1.0,37.33075435203099,0.0
2025-05-29 15:00:00,3.58,3.6074,3.5953,3.5834,525844.9,-1.0,35.85933630510165,0.0
2025-05-29 17:45:00,3.556,3.5944,3.5584,3.5843,85843.8,1.0,60.18287614297569,0.0
2025-05-29 21:25:00,3.5764,3.588,3.5858,3.5793,23599.6,-1.0,67.58241758241749,0.0
2025-05-29 21:50:00,3.5826,3.5969,3.5958,3.5826,47831.3,-1.0,64.41326530612207,0.0
2025-05-29 21:55:00,3.5836,3.5946,3.585,3.5933,73524.2,1.0,63.62451108213802,0.0
2025-05-30 01:00:00,3.374,3.4179,3.386,3.4066,497290.9,1.0,23.25481798715205,1.0
2025-05-30 02:30:00,3.4769,3.5023,3.4774,3.4994,98542.2,1.0,71.18971061093251,-1.0
2025-05-30 04:35:00,3.4756,3.4889,3.4839,3.4774,71745.7,-1.0,24.541607898448333,1.0
2025-05-30 05:45:00,3.4751,3.5,3.5,3.4764,23666.2,-1.0,49.58677685950417,0.0
2025-05-30 09:40:00,3.3902,3.416,3.3986,3.416,79436.4,1.0,35.847589424572334,0.0
2025-05-30 10:45:00,3.4692,3.4834,3.4706,3.4834,25586.8,1.0,79.56307258632823,-1.0
2025-05-30 10:50:00,3.472,3.484,3.4816,3.4754,26020.5,-1.0,72.26386806596692,-1.0
2025-05-30 10:55:00,3.4713,3.4962,3.4748,3.4913,64929.2,1.0,76.655290102389,-1.0
2025-05-30 11:55:00,3.4785,3.4955,3.4787,3.4854,79821.4,1.0,50.94161958568727,0.0
2025-05-30 12:50:00,3.4763,3.4912,3.4888,3.4776,8520.8,-1.0,52.31277533039646,0.0
2025-05-30 16:30:00,3.25,3.3933,3.3928,3.2821,1374606.3,-1.0,15.283842794759806,1.0
2025-05-30 17:05:00,3.3086,3.3295,3.311,3.3231,81540.8,1.0,27.899686520376193,1.0
2025-05-30 17:20:00,3.3028,3.3218,3.3209,3.3098,79729.5,-1.0,25.64315352697102,1.0
2025-05-30 21:40:00,3.3159,3.3269,3.323,3.3159,89420.1,-1.0,45.34671532846721,0.0
2025-05-30 21:45:00,3.3116,3.3249,3.3152,3.3205,9669.1,1.0,45.74275362318843,0.0
2025-05-30 21:55:00,3.3063,3.3235,3.3208,3.3153,24615.3,-1.0,40.55555555555545,0.0
2025-05-31 13:05:00,3.1943,3.217,3.198,3.215,94076.7,1.0,86.28158844765336,-1.0
2025-05-31 14:00:00,3.1808,3.2145,3.1845,3.2137,139920.9,1.0,61.92893401015224,0.0
2025-06-01 02:05:00,3.1977,3.2124,3.208,3.2028,60719.9,-1.0,33.999999999999986,0.0
2025-06-01 09:45:00,3.1865,3.2115,3.1982,3.207,59992.4,1.0,31.05134474327643,0.0
2025-06-01 09:55:00,3.1986,3.21,3.2014,3.21,88984.7,1.0,31.717011128775965,0.0
2025-06-01 16:50:00,3.315,3.3246,3.3161,3.3223,80938.6,1.0,68.63468634686363,0.0
2025-06-01 22:05:00,3.3086,3.324,3.3164,3.3224,55268.5,1.0,79.1666666666666,-1.0
2025-06-02 01:30:00,3.3138,3.3225,3.3225,3.3179,81627.9,-1.0,41.169590643274624,0.0
