start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,fibonacciretracement_signal,signal
2025-06-02 23:30:00,3.3277,3.3551,3.3551,3.3326,161485.9,0,,,,,,,,0,0
2025-06-03 00:00:00,3.3219,3.3633,3.3326,3.3362,439272.4,0,,,,,,,,0,0
2025-06-03 00:30:00,3.332,3.3556,3.337,3.3473,228212.2,0,,,,,,,,0,0
2025-06-03 01:00:00,3.3421,3.374,3.3477,3.3682,454241.5,0,,,,,,,,0,0
2025-06-03 01:30:00,3.3614,3.3945,3.3698,3.388,355015.9,0,3.388,,,,,,,0,0
2025-06-03 02:00:00,3.3358,3.3928,3.3894,3.3394,306596.0,0,,,,,,,,0,0
2025-06-03 02:30:00,3.3097,3.3422,3.3397,3.3233,574875.4,0,,,,,,,,-1,-1
2025-06-03 03:00:00,3.2948,3.3263,3.3222,3.3046,202466.0,0,,,,,,,,0,0
2025-06-03 03:30:00,3.2944,3.3131,3.3061,3.3106,340153.5,0,,,,,,,,0,0
2025-06-03 04:00:00,3.2894,3.3121,3.311,3.2955,347537.0,0,,3.2955,,,,,,0,0
2025-06-03 04:30:00,3.2879,3.3062,3.2956,3.2959,178602.5,0,,,,,,,,0,0
2025-06-03 05:00:00,3.2959,3.3151,3.2959,3.3125,145573.7,0,,,,,,,,0,0
2025-06-03 05:30:00,3.3096,3.3285,3.312,3.3278,78207.9,0,,,,,,,,0,0
2025-06-03 06:00:00,3.3071,3.329,3.3275,3.3081,63016.7,0,,,,,,,,0,0
2025-06-03 06:30:00,3.3065,3.3294,3.3082,3.3291,24940.7,0,3.3291,,,,,,,0,0
2025-06-03 07:00:00,3.3131,3.33,3.328,3.3215,66956.3,0,,,,,,,,-1,-1
2025-06-03 07:30:00,3.3114,3.3234,3.3206,3.3144,103290.2,0,,,,,,,,0,0
2025-06-03 08:00:00,3.2942,3.3236,3.3152,3.3047,223105.9,0,,,,,,,,0,0
2025-06-03 08:30:00,3.2921,3.3175,3.3054,3.3159,105898.1,0,,,,,,,,0,0
2025-06-03 09:00:00,3.3,3.3181,3.3166,3.3047,137971.8,0,,3.3047,,,,,,0,0
2025-06-03 09:30:00,3.304,3.3235,3.3043,3.3164,72968.3,0,,,,,,,,0,0
2025-06-03 10:00:00,3.3099,3.3321,3.3164,3.3281,334514.6,0,3.3281,,,,,,,0,0
2025-06-03 10:30:00,3.3159,3.3329,3.3281,3.3249,88777.5,0,,,,,,,,0,0
2025-06-03 11:00:00,3.3174,3.3312,3.325,3.3206,95009.7,0,,,,,,,,0,0
2025-06-03 11:30:00,3.3066,3.3208,3.3191,3.312,225785.0,0,,,,,,,,0,0
2025-06-03 12:00:00,3.3,3.3204,3.312,3.3158,173449.2,0,,,,,,,,0,0
2025-06-03 12:30:00,3.306,3.3211,3.3154,3.3114,306057.4,0,,,,,,,,0,0
2025-06-03 13:00:00,3.3104,3.3312,3.3117,3.3246,385616.9,0,,,,,,,,0,0
2025-06-03 13:30:00,3.2925,3.3278,3.3248,3.299,391146.0,0,,3.299,,,,,,0,0
2025-06-03 14:00:00,3.276,3.3109,3.2996,3.3039,349857.0,0,,,,,,,,0,0
2025-06-03 14:30:00,3.3019,3.3409,3.304,3.3362,836000.0,0,3.3362,,,,,,,1,1
2025-06-03 15:00:00,3.3072,3.344,3.3355,3.3267,415191.5,0,,,,,,,,0,0
2025-06-03 15:30:00,3.3144,3.3344,3.3254,3.3256,155072.7,0,,,,,,,,0,0
2025-06-03 16:00:00,3.2999,3.3303,3.3253,3.303,370186.0,0,,,,,,,,0,0
2025-06-03 16:30:00,3.2833,3.3187,3.3026,3.2838,250402.4,0,,3.2838,,,,,,0,0
2025-06-03 17:00:00,3.2837,3.317,3.2837,3.3152,103737.4,0,,,,,,,,0,0
2025-06-03 17:30:00,3.2931,3.3161,3.3161,3.2983,140194.0,0,,,,,,,,0,0
2025-06-03 18:00:00,3.2777,3.2981,3.2981,3.2888,235260.6,0,,,,,,,,0,0
2025-06-03 18:30:00,3.28,3.2964,3.2886,3.2928,167009.3,0,,,,,,,,0,0
2025-06-03 19:00:00,3.2914,3.3325,3.2923,3.3307,129396.2,0,3.3307,,,,,,,0,0
2025-06-03 19:30:00,3.314,3.3354,3.3306,3.3187,142251.2,0,,,3.3187,,,,,-1,-1
2025-06-03 20:00:00,3.2721,3.3216,3.3187,3.2732,219815.9,0,,,,,,,,0,0
2025-06-03 20:30:00,3.257,3.2919,3.2738,3.2796,197779.6,0,,,,,,,,0,0
