start,low,high,open,close,volume,MA,STD,UpperBand,LowerBand,bollingerbands_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,fibonacciretracement_signal,signal
2025-05-28 21:00:00,107190.91,107462.01,107346.48,107391.92,143.58567782,,,,,0,107391.92,107391.92,0.0,0.0,0,0,0
2025-05-28 21:30:00,107383.04,107591.56,107391.92,107519.54,171.69559192,,,,,0,107411.55384615384,107401.37333333334,10.180512820501463,2.0361025641002928,1,0,1
2025-05-28 22:00:00,107217.83,107522.17,107522.17,107277.73,101.02647356,,,,,0,107390.96556213016,107392.21456790123,-1.2490057710674591,1.3790808970667425,-1,0,-1
2025-05-28 22:30:00,107175.0,107505.66,107277.73,107431.34,113.58492062,,,,,0,107397.17701411014,107395.1127480567,2.0642660534504103,1.5161179283434763,1,0,1
2025-05-28 23:00:00,107432.87,108063.77,107432.87,107991.27,236.00692654,,,,,0,107488.57593501628,107439.27254449694,49.30339051934425,11.073572446543631,1,1,1
2025-05-28 23:30:00,107737.45,108097.87,107991.27,107819.29,118.20688933,,,,,0,107539.45502193685,107467.42198564531,72.03303629154107,23.26546521554312,1,0,1
2025-05-29 00:00:00,107444.0,108064.75,107819.26,108040.22,126.42846276,,,,,0,107616.49578779272,107509.8514681901,106.644319602623,39.941236092959095,1,0,1
2025-05-29 00:30:00,107807.01,108330.86,108040.22,108306.97,147.39031237,,,,,0,107722.72258967077,107568.8972853612,153.82530430956103,62.71804973627948,1,0,1
2025-05-29 01:00:00,107919.02,108327.75,108309.62,107960.52,125.55886012,,,,,0,107759.3068066445,107597.90637533445,161.40043131004495,82.45452605103259,1,0,1
2025-05-29 01:30:00,107825.0,108382.71,107960.51,108202.33,166.69864801,,,,,0,107827.46422100689,107642.67849568005,184.7857253268303,102.92076590619213,1,0,1
2025-05-29 02:00:00,107970.49,108290.28,108202.32,108129.2,86.90235293,,,,,0,107873.88511008275,107678.71712562969,195.16798445305903,121.37020961556551,1,0,1
2025-05-29 02:30:00,108044.6,108552.82,108128.87,108468.01,139.61579261,,,,,0,107965.28893930078,107737.18326447193,228.1056748288538,142.7173026582232,1,0,1
2025-05-29 03:00:00,108178.51,108479.77,108473.54,108213.27,80.24120963,,,,,0,108003.43987171604,107772.44894858512,230.99092313091387,160.37202675276134,1,0,1
2025-05-29 03:30:00,107998.46,108273.26,108213.54,108092.72,43.93500458,,,,,0,108017.17527606741,107796.17273017141,221.0025458960008,172.49813058140924,1,0,1
2025-05-29 04:00:00,107714.38,108158.55,108092.72,107910.2,44.13837923,,,,,0,108000.71754128781,107804.61919460316,196.09834668465191,177.21817380205778,1,0,1
2025-05-29 04:30:00,107000.0,107939.51,107910.18,107608.76,180.48700218,,,,,0,107940.41638108969,107790.11110611404,150.30527497564617,171.83559403677546,-1,0,-1
2025-05-29 05:00:00,107522.39,107730.14,107608.76,107665.86,59.25625413,,,,,0,107898.17693784511,107780.90732047596,117.26961736915109,160.9223987032506,-1,0,-1
2025-05-29 05:30:00,107635.64,107815.28,107660.75,107721.78,25.71016001,,,,,0,107871.0389474074,107776.52751895922,94.51142844818241,147.64020465223697,-1,0,-1
2025-05-29 06:00:00,107687.93,107990.14,107721.77,107975.49,37.56458678,,,,,0,107887.10834011396,107791.2654805178,95.84285959615954,137.2807356410215,-1,0,-1
2025-05-29 06:30:00,107794.42,108000.0,107974.81,107954.83,23.89855596,107884.0625,323.6741912849205,108531.41088256983,107236.71411743017,0,107897.52705701951,107803.38137084982,94.14568616969336,128.65372574675587,-1,0,-1
2025-05-29 07:00:00,107788.84,108066.45,107954.83,108024.85,25.16725752,107915.709,303.32556077587685,108522.36012155176,107309.05787844825,0,107917.11520209344,107819.78645449058,97.32874760286359,122.38873011797742,-1,0,-1
2025-05-29 07:30:00,107840.19,108043.19,108024.85,107925.69,36.4177409,107936.0165,288.64687707474076,108513.31025414947,107358.72274585052,0,107918.43440177137,107827.63116156535,90.80324020601984,116.0716321355859,-1,0,-1
