start,low,high,open,close,volume,obv_signal,OBV,SMA10,VWAP,vwap_signal,prev_close,prev_vwap,adx_signal,ADX,+DI,-DI,signal
2025-05-29 22:30:00,2644.53,2661.04,2659.74,2645.13,1836.65563847,0,0.0,,2650.233333333333,0,,,0,0.0,0.0,0.0,0
2025-05-29 23:00:00,2627.88,2649.45,2645.0,2635.24,2007.33315157,0,-2007.33315157,,2643.596164041227,0,2645.13,2650.233333333333,0,0.0,0.0,0.0,0
2025-05-29 23:30:00,2618.88,2639.12,2635.07,2631.68,1923.1593321,0,-3930.49248367,,2639.026708533243,0,2635.24,2643.596164041227,0,0.0,0.0,0.0,0
2025-05-30 00:00:00,2630.73,2645.44,2631.41,2637.36,1409.58194915,0,-2520.9105345200005,,2638.7942817449575,0,2631.68,2639.026708533243,0,0.0,0.0,0.0,0
2025-05-30 00:30:00,2558.57,2637.95,2637.2,2573.72,9231.67619545,0,-11752.58672997,,2611.3867159001898,0,2637.36,2638.7942817449575,0,0.0,0.0,0.0,0
2025-05-30 01:00:00,2569.27,2609.96,2573.72,2606.27,4917.92950301,0,-6834.65722696,,2607.646314383162,0,2573.72,2611.3867159001898,0,0.0,0.0,0.0,0
2025-05-30 01:30:00,2595.56,2609.31,2606.45,2598.56,1949.7907556,0,-8784.44798256,,2607.101573731362,0,2606.27,2607.646314383162,0,0.0,0.0,0.0,0
2025-05-30 02:00:00,2597.83,2623.5,2598.55,2620.02,2675.25403686,0,-6109.193945699999,,2607.790377331065,1,2598.56,2607.101573731362,0,0.0,0.0,0.0,1
2025-05-30 02:30:00,2619.28,2634.8,2619.97,2630.61,5945.33148477,0,-163.86246092999863,,2611.600184812521,0,2620.02,2607.790377331065,0,0.0,0.0,0.0,0
2025-05-30 03:00:00,2626.49,2643.43,2630.61,2639.37,1196.39007116,1,1032.5276102300013,2621.796,2612.4978384762057,0,2630.61,2611.600184812521,0,0.0,0.0,0.0,1
2025-05-30 03:30:00,2629.46,2641.42,2639.42,2631.97,1094.11698309,0,-61.589372859998775,2620.48,2613.195054586051,0,2639.37,2612.4978384762057,0,0.0,0.0,0.0,0
2025-05-30 04:00:00,2622.61,2632.44,2631.96,2624.2,1264.64526407,0,-1326.2346369299987,2619.376,2613.6666983035384,0,2631.97,2613.195054586051,0,0.0,0.0,0.0,0
2025-05-30 04:30:00,2621.05,2639.19,2624.2,2635.72,2444.80896988,1,1118.5743329500012,2619.7799999999997,2614.8485651810333,0,2624.2,2613.6666983035384,0,0.0,0.0,0.0,1
2025-05-30 05:00:00,2630.76,2640.65,2635.75,2637.31,791.75474399,1,1910.3290769400012,2619.775,2615.286338717968,0,2635.72,2614.8485651810333,0,0.0,0.0,0.0,1
2025-05-30 05:30:00,2636.7,2649.91,2637.3,2644.58,1655.26021136,1,3565.5892883000015,2626.861,2616.4533530089398,0,2637.31,2615.286338717968,0,0.0,0.0,0.0,1
2025-05-30 06:00:00,2626.28,2645.62,2644.57,2628.5,704.31797483,-1,2861.2713134700016,2629.084,2616.745274193688,0,2644.58,2616.4533530089398,0,0.0,17.42557160911614,34.86966062227733,-1
2025-05-30 06:30:00,2608.0,2631.42,2628.49,2621.1,2278.46919619,-1,582.8021172800018,2631.338,2616.9255502735955,0,2628.5,2616.745274193688,0,0.0,16.108961264910626,38.13242650241882,-1
2025-05-30 07:00:00,2615.99,2643.98,2621.35,2633.03,2383.0983153,1,2965.900432580002,2632.639,2617.659330850844,0,2621.1,2616.9255502735955,0,0.0,18.658252214457764,34.75285663212711,1
2025-05-30 07:30:00,2616.25,2632.73,2632.72,2619.7,4120.24370625,-1,-1154.3432736699983,2631.548,2618.0921111995635,0,2633.03,2617.659330850844,0,0.0,17.648425852840564,32.87195426435702,-1
2025-05-30 08:00:00,2608.81,2625.36,2619.71,2623.49,1809.01874402,0,654.6754703500017,2629.96,2618.131623553641,0,2619.7,2618.0921111995635,0,0.0,16.68903056834888,33.5287897723983,0
2025-05-30 08:30:00,2612.45,2627.98,2623.0,2618.42,1385.57736281,-1,-730.9018924599984,2628.605,2618.1704291147194,0,2623.49,2618.131623553641,0,0.0,16.69848428023434,31.78279921682428,-1
2025-05-30 09:00:00,2611.17,2625.01,2618.27,2615.74,879.83047077,-1,-1610.7323632299986,2627.7589999999996,2618.156330697525,-1,2618.42,2618.1704291147194,0,0.0,15.903661242388466,30.710202673789865,-1
2025-05-30 09:30:00,2589.48,2618.99,2615.71,2615.81,2470.84462182,0,860.1122585900016,2625.768,2617.7152830025634,0,2615.74,2618.156330697525,0,0.0,14.336693038829923,34.926278916766506,0
2025-05-30 10:00:00,2603.77,2619.3,2615.81,2617.75,1611.6449678,0,2471.7572263900015,2623.812,2617.6010908343633,1,2615.81,2617.7152830025634,0,0.0,13.684033951537861,33.079121273021634,1
2025-05-30 10:30:00,2611.16,2624.08,2617.88,2622.97,875.99376072,1,3347.7509871100015,2621.6510000000003,2617.6279117659415,0,2617.75,2617.6010908343633,0,0.0,14.738705885188539,31.582625102155582,1
2025-05-30 11:00:00,2615.72,2628.99,2622.96,2618.85,1645.80755293,-1,1701.9434341800015,2620.686,2617.724708452527,0,2622.97,2617.6279117659415,0,0.0,15.799605094968353,30.077553220461233,-1
2025-05-30 11:30:00,2616.06,2625.19,2618.58,2622.63,1090.27619558,1,2792.219629760001,2620.839,2617.7878717942417,0,2618.85,2617.724708452527,0,0.0,15.260753068707745,29.05174590436772,1
2025-05-30 12:00:00,2579.11,2627.19,2622.75,2595.95,3787.45214389,-1,-995.2325141299989,2617.131,2616.8009653586355,-1,2622.63,2617.7878717942417,-1,34.97828482658747,12.78741055764302,36.79868527709628,-1
2025-05-30 12:30:00,2591.54,2623.23,2595.68,2610.83,2664.68165024,0,1669.4491361100013,2616.2439999999997,2616.4772283794687,0,2595.95,2616.8009653586355,-1,35.93865036739394,11.468113093710407,33.0021064511267,-1
