start,low,high,open,close,volume
2025-06-01 01:00:00,3.2108,3.2664,3.2455,3.2234,303324.7
2025-06-01 02:00:00,3.1977,3.257,3.222,3.243,630099.5
2025-06-01 03:00:00,3.2211,3.2721,3.2417,3.2679,481140.3
2025-06-01 04:00:00,3.254,3.2925,3.268,3.2784,207648.7
2025-06-01 05:00:00,3.2644,3.2943,3.2789,3.2774,181776.5
2025-06-01 06:00:00,3.2512,3.2857,3.2766,3.2541,256893.9
2025-06-01 07:00:00,3.24,3.2619,3.2535,3.2535,171208.2
2025-06-01 08:00:00,3.2435,3.267,3.2537,3.267,177669.6
2025-06-01 09:00:00,3.1865,3.2761,3.2675,3.21,841256.2
2025-06-01 10:00:00,3.2016,3.238,3.2103,3.2348,773534.5
2025-06-01 11:00:00,3.2262,3.2681,3.2346,3.258,274941.8
2025-06-01 12:00:00,3.2254,3.268,3.2585,3.2439,674576.1
2025-06-01 13:00:00,3.242,3.2923,3.2435,3.2746,444083.5
2025-06-01 14:00:00,3.2754,3.3187,3.2754,3.2922,896264.6
2025-06-01 15:00:00,3.2767,3.3039,3.2927,3.2908,417422.3
2025-06-01 16:00:00,3.284,3.3433,3.2912,3.3048,1190928.6
2025-06-01 17:00:00,3.2915,3.314,3.305,3.2974,328992.8
2025-06-01 18:00:00,3.25,3.2992,3.2973,3.2787,402292.9
2025-06-01 19:00:00,3.2675,3.2915,3.2795,3.2914,462294.6
2025-06-01 20:00:00,3.272,3.3022,3.2917,3.2762,697222.7
2025-06-01 21:00:00,3.2738,3.315,3.2767,3.3065,457581.5
2025-06-01 22:00:00,3.306,3.3395,3.3062,3.3262,814095.4
2025-06-01 23:00:00,3.3259,3.368,3.3259,3.3454,719147.7
2025-06-02 00:00:00,3.321,3.3515,3.3445,3.3257,224666.4
