start,low,high,open,close,volume,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,fibonacciretracement_signal,RSI,rsi_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-04 18:00:00,2634.29,2643.73,2636.58,2637.45,1644.30356034,2637.45,2637.45,0.0,0.0,0,0,,0,0,,,,,,,,,,0
2025-06-04 18:30:00,2626.89,2641.5,2637.6,2630.2,2754.87658574,2636.334615384615,2636.912962962963,-0.5783475783478025,-0.1156695156695605,-1,-1,,0,0,,,,,,,,,,-1
2025-06-04 19:00:00,2624.05,2633.16,2630.42,2625.65,1978.30090018,2634.6908284023666,2636.0786694101507,-1.3878410077841181,-0.37010381409247206,-1,0,,0,0,,,,,,,,,,-1
2025-06-04 19:30:00,2623.33,2634.48,2625.47,2624.93,2040.41167236,2633.18916249431,2635.252842046436,-2.0636795521259046,-0.7088189616991586,-1,0,,0,0,,,,,,,,,,-1
2025-06-04 20:00:00,2602.16,2626.33,2624.98,2614.68,3446.47978503,2630.341599033647,2633.728927820774,-3.3873287871269895,-1.2445209267847248,-1,-1,,0,0,,,,,,,,,,-1
2025-06-04 20:30:00,2600.45,2615.63,2614.68,2606.88,2223.40212671,2626.73212225924,2631.7401183525685,-5.007996093328529,-1.9972159600934858,-1,0,,0,-1,,,,,,,,,,-1
2025-06-04 21:00:00,2600.6,2615.13,2607.03,2611.15,1301.30414518,2624.3348726808954,2630.2149244005263,-5.880051719630956,-2.77378311200098,-1,0,,0,0,,,,,,,,,,-1
2025-06-04 21:30:00,2609.74,2625.03,2611.16,2621.2,2032.33823392,2623.8525845761424,2629.5471522227094,-5.694567646567066,-3.357940018914197,-1,1,,0,1,,,,,,,,,,0
2025-06-04 22:00:00,2606.83,2622.98,2620.59,2608.71,1586.68921498,2621.522956179813,2628.0036594654716,-6.480703285658819,-3.9824926722631218,-1,0,,0,0,,,,,,,,,,-1
2025-06-04 22:30:00,2605.66,2615.36,2608.71,2606.91,1149.74212286,2619.274809075226,2626.441166171733,-7.166357096506999,-4.6192655571118975,-1,0,,0,-1,,,,,,,,,,-1
2025-06-04 23:00:00,2601.01,2617.46,2607.08,2608.18,2903.59387238,2617.567915371345,2625.0884871960493,-7.520571824704348,-5.199526810630388,-1,0,,0,0,,,,,,,,,,-1
2025-06-04 23:30:00,2605.15,2613.19,2608.08,2613.19,488.39891666,2616.8943899295996,2624.2071177741195,-7.312727844519941,-5.622167017408299,-1,0,,0,0,,,,,,,,,,-1
