start,low,high,open,close,volume,MA,STD,UpperBand,LowerBand,signal,bollingerbands_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal
2025-05-26 08:30:00,3.6198,3.6356,3.633,3.6266,67978.5,3.62903,0.010154133200457561,3.6493382664009153,3.608721733599085,-1,0,3.632867683497875,3.628206975253115,0.004660708244759615,0.004742294599788855,-1
2025-05-26 08:45:00,3.6069,3.627,3.6267,3.6153,111013.6,3.6290099999999996,0.010182125721603,3.6493742514432057,3.6086457485567935,-1,0,3.63016496295974,3.627250903012144,0.0029140599475963036,0.004376647669350345,-1
2025-05-26 09:00:00,3.6077,3.62,3.6151,3.618,50566.8,3.6292050000000002,0.009915404018097726,3.6490358080361958,3.6093741919638047,-1,0,3.6282934301967034,3.62656565093717,0.0017277792595331576,0.0038468739873869077,-1
2025-05-26 09:15:00,3.6088,3.618,3.618,3.6101,57755.5,3.6289450000000003,0.010357528408691218,3.6496600568173827,3.608229943182618,-1,0,3.625494440935672,3.6253459730899724,0.00014846784569977345,0.003107192759049481,-1
2025-05-26 09:30:00,3.5907,3.6186,3.6104,3.5931,279252.6,3.62766,0.012951748510285715,3.6535634970205715,3.6017565029794287,-1,1,3.6205106807917224,3.622957382490715,-0.002446701698992637,0.0019964138674410576,-1
2025-05-26 09:45:00,3.5898,3.5998,3.5938,3.5961,41867.5,3.626245,0.014748005217477508,3.655741010434955,3.596748989565045,-1,1,3.61675519143915,3.620967946750662,-0.004212755311512328,0.0007545800316503805,-1
2025-05-26 10:00:00,3.5845,3.5995,3.5957,3.5917,132883.8,3.6245249999999998,0.01664922552331867,3.657823451046637,3.5912265489533626,-1,0,3.6129005466023574,3.6187999506950574,-0.005899404092700067,-0.000576216793219709,-1
2025-05-26 10:15:00,3.5879,3.6047,3.5922,3.6017,26693.3,3.6227400000000003,0.017103751512153292,3.656947503024307,3.5885324969756938,-1,0,3.6111773855866103,3.6175332876806086,-0.006355902093998278,-0.001732153853375423,-1
2025-05-26 10:30:00,3.588,3.602,3.6009,3.5961,74965.8,3.620805,0.017840801108990088,3.65648660221798,3.5851233977820196,-1,0,3.608857787804055,3.615945636741304,-0.00708784893724923,-0.0028032928701501847,-1
2025-05-26 10:45:00,3.5687,3.5979,3.5968,3.5819,126367.4,3.6186,0.01978431063667471,3.658168621273349,3.5790313787266506,-1,0,3.6047104358342,3.6134237377234295,-0.008713301889229363,-0.0039852946739660205,-1
2025-05-26 11:00:00,3.5755,3.5888,3.5818,3.584,56222.6,3.6165800000000004,0.02117455275113381,3.658929105502268,3.574230894497733,-1,0,3.601524214936631,3.611244201595768,-0.009719986659137092,-0.005132233071000235,-1
2025-05-26 11:15:00,3.5706,3.5868,3.585,3.5764,89857,3.614,0.02279168823566182,3.6595833764713235,3.5684166235286763,-1,0,3.597658951100226,3.6086631496257113,-0.011004198525485176,-0.006306626161897224,-1
2025-05-26 11:30:00,3.561,3.5794,3.576,3.5744,160322.1,3.611725,0.024386792693890026,3.66049858538778,3.5629514146122196,-1,0,3.5940806509309606,3.606125138542325,-0.012044487611364563,-0.007454198451790692,-1
2025-05-26 11:45:00,3.5606,3.5774,3.5738,3.5715,58727.1,3.6085299999999996,0.02529091994331136,3.6591118398866223,3.557948160113377,-1,0,3.5906067046338896,3.603560313465116,-0.012953608831226315,-0.008554080527677817,-1
2025-05-26 12:00:00,3.5708,3.5857,3.5718,3.5784,360036.1,3.60522,0.02464552057089827,3.6545110411417965,3.5559289588582037,-1,0,3.5887287500748295,3.601696586541774,-0.012967836466944327,-0.009436831715531118,-1
2025-05-26 12:15:00,3.5652,3.5801,3.5785,3.5703,52343.2,3.60227,0.025137665176510806,3.6525453303530213,3.5519946696469784,-1,0,3.585893557755625,3.5993709134646052,-0.013477355708980454,-0.010244936514220987,-1
2025-05-26 12:30:00,3.5661,3.5772,3.5694,3.5749,38861.5,3.599355,0.024739324651464917,3.64883364930293,3.5498763506970703,-1,0,3.5842022411778363,3.5975582532079677,-0.013356012030131481,-0.010867151617403085,-1
2025-05-26 12:45:00,3.5742,3.6036,3.5754,3.5946,124004.6,3.596485,0.021416945455214605,3.6393188909104293,3.5536511090895706,-1,0,3.585801896381246,3.597339123340711,-0.011537226959464686,-0.011001166685815406,-1
2025-05-26 13:00:00,3.5857,3.6078,3.5957,3.5864,58541,3.5936999999999997,0.018610806142218023,3.630921612284436,3.5564783877155635,1,0,3.585893912322593,3.5965288179080654,-0.01063490558547242,-0.01092791446574681,1
2025-05-26 13:15:00,3.57,3.5936,3.5865,3.5825,122503,3.5912000000000006,0.016344772220726528,3.623889544441454,3.5585104555585474,1,0,3.585371771965271,3.595489646211172,-0.010117874245900715,-0.01076590642177759,1
2025-05-26 13:30:00,3.573,3.5898,3.5819,3.5794,96180.4,3.58884,0.014235921947112398,3.6173118438942247,3.560368156105775,1,0,3.584453037816768,3.5942978205658997,-0.00984478274913192,-0.010581681687248457,1
2025-05-26 13:45:00,3.531,3.5791,3.5791,3.5378,318939.6,3.5849650000000004,0.01694449996156375,3.618853999923128,3.551076000076873,-1,1,3.577275647383419,3.5901127968202777,-0.012837149436858653,-0.011032775237170497,-1
2025-05-26 14:00:00,3.5249,3.5482,3.5377,3.5456,153149.2,3.581345,0.01724652444010744,3.6158380488802147,3.546851951119785,-1,1,3.572402470862893,3.5868155526113683,-0.014413081748475332,-0.011708836539431465,-1
