start,low,high,open,close,volume,fibonacciretracement_signal
2025-05-26 10:30:00,3.5687,3.602,3.6009,3.5819,201333.2,-1.0
2025-05-26 13:00:00,3.57,3.6078,3.5957,3.5825,181044,-1.0
2025-05-26 17:00:00,3.4733,3.5118,3.4998,3.4809,357727.9,-1.0
2025-05-26 20:30:00,3.4651,3.491,3.4706,3.49,186949,1.0
2025-05-26 23:30:00,3.4687,3.493,3.4687,3.4918,148656.3,1.0
2025-05-28 14:30:00,3.5681,3.6483,3.6473,3.5786,853845.9,-1.0
2025-05-28 17:00:00,3.5728,3.6061,3.573,3.5888,422802.1,1.0
2025-05-28 17:30:00,3.5555,3.5898,3.5884,3.5681,447215.7,-1.0
2025-05-29 14:30:00,3.5383,3.6076,3.5505,3.595,892325.7,1.0
2025-05-29 17:30:00,3.5528,3.5987,3.5603,3.5849,391285.2,1.0
2025-05-30 00:30:00,3.3197,3.5308,3.5281,3.3855,1981108.3,-1.0
2025-05-30 05:30:00,3.4655,3.5195,3.5112,3.4786,229161.8,-1.0
2025-05-30 12:00:00,3.4421,3.501,3.4866,3.4566,185638.6,-1.0
2025-05-30 16:00:00,3.3871,3.4455,3.4374,3.3927,288488.5,-1.0
2025-05-30 18:00:00,3.2838,3.3384,3.2953,3.3306,530607.9,1.0
2025-05-30 21:30:00,3.3063,3.3465,3.3382,3.3153,184220.4,-1.0
2025-05-30 23:30:00,3.1852,3.228,3.2195,3.1894,723609.9,-1.0
2025-06-01 22:00:00,3.306,3.3395,3.3062,3.3237,645502.9,1.0
2025-06-02 01:30:00,3.3062,3.3225,3.3225,3.3075,210613.6,-1.0
