start,low,high,open,close,volume,signal,fibonacciretracement_signal,RSI,rsi_signal
2025-05-26 11:00:00,3.5706,3.5888,3.5818,3.5764,146079.6,0,0,37.72870662460577,0
2025-05-26 11:30:00,3.5606,3.5794,3.576,3.5715,219049.2,0,0,32.8580686973429,0
2025-05-26 12:00:00,3.5652,3.5857,3.5718,3.5703,412379.3,1,0,26.456140350877376,1
2025-05-26 12:30:00,3.5661,3.6036,3.5694,3.5946,162866.1,0,0,39.89703989703991,0
2025-05-26 13:00:00,3.57,3.6078,3.5957,3.5825,181044.0,0,-1,36.2537764350453,0
2025-05-26 13:30:00,3.531,3.5898,3.5819,3.5378,415120.0,1,0,25.93688362919127,1
2025-05-26 14:00:00,3.5231,3.5482,3.5377,3.5322,229259.2,1,0,26.000988630746377,1
2025-05-26 14:30:00,3.5154,3.5406,3.5318,3.5385,355614.4,1,0,19.472834857450238,1
2025-05-26 15:00:00,3.5232,3.547,3.5385,3.5454,138953.6,1,0,24.870167339873035,1
2025-05-26 15:30:00,3.5443,3.5745,3.545,3.5508,324936.7,0,0,30.030959752322076,0
2025-05-26 16:00:00,3.4903,3.5686,3.5516,3.5028,757001.0,1,0,23.739598629466528,1
2025-05-26 16:30:00,3.491,3.5162,3.5029,3.5004,139112.2,1,0,25.16865594187864,1
2025-05-26 17:00:00,3.4733,3.5118,3.4998,3.4809,357727.9,1,-1,20.764762826718282,1
2025-05-26 17:30:00,3.4568,3.4846,3.48,3.4719,467001.3,1,0,21.910112359550567,1
2025-05-26 18:00:00,3.4612,3.484,3.4721,3.484,466649.2,1,0,27.173913043478194,1
2025-05-26 18:30:00,3.4611,3.4885,3.484,3.4625,143892.2,1,0,25.114155251141483,1
2025-05-26 19:00:00,3.4546,3.4832,3.4637,3.477,219192.1,1,0,29.91820921222549,1
2025-05-26 19:30:00,3.4632,3.4776,3.4765,3.4727,73596.1,1,0,21.290626471973624,1
2025-05-26 20:00:00,3.4608,3.4877,3.4727,3.4702,112349.9,1,0,22.29896398618648,1
2025-05-26 20:30:00,3.4651,3.491,3.4706,3.49,186949.0,0,1,36.557930258717725,0
2025-05-26 21:00:00,3.4794,3.5008,3.4892,3.4875,272389.8,0,0,37.20663995420716,0
2025-05-26 21:30:00,3.4776,3.5027,3.488,3.4908,75615.0,0,0,36.10949330227148,0
2025-05-26 22:00:00,3.4808,3.5109,3.4906,3.4876,314421.6,0,0,32.79761904761915,0
2025-05-26 22:30:00,3.4654,3.4954,3.4876,3.466,190822.0,1,0,26.981541802388733,1
2025-05-26 23:00:00,3.4594,3.4767,3.4661,3.468,107200.7,0,0,37.40955137481903,0
2025-05-26 23:30:00,3.4687,3.493,3.4687,3.4918,148656.3,0,1,47.30576441102758,0
2025-05-27 00:00:00,3.4872,3.5169,3.492,3.4892,279880.1,0,0,52.90819901892072,0
2025-05-27 00:30:00,3.4716,3.4899,3.489,3.475,109204.2,0,0,51.04800540906013,0
2025-05-27 01:00:00,3.4055,3.4744,3.4744,3.4373,1015534.2,0,0,36.54178674351588,0
2025-05-27 01:30:00,3.4248,3.449,3.437,3.4439,232343.7,0,0,44.13619167717538,0
2025-05-27 02:00:00,3.4395,3.4736,3.4434,3.4722,176175.9,0,0,48.60788863109052,0
2025-05-27 02:30:00,3.4467,3.4735,3.4727,3.4539,179459.9,0,0,44.95708154506435,0
2025-05-27 03:00:00,3.4541,3.49,3.4544,3.4731,243727.8,0,0,50.71393402264891,0
2025-05-27 03:30:00,3.4603,3.4824,3.4728,3.4622,343108.6,0,0,42.84243048403708,0
2025-05-27 04:00:00,3.4489,3.4747,3.463,3.4579,263295.8,0,0,42.448979591836775,0
2025-05-27 04:30:00,3.4457,3.4706,3.4595,3.4518,207372.4,0,0,40.191146881287686,0
2025-05-27 05:00:00,3.4143,3.4515,3.4514,3.4202,274567.0,0,0,35.167253521126725,0
2025-05-27 05:30:00,3.4178,3.4554,3.4194,3.4492,121129.2,0,0,46.41943734015337,0
2025-05-27 06:00:00,3.449,3.4822,3.4497,3.465,243246.6,0,0,49.396135265700465,0
2025-05-27 06:30:00,3.4353,3.484,3.4666,3.4392,148286.6,0,0,39.49680511182109,0
2025-05-27 07:00:00,3.4392,3.4635,3.4398,3.459,87175.1,0,0,44.357249626307954,0
2025-05-27 07:30:00,3.4596,3.4914,3.4596,3.4898,316864.3,0,1,52.6038001407459,0
2025-05-27 08:00:00,3.4899,3.5132,3.4899,3.5088,422143.8,0,0,63.46516007532956,0
2025-05-27 08:30:00,3.4916,3.5125,3.5091,3.5122,74612.0,0,0,63.019443385436496,0
2025-05-27 09:00:00,3.4858,3.5129,3.512,3.4904,124536.3,0,0,53.557466770914814,0
2025-05-27 09:30:00,3.4886,3.5628,3.4907,3.5611,950083.4,0,0,67.39130434782612,0
2025-05-27 10:00:00,3.5285,3.5612,3.5612,3.5408,379610.2,0,0,60.94406724862592,0
2025-05-27 10:30:00,3.5382,3.5696,3.541,3.5671,175340.7,0,0,66.15337234370185,0
2025-05-27 11:00:00,3.5402,3.5698,3.5664,3.5488,271861.3,0,0,63.418954827280785,0
2025-05-27 11:30:00,3.5427,3.5634,3.549,3.5605,215699.2,0,0,65.78565204763291,0
2025-05-27 12:00:00,3.5498,3.625,3.5603,3.6206,1054455.0,-1,1,76.87768240343351,-1
2025-05-27 12:30:00,3.6185,3.6526,3.619,3.647,1214616.7,-1,0,76.71528903295518,-1
2025-05-27 13:00:00,3.6251,3.6611,3.6473,3.6335,1080011.9,-1,0,72.90024463169348,-1
2025-05-27 13:30:00,3.6044,3.6457,3.6352,3.6202,877613.9,-1,0,75.46426561620713,-1
2025-05-27 14:00:00,3.6172,3.6482,3.6206,3.6274,709051.0,-1,0,74.56242707117858,-1
2025-05-27 14:30:00,3.58,3.6598,3.6275,3.6524,946385.9,-1,0,74.12462908011875,-1
2025-05-27 15:00:00,3.6285,3.6891,3.6513,3.6675,581427.3,-1,0,73.82167517262087,-1
2025-05-27 15:30:00,3.6578,3.6901,3.6675,3.6872,481832.5,-1,0,75.04293073840873,-1
2025-05-27 16:00:00,3.6648,3.72,3.688,3.6753,1168852.8,-1,0,77.2312223858616,-1
2025-05-27 16:30:00,3.6674,3.6948,3.6776,3.6717,385920.8,-1,0,70.30102790014686,-1
2025-05-27 17:00:00,3.6381,3.6907,3.6715,3.6493,839467.1,0,0,69.76320582877973,0
2025-05-27 17:30:00,3.6451,3.6903,3.6488,3.6834,385266.7,-1,0,70.59865391427567,-1
2025-05-27 18:00:00,3.6776,3.699,3.685,3.68,621759.1,-1,0,74.53253552730014,-1
2025-05-27 18:30:00,3.6736,3.7364,3.6808,3.6962,680420.9,-1,0,74.95402721588837,-1
2025-05-27 19:00:00,3.6729,3.6966,3.6959,3.6936,342659.8,0,0,67.02425373134342,0
2025-05-27 19:30:00,3.6936,3.7124,3.6936,3.712,438066.1,0,0,65.74612403100795,0
2025-05-27 20:00:00,3.6994,3.7227,3.712,3.7147,486836.2,-1,0,70.75664621676901,-1
2025-05-27 20:30:00,3.7025,3.7283,3.716,3.7025,210628.7,-1,0,71.15681233933176,-1
2025-05-27 21:00:00,3.6777,3.7082,3.7027,3.6787,277007.6,0,0,62.15063950734255,0
2025-05-27 21:30:00,3.6656,3.6982,3.6777,3.6711,210224.9,0,0,54.8270521424884,0
2025-05-27 22:00:00,3.6365,3.684,3.6736,3.6501,1107860.2,0,0,45.641282565130275,0
2025-05-27 22:30:00,3.6457,3.6807,3.6494,3.6675,247022.1,0,0,45.00760263558035,0
2025-05-27 23:00:00,3.6596,3.6755,3.667,3.6678,211302.3,0,0,47.98061389337645,0
2025-05-27 23:30:00,3.6657,3.6848,3.6671,3.6748,161795.3,0,0,50.81967213114752,0
2025-05-28 00:00:00,3.6496,3.6798,3.6736,3.6756,307634.0,0,0,57.850746268656735,0
2025-05-28 00:30:00,3.654,3.6814,3.6771,3.6719,177632.8,0,0,45.8059810357404,0
2025-05-28 01:00:00,3.6536,3.6767,3.6724,3.6701,84992.5,0,0,46.34686346863469,0
2025-05-28 01:30:00,3.6552,3.6946,3.6692,3.6784,286172.5,0,0,43.02507836990586,0
2025-05-28 02:00:00,3.6345,3.682,3.6768,3.6413,565475.9,0,0,33.86798272671194,0
2025-05-28 02:30:00,3.6404,3.6862,3.6421,3.6809,365808.5,0,0,41.51663938897968,0
2025-05-28 03:00:00,3.6784,3.7034,3.6816,3.6952,228200.0,0,0,44.99743458183674,0
2025-05-28 03:30:00,3.6904,3.7272,3.6928,3.7237,184930.5,0,0,55.018939393939384,0
2025-05-28 04:00:00,3.6895,3.7244,3.7233,3.6926,511482.8,0,0,53.18077803203663,0
2025-05-28 04:30:00,3.6909,3.7122,3.692,3.7046,221423.7,0,0,57.51458052938543,0
2025-05-28 05:00:00,3.6936,3.7171,3.704,3.7129,200411.7,0,0,64.93815413891532,0
2025-05-28 05:30:00,3.7104,3.7384,3.7131,3.7225,285769.0,0,0,63.586956521739204,0
2025-05-28 06:00:00,3.6873,3.7234,3.7225,3.6943,152269.3,0,0,55.75336517585758,0
2025-05-28 06:30:00,3.668,3.6932,3.6928,3.692,350407.3,0,0,53.81205673758873,0
2025-05-28 07:00:00,3.692,3.7174,3.692,3.7129,111886.5,0,0,57.59055759055755,0
2025-05-28 07:30:00,3.7081,3.7279,3.714,3.7185,226464.2,0,0,59.410339256865996,0
2025-05-28 08:00:00,3.71,3.7339,3.7192,3.7281,94040.1,0,0,61.35473766640565,0
2025-05-28 08:30:00,3.7146,3.747,3.7292,3.7272,280851.8,0,0,59.83870967741937,0
2025-05-28 09:00:00,3.6977,3.7277,3.7273,3.7,192668.3,0,0,62.32675346493073,0
2025-05-28 09:30:00,3.6925,3.7145,3.6992,3.7095,217386.3,0,0,56.87500000000001,0
2025-05-28 10:00:00,3.6716,3.7095,3.7093,3.692,233920.6,0,0,49.24242424242432,0
2025-05-28 10:30:00,3.6906,3.7126,3.6918,3.7077,146287.5,0,0,45.96774193548383,0
2025-05-28 11:00:00,3.6852,3.7154,3.7084,3.6852,103924.0,0,0,48.05057955742884,0
2025-05-28 11:30:00,3.6849,3.7011,3.6849,3.6876,101068.2,0,0,45.283018867924525,0
