start,low,high,open,close,volume,RSI,rsi_signal,ichimokucloud_signal,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,signal
2025-05-29 23:30:00,2618.88,2639.12,2635.07,2631.68,1923.1593321,,0,0,,,,2629.0,2610.83,0
2025-05-30 00:00:00,2630.73,2645.44,2631.41,2637.36,1409.58194915,,0,0,,,,2632.16,2593.95,0
2025-05-30 00:30:00,2558.57,2637.95,2637.2,2573.72,9231.67619545,,0,0,,,,2602.005,2576.98,0
2025-05-30 01:00:00,2569.27,2609.96,2573.72,2606.27,4917.92950301,,0,0,,,,2602.005,2588.68,0
2025-05-30 01:30:00,2595.56,2609.31,2606.45,2598.56,1949.7907556,,0,0,,,,2602.005,2596.59,0
2025-05-30 02:00:00,2597.83,2623.5,2598.55,2620.02,2675.25403686,,0,0,,,,2602.005,2614.22,0
2025-05-30 02:30:00,2619.28,2634.8,2619.97,2630.61,5945.33148477,,0,0,,,,2602.005,2599.03,0
2025-05-30 03:00:00,2626.49,2643.43,2630.61,2639.37,1196.39007116,,0,0,,,,2602.005,2573.64,0
2025-05-30 03:30:00,2629.46,2641.42,2639.42,2631.97,1094.11698309,,0,0,2602.005,,,2602.005,2541.23,0
2025-05-30 04:00:00,2622.61,2632.44,2631.96,2624.2,1264.64526407,,0,0,2602.005,,,2602.005,2547.86,0
2025-05-30 04:30:00,2621.05,2639.19,2624.2,2635.72,2444.80896988,,0,0,2601.0,,,2602.005,2549.75,0
2025-05-30 05:00:00,2630.76,2640.65,2635.75,2637.31,791.75474399,,0,0,2606.35,,,2602.005,2574.29,0
2025-05-30 05:30:00,2636.7,2649.91,2637.3,2644.58,1655.26021136,,0,0,2622.7349999999997,,,2604.24,2578.72,0
2025-05-30 06:00:00,2626.28,2645.62,2644.57,2628.5,704.31797483,,0,0,2623.87,,,2604.24,2581.34,0
2025-05-30 06:30:00,2608.0,2631.42,2628.49,2621.1,2278.46919619,47.47397574252701,0,0,2628.955,,,2604.24,2574.7,0
2025-05-30 07:00:00,2615.99,2643.98,2621.35,2633.03,2383.0983153,48.996151527797124,0,0,2628.955,,,2604.24,2573.28,0
2025-05-30 07:30:00,2616.25,2632.73,2632.72,2619.7,4120.24370625,63.90299951620698,0,0,2628.955,,,2604.24,2578.59,0
2025-05-30 08:00:00,2608.81,2625.36,2619.71,2623.49,1809.01874402,56.30307467057089,0,0,2628.955,,,2604.24,2582.31,0
2025-05-30 08:30:00,2612.45,2627.98,2623.0,2618.42,1385.57736281,57.412660495670366,0,0,2628.955,,,2604.24,2569.9,0
2025-05-30 09:00:00,2611.17,2625.01,2618.27,2615.74,879.83047077,48.14203854835902,0,0,2628.955,,,2604.24,2549.38,0
2025-05-30 09:30:00,2589.48,2618.99,2615.71,2615.81,2470.84462182,42.929485954519365,0,0,2619.6949999999997,,,2604.24,2526.79,0
2025-05-30 10:00:00,2603.77,2619.3,2615.81,2617.75,1611.6449678,38.95134914145561,0,0,2617.55,,,2604.24,2520.16,0
2025-05-30 10:30:00,2611.16,2624.08,2617.88,2622.97,875.99376072,45.29583943131929,0,0,2616.73,,,2604.24,2531.94,0
2025-05-30 11:00:00,2615.72,2628.99,2622.96,2618.85,1645.80755293,47.09270731442241,0,0,2616.73,,,2604.24,2516.68,0
2025-05-30 11:30:00,2616.06,2625.19,2618.58,2622.63,1090.27619558,42.233297733476,0,0,2611.105,,,2604.24,2521.14,0
2025-05-30 12:00:00,2579.11,2627.19,2622.75,2595.95,3787.45214389,31.08997805413327,0,0,2604.05,2604.24,2604.145,2604.24,2509.93,0
