,Product-ID,Base-Name,Price,Price Percentage Change 24h
626,ROSE-USDT,Oasis Network,0.0331,5.07936507936508
627,GTC-USDC,Gitcoin,0.29,3.57142857142857
628,GTC-USD,Gitcoin,0.29,3.57142857142857
629,KRL-USDC,Kryll,0.35,-0.05711022272987
630,KRL-USD,Kryll,0.35,-0.05711022272987
631,A8-USD,Ancient8,0.1304,1.32090132090132
632,A8-USDC,Ancient8,0.1304,1.32090132090132
633,INDEX-USD,Index Cooperative,1.41,3.67647058823529
634,INDEX-USDC,Index Cooperative,1.41,3.67647058823529
635,MANA-EUR,Decentraland,0.27,-0.3690036900369
636,MSOL-USDC,Marinade Staked SOL,225.56,0.99852236600546
637,MSOL-USD,Marinade Staked SOL,225.56,0.99852236600546
638,IDEX-USDC,IDEX,0.0248,0.8130081300813
639,IDEX-USD,IDEX,0.0248,0.8130081300813
640,MASK-GBP,Mask Network,1.4,15.13157894736842
641,ETC-GBP,Ethereum Classic,13.4,0.37453183520599
642,ZETACHAIN-USDC,Zetachain,0.2487,1.13867425782839
643,ZETACHAIN-USD,Zetachain,0.2487,1.13867425782839
644,ICP-EUR,Internet Computer,4.614,2.39680426098535
645,BNT-USDC,Bancor Network Token,0.6875,0.77689827030196
646,BNT-USD,Bancor Network Token,0.6875,0.77689827030196
647,ATOM-GBP,Cosmos,3.511,0.45779685264664
648,CGLD-GBP,Celo,0.273,-1.08695652173913
649,APT-USDT,Aptos,5.28,2.52427184466019
650,AXS-USDT,Axie Infinity,2.791,1.56477438136827
651,LRC-USDT,Loopring,0.0999,0.70564516129032
652,MATIC-USDT,Polygon,0.23,0.0
653,BTRST-USDC,Braintrust,0.266,0.37735849056604
654,BTRST-USD,Braintrust,0.266,0.37735849056604
655,MINA-EUR,Mina,0.216,0.93457943925234
656,RAD-USDC,Radworks,0.75,0.0
657,RAD-USD,Radworks,0.75,0.0
658,1INCH-EUR,1inch,0.2,3.09278350515464
659,POWR-USDC,Powerledger,0.1764,-0.39525691699605
660,POWR-USD,Powerledger,0.1764,-0.39525691699605
661,RBN-USDC,Ribbon Finance,0.14767,-0.01354187825851
662,RBN-USD,Ribbon Finance,0.14767,-0.01354187825851
663,FIL-EUR,Filecoin,2.44,0.0
664,MASK-USDT,Mask Network,1.89,15.24390243902439
665,IMX-USDT,Immutable,0.633,2.5599481529488
666,GMT-USDT,STEPN,0.0561,0.7181328545781
667,DEXT-USDC,DEXTools,0.3047,0.89403973509934
668,DEXT-USD,DEXTools,0.3047,0.89403973509934
669,CRO-USDT,Cronos,0.0965,1.04712041884817
670,CHZ-USDT,Chiliz,0.0431,1.17370892018779
671,ENS-USDT,Ethereum Name Service,21.79,-0.32021957913998
672,XTZ-GBP,Tezos,0.447,-1.54185022026432
673,CRO-EUR,Cronos,0.0852,1.54946364719905
674,MINA-USDT,Mina,0.249,2.89256198347107
675,AXS-EUR,Axie Infinity,2.45,1.6597510373444
676,FIL-GBP,Filecoin,2.06,0.48780487804878
677,ENS-EUR,Ethereum Name Service,19.11,-0.26096033402923
678,1INCH-GBP,1inch,0.168,3.06748466257669
679,LSETH-USD,Liquid Staked ETH,2733.24,-0.11876527961001
680,LSETH-USDC,Liquid Staked ETH,2733.24,-0.11876527961001
