start,low,high,open,close,volume,fibonacciretracement_signal
2025-06-01 01:30:00,3.2273,3.244,3.2415,3.229,84360.7,0
2025-06-01 01:45:00,3.2108,3.2414,3.2295,3.2234,82430.6,0
2025-06-01 02:00:00,3.1977,3.2231,3.222,3.2039,148297.9,0
2025-06-01 02:15:00,3.204,3.2328,3.204,3.2289,74498.4,0
2025-06-01 02:30:00,3.2288,3.2458,3.2288,3.2375,190423.8,0
2025-06-01 02:45:00,3.2331,3.257,3.237,3.243,216879.4,0
2025-06-01 03:00:00,3.2241,3.247,3.2417,3.23,138684.9,0
2025-06-01 03:15:00,3.2211,3.2394,3.2297,3.2371,75838.6,0
2025-06-01 03:30:00,3.237,3.2577,3.237,3.2567,116597.5,0
2025-06-01 03:45:00,3.257,3.2721,3.257,3.2679,150019.3,0
2025-06-01 04:00:00,3.254,3.272,3.268,3.2624,46754,0
2025-06-01 04:15:00,3.2625,3.278,3.263,3.2747,29577.6,0
2025-06-01 04:30:00,3.2739,3.2925,3.2739,3.283,62205.2,0
2025-06-01 04:45:00,3.2765,3.2911,3.2823,3.2784,69111.9,0
2025-06-01 05:00:00,3.2765,3.2919,3.2789,3.2913,54944.7,0
2025-06-01 05:15:00,3.2815,3.2943,3.292,3.2863,19540.6,0
2025-06-01 05:30:00,3.2683,3.2886,3.2856,3.271,62881.9,0
2025-06-01 05:45:00,3.2644,3.2803,3.2713,3.2774,44409.3,0
2025-06-01 06:00:00,3.2613,3.2783,3.2766,3.2698,70842.6,0
2025-06-01 06:15:00,3.257,3.2762,3.27,3.273,53896.8,0
2025-06-01 06:30:00,3.27,3.2857,3.2726,3.27,92689.7,0
2025-06-01 06:45:00,3.2512,3.2713,3.2703,3.2541,39464.8,0
2025-06-01 07:00:00,3.24,3.257,3.2535,3.2565,108877,0
2025-06-01 07:15:00,3.2495,3.2619,3.257,3.259,24029.6,0
2025-06-01 07:30:00,3.2467,3.2596,3.2596,3.2514,23284.2,0
2025-06-01 07:45:00,3.2458,3.2556,3.2515,3.2535,15017.4,0
2025-06-01 08:00:00,3.248,3.2609,3.2537,3.2538,29304.7,0
