start,low,high,open,close,volume,fibonacciretracement_signal,LowerBand,MA,STD,UpperBand,bollingerbands_signal
2025-05-26 06:30:00,3.6112,3.6275,3.6275,3.6199,55840.2,0,3.6000515124323216,3.618875,0.009411743783839136,3.6376984875676786,0.0
2025-05-26 06:45:00,3.6168,3.6373,3.6204,3.6354,75933.9,0,3.6002983520090392,3.6201,0.009900823995480295,3.6399016479909605,0.0
2025-05-26 07:00:00,3.636,3.6645,3.636,3.6446,240933.6,0,3.6015870405135932,3.6222499999999997,0.01033147974320321,3.6429129594864063,-1.0
2025-05-26 07:15:00,3.6283,3.656,3.6444,3.6293,128167.2,0,3.6021726060495673,3.622885,0.010356196975216461,3.643597393950433,0.0
2025-05-26 07:30:00,3.6231,3.6384,3.6288,3.6332,200461.5,0,3.6044667683296163,3.624205,0.009869115835191698,3.6439432316703835,0.0
2025-05-26 07:45:00,3.6284,3.653,3.6335,3.652,275139.5,0,3.604904271783514,3.626475,0.010785364108243219,3.6480457282164864,-1.0
2025-05-26 08:00:00,3.636,3.6617,3.6518,3.6421,162018.6,0,3.607255493584271,3.6281550000000005,0.01044975320786461,3.64905450641573,0.0
2025-05-26 08:15:00,3.6299,3.6448,3.6427,3.6325,60131.8,0,3.6084311206404625,3.62887,0.010219439679768903,3.6493088793595376,0.0
2025-05-26 08:30:00,3.6198,3.6356,3.633,3.6266,67978.5,0,3.6087217335990838,3.62903,0.010154133200458125,3.6493382664009166,0.0
2025-05-26 08:45:00,3.6069,3.627,3.6267,3.6153,111013.6,0,3.6086457485567927,3.6290099999999996,0.010182125721603564,3.6493742514432066,0.0
2025-05-26 09:00:00,3.6077,3.62,3.6151,3.618,50566.8,0,3.609374191963804,3.6292050000000002,0.009915404018098312,3.6490358080361966,0.0
2025-05-26 09:15:00,3.6088,3.618,3.618,3.6101,57755.5,0,3.6082299431826157,3.6289449999999994,0.010357528408691767,3.649660056817383,0.0
2025-05-26 09:30:00,3.5907,3.6186,3.6104,3.5931,279252.6,0,3.601756502979428,3.62766,0.012951748510286111,3.6535634970205724,1.0
2025-05-26 09:45:00,3.5898,3.5998,3.5938,3.5961,41867.5,0,3.596748989565044,3.6262449999999995,0.01474800521747781,3.655741010434955,1.0
2025-05-26 10:00:00,3.5845,3.5995,3.5957,3.5917,132883.8,0,3.591226548953362,3.6245249999999998,0.016649225523318895,3.6578234510466374,0.0
2025-05-26 10:15:00,3.5879,3.6047,3.5922,3.6017,26693.3,0,3.5885324969756933,3.6227400000000003,0.01710375151215346,3.6569475030243073,0.0
2025-05-26 10:30:00,3.588,3.602,3.6009,3.5961,74965.8,0,3.5851233977820196,3.620805,0.017840801108990202,3.65648660221798,0.0
2025-05-26 10:45:00,3.5687,3.5979,3.5968,3.5819,126367.4,0,3.57903137872665,3.6186,0.01978431063667476,3.6581686212733495,0.0
2025-05-26 11:00:00,3.5755,3.5888,3.5818,3.584,56222.6,0,3.574230894497733,3.6165800000000004,0.02117455275113381,3.658929105502268,0.0
2025-05-26 11:15:00,3.5706,3.5868,3.585,3.5764,89857,0,3.5684166235286763,3.614,0.022791688235661793,3.6595833764713235,0.0
2025-05-26 11:30:00,3.561,3.5794,3.576,3.5744,160322.1,0,3.5629514146122196,3.611725,0.02438679269389,3.66049858538778,0.0
2025-05-26 11:45:00,3.5606,3.5774,3.5738,3.5715,58727.1,0,3.557948160113377,3.6085299999999996,0.025290919943311334,3.6591118398866223,0.0
2025-05-26 12:00:00,3.5708,3.5857,3.5718,3.5784,360036.1,0,3.5559289588582037,3.60522,0.024645520570898242,3.6545110411417965,0.0
2025-05-26 12:15:00,3.5652,3.5801,3.5785,3.5703,52343.2,0,3.5519946696469784,3.60227,0.025137665176510778,3.6525453303530213,0.0
2025-05-26 12:30:00,3.5661,3.5772,3.5694,3.5749,38861.5,0,3.5498763506970703,3.599355,0.024739324651464892,3.64883364930293,0.0
2025-05-26 12:45:00,3.5742,3.6036,3.5754,3.5946,124004.6,0,3.5536511090895706,3.596485,0.021416945455214574,3.6393188909104293,0.0
2025-05-26 13:00:00,3.5857,3.6078,3.5957,3.5864,58541,0,3.556478387715564,3.5936999999999997,0.01861080614221799,3.6309216122844354,0.0
2025-05-26 13:15:00,3.57,3.5936,3.5865,3.5825,122503,0,3.558510455558547,3.5911999999999997,0.01634477222072649,3.6238895444414525,0.0
2025-05-26 13:30:00,3.573,3.5898,3.5819,3.5794,96180.4,0,3.560368156105775,3.58884,0.014235921947112354,3.6173118438942247,0.0
2025-05-26 13:45:00,3.531,3.5791,3.5791,3.5378,318939.6,0,3.551076000076873,3.5849650000000004,0.016944499961563712,3.618853999923128,1.0
2025-05-26 14:00:00,3.5249,3.5482,3.5377,3.5456,153149.2,0,3.546851951119785,3.581345,0.0172465244401074,3.6158380488802147,1.0
2025-05-26 14:15:00,3.5231,3.5457,3.5454,3.5322,76110,0,3.53923627967532,3.5774500000000002,0.019106860162340124,3.6156637203246804,1.0
2025-05-26 14:30:00,3.5154,3.534,3.5318,3.5299,270334.3,0,3.5313635316592342,3.57429,0.02146323417038287,3.6172164683407657,1.0
2025-05-26 14:45:00,3.525,3.5406,3.528,3.5385,85280.1,0,3.5269433406980704,3.57141,0.022233329650964983,3.61587665930193,0.0
2025-05-26 15:00:00,3.5232,3.5433,3.5385,3.5274,73558.8,0,3.5207096681927745,3.5681950000000002,0.023742665903612858,3.615680331807226,0.0
2025-05-26 15:15:00,3.5242,3.547,3.5275,3.5454,65394.8,0,3.519613747206735,3.5653799999999998,0.02288312639663252,3.6111462527932647,0.0
