start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,signal
2025-05-31 02:00:00,2485.95,2518.82,2493.8,2514.64,6784.92945344,0,,,,,,,,0
2025-05-31 04:00:00,2505.24,2527.96,2514.63,2513.35,3235.23991446,0,,2513.35,,,,,,0
2025-05-31 06:00:00,2512.85,2527.47,2513.29,2522.35,2039.59699861,0,,,,,,,,0
2025-05-31 08:00:00,2516.93,2531.2,2522.21,2524.02,2177.9627935,0,2524.02,,2524.02,,,,,0
2025-05-31 10:00:00,2509.43,2539.16,2524.22,2520.64,2742.50429646,0,,,,,,,,0
2025-05-31 12:00:00,2516.54,2549.0,2520.6,2534.3,6150.63425537,0,,,,,,,,0
2025-05-31 14:00:00,2532.32,2551.67,2534.15,2537.59,4947.25998276,0,,,,2537.59,,,,0
2025-05-31 16:00:00,2524.81,2549.26,2537.47,2529.06,4174.15302784,0,,2529.06,,,,,,0
2025-05-31 18:00:00,2526.99,2544.52,2528.66,2538.8,2411.34331204,0,,,,,,,,0
2025-05-31 20:00:00,2532.96,2551.59,2538.79,2544.63,3173.97687877,0,2544.63,,,,2544.63,,,0
2025-05-31 22:00:00,2525.73,2549.4,2544.63,2529.31,3791.24628902,0,,,,,,,,0
2025-06-01 00:00:00,2494.36,2531.51,2529.31,2509.11,5282.33096116,0,,,,,,,,0
2025-06-01 02:00:00,2494.01,2520.0,2508.71,2514.61,4198.8861018,0,,,,,,,,0
2025-06-01 04:00:00,2512.66,2528.52,2514.55,2519.95,2049.4449159,0,,,,,,2519.95,,0
2025-06-01 06:00:00,2507.26,2520.83,2519.8,2510.28,1490.97275427,0,,,,,,,,0
2025-06-01 08:00:00,2478.77,2512.01,2510.09,2493.78,3449.46892758,0,,2493.78,,,,,,0
2025-06-01 10:00:00,2488.12,2504.41,2493.48,2498.91,2639.6949073,0,2498.91,,,,,,2498.91,0
2025-06-01 12:00:00,2470.5,2503.2,2498.89,2495.21,5080.20207453,0,,,,,,,,0
2025-06-01 14:00:00,2495.13,2526.6,2495.35,2524.67,4980.00916537,0,,,,,,,,0
2025-06-01 16:00:00,2522.11,2550.0,2524.31,2540.46,7174.80262533,0,,,,,,,,0
2025-06-01 18:00:00,2494.93,2540.56,2540.44,2527.73,6804.93526412,0,,2527.73,,,,,,0
2025-06-01 20:00:00,2520.76,2542.41,2527.64,2540.66,3969.32519718,0,2540.66,,,,,,,0
2025-06-01 22:00:00,2533.87,2548.95,2540.73,2540.38,6032.99422962,0,,,,,,,,0
2025-06-02 00:00:00,2526.35,2543.62,2540.4,2527.34,5787.06864635,0,,,,,,,,0
2025-06-02 02:00:00,2486.31,2528.84,2527.34,2497.6,7317.9457289,0,,,,,,,,0
2025-06-02 04:00:00,2484.29,2502.76,2497.41,2494.12,3587.78285036,0,,,,,,,,0
2025-06-02 06:00:00,2485.79,2514.66,2494.08,2508.23,3155.0764245,0,2508.23,,,,,,,0
2025-06-02 08:00:00,2476.13,2517.26,2508.24,2482.73,5669.07388273,0,,,,,,,,0
2025-06-02 10:00:00,2476.64,2490.92,2482.62,2482.19,6298.71670211,0,,2482.19,,,,,,0
2025-06-02 12:00:00,2478.54,2521.3,2481.81,2506.13,13600.11002545,0,,,,,,,,0
2025-06-02 14:00:00,2497.21,2557.76,2506.23,2545.68,19763.2108404,0,,,,,,,,0
2025-06-02 16:00:00,2531.2,2555.0,2545.69,2551.05,12189.312935,0,,,,,,,,0
2025-06-02 18:00:00,2526.37,2567.1,2551.13,2534.1,17935.47191835,0,,,,,,,,0
2025-06-02 20:00:00,2533.3,2562.93,2533.92,2562.03,10057.29203528,0,,,,,,,,0
2025-06-02 22:00:00,2561.47,2616.87,2562.04,2609.29,21976.79323654,0,,,,,,,,0
2025-06-03 00:00:00,2603.37,2652.45,2609.29,2647.95,17824.50571326,0,2647.95,,,,,,,0
2025-06-03 02:00:00,2589.8,2649.99,2648.0,2605.08,15043.6943449,0,,,,,,,,0
2025-06-03 04:00:00,2591.39,2619.64,2605.01,2616.41,14984.91141293,0,,,,,,,,0
2025-06-03 06:00:00,2606.29,2622.95,2616.4,2611.89,13993.21728812,0,,,,,,,,0
2025-06-03 08:00:00,2596.59,2620.71,2611.92,2615.57,9249.04359321,0,,,,,,,,0
2025-06-03 10:00:00,2602.36,2622.41,2615.57,2603.44,4920.63935994,0,,2603.44,,,,,,0
2025-06-03 12:00:00,2599.48,2634.84,2603.51,2629.32,14303.91555734,0,2629.32,,,,,,,0
2025-06-03 14:00:00,2615.41,2657.74,2629.05,2625.51,28569.4927069,0,,,,,,,,0
2025-06-03 16:00:00,2604.65,2630.5,2625.52,2621.06,27094.65160107,0,,,,,,,,0
2025-06-03 18:00:00,2608.66,2630.82,2621.06,2626.74,10757.1764779,0,,,,,,,,0
2025-06-03 20:00:00,2575.75,2627.74,2626.97,2591.35,11863.37074794,0,,2591.35,,,,,,0
2025-06-03 22:00:00,2588.13,2612.1,2591.65,2595.03,7187.70807227,0,,,,,,,,0
2025-06-04 00:00:00,2584.05,2624.05,2595.03,2614.03,5338.33183129,0,,,,,,,,0
2025-06-04 02:00:00,2611.24,2642.56,2614.11,2629.61,6432.67412758,0,2629.61,,,,,,,0
2025-06-04 04:00:00,2621.2,2646.8,2629.61,2626.49,5899.80104856,0,,,2626.49,,,,,0
2025-06-04 06:00:00,2623.25,2636.96,2626.52,2629.05,4439.13159058,0,,,,,,,,0
2025-06-04 08:00:00,2629.1,2649.99,2629.1,2644.95,6422.24617181,0,,,,,,,,0
2025-06-04 10:00:00,2625.71,2652.0,2644.84,2626.38,6779.36810375,0,,,,,,,,0
2025-06-04 12:00:00,2608.84,2640.24,2626.37,2616.33,10357.72560324,0,,2616.33,,,,,,0
2025-06-04 14:00:00,2594.99,2681.0,2616.47,2669.22,23846.11760025,0,2669.22,,,2669.22,,,,0
2025-06-04 16:00:00,2632.6,2671.13,2669.39,2636.63,11825.04464934,0,,,,,2636.63,,,0
2025-06-04 18:00:00,2623.33,2643.73,2636.58,2624.93,8417.89271862,0,,,,,,,,0
2025-06-04 20:00:00,2600.45,2626.33,2624.98,2621.2,9003.52429084,0,,,,,,,,0
2025-06-04 22:00:00,2601.01,2622.98,2620.59,2609.07,6853.98718241,0,,,,,,,,0
2025-06-05 00:00:00,2603.0,2618.21,2609.19,2609.84,4813.45807851,0,,,,,,,,0
2025-06-05 02:00:00,2609.73,2634.31,2609.91,2626.25,6518.18759536,0,2626.25,,,,,2626.25,,0
2025-06-05 04:00:00,2609.46,2635.62,2626.17,2614.3,4797.1784168,0,,,,,,,,0
2025-06-05 06:00:00,2599.3,2619.92,2614.3,2605.26,13232.06463123,0,,2605.26,,,,,,0
2025-06-05 08:00:00,2598.33,2611.51,2605.22,2610.61,15987.90492638,0,,,,,,,,0
2025-06-05 10:00:00,2581.52,2615.2,2610.46,2609.25,8528.1761367,0,,,,,,,,0
2025-06-05 12:00:00,2580.9,2642.53,2609.25,2590.74,17248.12887625,0,,,,,,,2590.74,0
2025-06-05 14:00:00,2563.05,2615.89,2590.69,2590.59,17331.65515613,0,,,,,,,,0
2025-06-05 16:00:00,2553.59,2592.81,2590.32,2570.41,14283.42863693,0,,,,,,,,0
2025-06-05 18:00:00,2506.43,2584.27,2570.24,2529.28,22885.72145885,0,,,,,,,,0
2025-06-05 20:00:00,2392.16,2535.84,2529.27,2438.58,64207.80871364,0,,,,,,,,0
2025-06-05 22:00:00,2410.59,2438.48,2438.48,2415.34,15814.39652546,0,,2415.34,,,,,,0
2025-06-06 00:00:00,2384.0,2430.25,2415.31,2422.78,12895.28181096,0,,,,,,,,0
2025-06-06 02:00:00,2403.57,2458.18,2423.05,2456.95,14953.88571794,0,,,,,,,,0
2025-06-06 04:00:00,2447.7,2467.04,2456.89,2461.25,7662.85126573,0,2461.25,,,,,,,0
2025-06-06 06:00:00,2451.01,2469.94,2461.24,2456.6,5847.2075781,0,,,,,,,,0
2025-06-06 08:00:00,2454.69,2484.11,2456.59,2469.94,5840.67917836,0,,,,,,,,0
2025-06-06 10:00:00,2469.53,2495.16,2470.06,2477.66,9134.66937141,0,,,,,,,,0
2025-06-06 12:00:00,2468.35,2521.93,2477.89,2504.92,22205.09164014,0,,,,,,,,0
2025-06-06 14:00:00,2496.45,2533.09,2504.86,2511.39,14762.25663631,0,2511.39,,,,,,,0
2025-06-06 16:00:00,2485.56,2520.39,2511.33,2501.44,11020.61488018,0,,,,,,,,0
2025-06-06 18:00:00,2485.34,2506.86,2501.44,2485.8,10718.70619098,0,,2485.8,,,,,,0
2025-06-06 20:00:00,2483.67,2508.57,2485.9,2493.92,5273.53530205,0,,,,,,,,0
2025-06-06 22:00:00,2474.41,2495.75,2493.93,2478.24,6840.30677867,0,,,,,,,,0
2025-06-07 00:00:00,2478.12,2478.38,2478.38,2478.13,2.4094431,0,,,,,,,,0
