start,low,high,open,close,volume,VWAP,vwap_signal,prev_close,prev_vwap,fibonacciretracement_signal,RSI,rsi_signal,MA,STD,UpperBand,LowerBand,bollingerbands_signal,signal
2025-05-29 06:00:00,2717.68,2728.25,2723.97,2724.66,1022.07897665,2723.53,0,,,0,,0,,,,,0,0
2025-05-29 06:15:00,2723.37,2731.59,2724.82,2731.59,1164.97260814,2726.363794281949,0,2724.66,2723.53,0,,0,,,,,0,0
2025-05-29 06:30:00,2722.65,2733.3,2731.56,2726.89,1263.78448804,2726.8214074623534,0,2731.59,2726.363794281949,0,,0,,,,,0,0
2025-05-29 06:45:00,2726.42,2732.09,2726.65,2728.78,468.7773665,2727.093523586663,0,2726.89,2726.8214074623534,0,,0,,,,,0,0
2025-05-29 07:00:00,2716.98,2731.12,2728.8,2728.58,1127.67502223,2726.7509007590097,0,2728.78,2727.093523586663,0,,0,,,,,0,0
2025-05-29 07:15:00,2726.23,2737.99,2728.38,2735.19,775.14816983,2727.6010456501704,0,2728.58,2726.7509007590097,0,,0,,,,,0,0
2025-05-29 07:30:00,2727.56,2735.94,2734.91,2730.47,390.4580545,2727.834978024778,0,2735.19,2727.6010456501704,0,,0,,,,,0,0
2025-05-29 07:45:00,2727.74,2735.39,2730.54,2732.41,664.82274829,2728.2227610201844,0,2730.47,2727.834978024778,0,,0,,,,,0,0
2025-05-29 08:00:00,2712.51,2733.64,2732.43,2725.86,2845.85084781,2726.987837634894,-1,2732.41,2728.2227610201844,0,,0,,,,,0,-1
2025-05-29 08:15:00,2721.48,2733.35,2725.85,2722.08,1819.41219536,2726.7748651757934,0,2725.86,2726.987837634894,0,,0,,,,,0,0
2025-05-29 08:30:00,2719.13,2726.39,2722.01,2719.86,1036.26312858,2726.3644925068234,0,2722.08,2726.7748651757934,0,,0,,,,,0,0
2025-05-29 08:45:00,2716.11,2728.89,2719.98,2724.06,1636.18682531,2725.9795435878664,0,2719.86,2726.3644925068234,0,,0,,,,,0,0
2025-05-29 09:00:00,2717.41,2726.42,2724.24,2721.1,1152.01051797,2725.654482321136,0,2724.06,2725.9795435878664,0,,0,,,,,0,0
2025-05-29 09:15:00,2718.64,2723.57,2721.1,2720.8,695.27014293,2725.4531585842533,0,2721.1,2725.654482321136,0,,0,,,,,0,0
2025-05-29 09:30:00,2720.37,2730.71,2720.87,2727.38,1068.88959276,2725.49684449056,1,2720.8,2725.4531585842533,0,52.538260544979664,0,,,,,0,1
2025-05-29 09:45:00,2725.96,2741.12,2727.11,2737.96,3577.4910528,2727.140815849628,0,2727.38,2725.49684449056,0,55.565262973964565,0,,,,,0,0
2025-05-29 10:00:00,2728.7,2745.87,2737.96,2730.55,4961.64655753,2728.6675720884336,0,2737.96,2727.140815849628,0,53.053053053053304,0,,,,,0,0
2025-05-29 10:15:00,2725.91,2735.88,2730.63,2726.36,644.48154042,2728.6851016744513,-1,2730.55,2728.6675720884336,0,48.05591259640096,0,,,,,0,-1
2025-05-29 10:30:00,2726.16,2732.57,2726.37,2730.72,511.33309636,2728.7066701045314,1,2726.36,2728.6851016744513,0,51.61144578313245,0,,,,,0,1
2025-05-29 10:45:00,2729.78,2737.11,2730.51,2731.74,744.58409019,2728.8192847237183,0,2730.72,2728.7066701045314,0,47.16329551060654,0,2727.852,4.888498424066992,2737.6289968481337,2718.075003151866,0,0
2025-05-29 11:00:00,2724.28,2732.05,2731.81,2728.11,1220.36353921,2728.790774971304,-1,2731.74,2728.8192847237183,0,48.02411252511744,0,2728.0245000000004,4.830459796137971,2737.6854195922765,2718.3635804077244,0,-1
2025-05-29 11:15:00,2725.85,2733.27,2728.1,2726.53,1175.52681358,2728.781330009304,0,2728.11,2728.790774971304,0,45.047169811320906,0,2727.7715,4.765965164304985,2737.30343032861,2718.2395696713897,0,0
2025-05-29 11:30:00,2715.3,2728.9,2726.53,2718.33,923.02379893,2728.5441351983764,0,2726.53,2728.781330009304,0,43.8288805113913,0,2727.3435,5.21271348168171,2737.7689269633634,2716.9180730366365,0,0
2025-05-29 11:45:00,2708.81,2719.13,2718.1,2717.01,1215.81518726,2728.030601980694,0,2718.33,2728.5441351983764,0,45.67036720751507,0,2726.755,5.685004744709573,2738.1250094894194,2715.384990510581,0,0
2025-05-29 12:00:00,2708.55,2719.88,2716.93,2717.68,1781.23611439,2727.365112168038,0,2717.01,2728.030601980694,0,48.087719298245304,0,2726.21,6.013803420378039,2738.237606840756,2714.182393159244,0,0
2025-05-29 12:15:00,2703.01,2718.74,2717.69,2710.08,1543.75802004,2726.635075177001,0,2717.68,2727.365112168038,0,38.42715231788045,0,2724.9545,6.629922977246173,2738.2143459544923,2711.6946540455074,1,1
2025-05-29 12:30:00,2676.81,2719.49,2709.82,2689.04,4514.17162297,2723.0728161177303,0,2710.08,2726.635075177001,0,29.574413863404246,1,2722.883,10.282253541648778,2743.4475070832973,2702.3184929167023,1,1
2025-05-29 12:45:00,2682.76,2697.11,2689.05,2694.29,1578.30268928,2721.8684250175706,0,2689.04,2723.0728161177303,0,34.11242958168482,0,2720.977,11.838628165548675,2744.6542563310973,2697.2997436689025,1,1
2025-05-29 13:00:00,2693.64,2700.98,2694.28,2696.5,882.81132247,2721.351546764658,0,2694.29,2721.8684250175706,0,30.47052871236994,0,2719.509,12.967750646975192,2745.4445012939505,2693.5734987060496,0,0
2025-05-29 13:15:00,2680.07,2699.53,2696.43,2687.63,2721.12673677,2719.4054056933965,0,2696.5,2721.351546764658,0,17.46606334841573,1,2717.7864999999997,14.770897872079134,2747.328295744158,2688.2447042558415,1,1
2025-05-29 13:30:00,2658.73,2689.43,2687.65,2659.82,4312.80626841,2715.0368872086956,0,2687.63,2719.4054056933965,-1,13.820971867007145,1,2714.7844999999998,19.629441763519363,2754.0433835270383,2675.5256164729612,1,1
2025-05-29 13:45:00,2654.7,2675.83,2659.65,2661.36,3660.22368019,2711.516368088967,0,2659.82,2715.0368872086956,0,15.825446898001587,1,2711.6495,22.818001313598952,2757.2855026271977,2666.0134973728022,1,1
